,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.15671153,0.14964305,0.1502091,0.09604536,0.08885677,0.043930944,0.03400407,0.022524083,0.017756095,0.014483492,0.014839506,0.012817549,0.0106676435,0.013549803,0.013153249,0.017986437,0.022291018,0.026467811,0.023022776,0.071039565
1,Carlos Sainz,0.05265238,0.10008113,0.13921048,0.11611936,0.113604225,0.0673775,0.05334805,0.03855754,0.03405743,0.028659213,0.025092704,0.021503111,0.020455562,0.021952227,0.01922542,0.025704479,0.028010003,0.026244102,0.026196042,0.04194906
2,Sergio Perez,0.0930682,0.12578057,0.14884739,0.10883679,0.10357112,0.05613069,0.043946814,0.030419644,0.025396949,0.021044202,0.019917507,0.01713519,0.015256018,0.017798046,0.016402744,0.02217657,0.02575629,0.027137272,0.025302377,0.0560755
3,Max Verstappen,0.29677415,0.16936739,0.13320868,0.06982113,0.06195116,0.026731888,0.020343695,0.012624863,0.009140882,0.0072844974,0.008394354,0.00729355,0.0054928777,0.007913988,0.008296988,0.011538381,0.015743896,0.022316068,0.017513407,0.0882481
4,Lando Norris,0.0051185773,0.0147160115,0.03939994,0.058978684,0.070589006,0.07680046,0.08259185,0.07145878,0.066987626,0.060059212,0.052825104,0.05060546,0.04106035,0.039692707,0.037596777,0.040263027,0.039339785,0.035809077,0.033489883,0.082617685
5,George Russell,0.041663453,0.09040341,0.1338907,0.117539905,0.11623677,0.07139434,0.056775436,0.04172869,0.037673637,0.031892695,0.027092377,0.023181468,0.022626312,0.023507403,0.020183912,0.026869383,0.028563797,0.025571259,0.026208915,0.036996122
6,Fernando Alonso,0.00084270665,0.0033669085,0.01390706,0.030572237,0.04160352,0.06672113,0.08658371,0.08436551,0.08305847,0.0776564,0.06727241,0.06888049,0.051539607,0.045877926,0.04503397,0.042058155,0.03790688,0.03300109,0.03014105,0.08961075
7,Lewis Hamilton,0.21207768,0.16139923,0.14549251,0.085224696,0.07740656,0.036041647,0.027689833,0.017821835,0.013532215,0.010925366,0.011789163,0.010209388,0.008130737,0.010917463,0.010963688,0.015104007,0.019529724,0.025072172,0.02084166,0.0798305
8,Sebastian Vettel,0.003514579,0.00962671,0.02839497,0.0466141,0.05806367,0.07101929,0.08230689,0.07317238,0.06788956,0.061447322,0.056078713,0.055408362,0.041837342,0.040892284,0.04047001,0.04110967,0.040197574,0.038323622,0.034151923,0.10948107
9,Esteban Ocon,0.0007621759,0.0039184685,0.016408626,0.036048647,0.048168,0.07362637,0.09005616,0.08797271,0.09047965,0.084688514,0.06769617,0.067286685,0.055874154,0.046793185,0.042825226,0.041619483,0.036047693,0.028031563,0.02785947,0.053837072
10,Yuki Tsunoda,0.00068486395,0.0022339309,0.0097101405,0.022620222,0.03195562,0.056972746,0.08066556,0.07980195,0.07575995,0.071198404,0.066686235,0.071038194,0.04732466,0.04422555,0.046807606,0.041160718,0.038140986,0.036924474,0.030884726,0.14520352
11,Valtteri Bottas,0.003378175,0.013812586,0.040282547,0.06406711,0.076586515,0.08373264,0.08648954,0.07649554,0.07612594,0.068801135,0.05486612,0.051280536,0.0464857,0.04124833,0.03615521,0.039717246,0.03653961,0.028877348,0.02974697,0.045311123
12,Kevin Magnussen,0.00015681997,0.0010119801,0.0059540854,0.018066343,0.02724445,0.058441285,0.08549147,0.09308581,0.09875728,0.096379064,0.07840139,0.083440654,0.06294461,0.050452832,0.048647497,0.04170408,0.03411986,0.026456274,0.025051469,0.06419265
13,Daniel Ricciardo,0.0074125435,0.021200038,0.051498182,0.07046427,0.08142313,0.079824105,0.080793194,0.0680399,0.06384467,0.056701828,0.048920177,0.04575529,0.038968522,0.037743647,0.0347564,0.038865857,0.03826207,0.034082208,0.032829445,0.06861447
14,Mick Schumacher,0.0010281364,0.009142394,0.011642686,0.017643489,0.028225096,0.028927976,0.034842957,0.043530185,0.046674557,0.054567587,0.058746677,0.063873805,0.061059006,0.075429946,0.072784595,0.083351076,0.07650927,0.06816601,0.05841624,0.105438255
15,Alexander Albon,0.0009982692,0.005031521,0.019737197,0.040857766,0.053401064,0.07642126,0.090140626,0.08647979,0.08874936,0.08254368,0.06548558,0.06418842,0.054669302,0.046024766,0.04153074,0.04142685,0.03615374,0.027917601,0.028139116,0.050103333
16,Pierre Gasly,0.0012540199,0.004569658,0.017202351,0.034870446,0.046258703,0.06864428,0.086067945,0.08176575,0.07935943,0.07353657,0.06436948,0.06516109,0.049138032,0.044752322,0.043873224,0.04202602,0.0386666,0.03432563,0.0312709,0.09288753
17,Lance Stroll,5.386722e-05,0.00044378225,0.0028295624,0.010221644,0.017134948,0.043948863,0.07232699,0.08765722,0.095793724,0.09905904,0.08435962,0.095048845,0.06879812,0.056065608,0.0561803,0.045236178,0.03576241,0.027969925,0.0252589,0.07585048
18,Nicholas Latifi,0.00022368233,0.0048821433,0.003774483,0.0059516807,0.011817269,0.011842899,0.015515681,0.025536947,0.030585397,0.04347624,0.053155795,0.06325986,0.06920038,0.100040205,0.09661951,0.11587264,0.10012895,0.08538107,0.06984269,0.092892446
19,Zhou Guanyu,0.000805698,0.0031065315,0.012981417,0.028900303,0.03962587,0.06492808,0.085700214,0.08378942,0.08196257,0.07672096,0.06741721,0.069556765,0.050925057,0.045718428,0.045511205,0.042006563,0.038037937,0.033759937,0.030336,0.09820987
