,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.095314026,0.13950922,0.14099249,0.11359807,0.09605704,0.056630492,0.047146592,0.03237161,0.02360936,0.022205614,0.020687485,0.01725323,0.017930621,0.018694336,0.017912026,0.020734746,0.0227411,0.02308972,0.027296506,0.04622579
1,Sergio Perez,0.084411405,0.13289465,0.13955988,0.11501892,0.09865754,0.05865723,0.049251083,0.034095734,0.025453709,0.024068043,0.022153338,0.018483492,0.019253282,0.019829892,0.01880215,0.021742929,0.023557058,0.023386085,0.027446534,0.04327703
2,Lewis Hamilton,0.12599353,0.15480837,0.14269064,0.10888416,0.08896789,0.051397786,0.041925322,0.02822409,0.01946348,0.01807388,0.017333657,0.014441618,0.014926231,0.016024522,0.01574477,0.018270686,0.020635422,0.022114396,0.026603887,0.053475503
3,Carlos Sainz,0.046095345,0.10208285,0.12828766,0.11754972,0.10779918,0.06667837,0.05826002,0.041914668,0.0349009,0.033833243,0.029429669,0.024602689,0.025903868,0.025198655,0.022749873,0.026182657,0.026789483,0.023936886,0.027152786,0.03065146
4,Fernando Alonso,0.0008322866,0.0049949544,0.019551357,0.043232515,0.055569246,0.07262539,0.09329897,0.08580172,0.084868394,0.082262605,0.07116077,0.061469078,0.056666292,0.046524767,0.039423354,0.03700634,0.03398203,0.0275838,0.030271752,0.052874316
5,Lando Norris,0.0014098951,0.0073754117,0.025233151,0.0504415,0.062204942,0.075018354,0.09227467,0.08242964,0.079202995,0.07657188,0.066669405,0.057385758,0.053563084,0.045012303,0.038586713,0.036999736,0.034559276,0.028642634,0.031652637,0.054765895
6,Pierre Gasly,0.00030054682,0.002142893,0.010940558,0.030056177,0.04162062,0.06650622,0.09415366,0.091714606,0.091914065,0.088356815,0.07775461,0.06775317,0.05991479,0.04775613,0.04038966,0.035821665,0.032501735,0.026578339,0.02922119,0.064602524
7,Max Verstappen,0.32819462,0.19192536,0.11969031,0.07252303,0.05123561,0.027158445,0.020314796,0.0125774965,0.006839346,0.006016002,0.006524985,0.005413159,0.0054656602,0.006644251,0.0072629387,0.0085162325,0.0108938785,0.014680977,0.01901918,0.07910371
8,Kevin Magnussen,0.00013448882,0.00091913657,0.002823176,0.0071070264,0.012472893,0.026372816,0.032518618,0.054277334,0.06476152,0.0796704,0.08450301,0.08379756,0.088502035,0.08429279,0.07217262,0.07062815,0.059577934,0.047662493,0.048213076,0.07959289
9,Yuki Tsunoda,0.000121573685,0.0007826786,0.0032978277,0.009750357,0.015987586,0.035578102,0.049222115,0.068656586,0.07194137,0.07855703,0.08194362,0.077855766,0.07338521,0.06607719,0.058141544,0.05216895,0.046552323,0.04065854,0.043540917,0.12578078
10,Lance Stroll,3.3871638e-05,0.0002717421,0.0009660457,0.0029944237,0.0060490016,0.017110648,0.022565754,0.04616008,0.05821074,0.07567043,0.08614366,0.089234486,0.09436291,0.09146998,0.07859011,0.074227765,0.06078302,0.04897637,0.048634116,0.097544834
11,Mick Schumacher,0.0014724759,0.0043847226,0.003686806,0.0045322245,0.0076526417,0.012323847,0.0101672085,0.023049971,0.027632864,0.04215156,0.054098483,0.058923084,0.07976093,0.10208415,0.093766145,0.11550914,0.100059785,0.08668429,0.084099635,0.08796003
12,Sebastian Vettel,0.00026522586,0.0018720892,0.009900183,0.028158057,0.039283603,0.06537956,0.094111696,0.092379905,0.09139004,0.08736588,0.07782942,0.06793578,0.05940776,0.047423366,0.040379085,0.035370033,0.032272108,0.0268463,0.029675616,0.07275427
13,Zhou Guanyu,0.00013575901,0.00091523834,0.0031839057,0.008473772,0.014408817,0.030578146,0.039358806,0.060594752,0.06892147,0.08076663,0.08444693,0.08213533,0.08302516,0.07701794,0.06644481,0.06298335,0.054229677,0.044600144,0.046093144,0.09168625
14,Valtteri Bottas,0.00053530216,0.0038645142,0.016765486,0.039469756,0.052671954,0.07074128,0.09309018,0.08751961,0.09171523,0.09004559,0.07565632,0.065438166,0.060584832,0.048226178,0.039824232,0.03722067,0.03315415,0.025470048,0.027458401,0.040548064
15,Daniel Ricciardo,0.0028366453,0.013953688,0.039179552,0.06584768,0.07720483,0.07792412,0.088489085,0.07572887,0.0742334,0.072866805,0.061387308,0.052436486,0.05106551,0.043389596,0.03672532,0.037100244,0.034458578,0.02748877,0.030021215,0.037662305
16,Esteban Ocon,0.00027777188,0.0022715349,0.01167379,0.031477083,0.04409683,0.066897154,0.093496844,0.091183245,0.09699501,0.09491795,0.08026603,0.06979432,0.063087955,0.049158998,0.04041803,0.036513843,0.03217243,0.024653172,0.026546769,0.044101268
17,Alexander Albon,0.0003074778,0.0018814465,0.005143039,0.011299442,0.018309562,0.032624334,0.03831767,0.057530973,0.06659984,0.07991196,0.081840344,0.07939188,0.08436961,0.080178216,0.06862245,0.06894166,0.059153568,0.04719788,0.048175536,0.070203215
18,Nicholas Latifi,0.00056580594,0.0013827,0.0006123115,0.0006474528,0.0013699414,0.0029110075,0.002022335,0.008075811,0.011172633,0.022060862,0.03547959,0.044416808,0.07275439,0.1159078,0.11013866,0.15174322,0.12445474,0.109969154,0.09884163,0.085473105
