,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.17776336,0.18422465,0.14805555,0.102012835,0.079225756,0.043080226,0.029303942,0.016688222,0.016064702,0.015141439,0.012328695,0.01178039,0.010654408,0.011275918,0.012824247,0.014540897,0.016920712,0.020405894,0.018693883,0.059014317
1,Max Verstappen,0.23715395,0.19986536,0.14211841,0.09055847,0.06766402,0.035769626,0.0231491,0.012488003,0.012025032,0.011103834,0.009055916,0.008836428,0.007741285,0.008418111,0.010068082,0.011372642,0.013734485,0.017965894,0.015946772,0.0649645
2,Carlos Sainz,0.087870814,0.1397893,0.14479165,0.11731241,0.098705485,0.05690538,0.042917106,0.027344793,0.026306694,0.025871627,0.020994391,0.019207936,0.018557621,0.018566547,0.019024717,0.021741366,0.023425823,0.023870807,0.023347922,0.043447595
3,George Russell,0.045342527,0.102023475,0.12975082,0.11984962,0.10759052,0.065033,0.053318184,0.037201826,0.035771463,0.036410764,0.029465904,0.026027722,0.026526025,0.025358958,0.023882443,0.027466623,0.027808575,0.024726594,0.025500556,0.03094427
4,Sergio Perez,0.10677175,0.1520708,0.14752781,0.114633426,0.09447789,0.05365203,0.03939967,0.024386613,0.023464592,0.0228247,0.01853805,0.017151842,0.01629116,0.016537208,0.017407632,0.019853096,0.02182037,0.023223018,0.022333663,0.047634695
5,Lewis Hamilton,0.25297648,0.20276567,0.13996038,0.08750733,0.06477391,0.03400812,0.021744696,0.011577187,0.011148797,0.0102436105,0.008357659,0.008196675,0.0071255276,0.0077996864,0.009443056,0.010656823,0.012986494,0.017325869,0.0152612245,0.06614073
6,Valtteri Bottas,0.0059961947,0.024504945,0.051882215,0.06990893,0.07756784,0.074617095,0.07047107,0.05783634,0.0651837,0.06722994,0.056984503,0.05164326,0.048668794,0.043788794,0.040656406,0.042063527,0.040699773,0.032016296,0.03263059,0.045649696
7,Kevin Magnussen,0.00041196175,0.0024863898,0.0037829883,0.0065855444,0.009411086,0.017570097,0.016130002,0.026334886,0.04317332,0.059240635,0.076899014,0.08488996,0.08182568,0.09451963,0.09178389,0.09385159,0.09605892,0.059896585,0.05743077,0.077716984
8,Daniel Ricciardo,0.03993003,0.086492874,0.11635316,0.11176818,0.10281964,0.069940455,0.057013243,0.03867379,0.038983554,0.03851617,0.03131109,0.028445216,0.027062502,0.025900291,0.025740664,0.028326644,0.029427243,0.027784506,0.027517866,0.047992837
9,Mick Schumacher,0.010624873,0.020114558,0.0074510174,0.0066438164,0.007102554,0.0080743,0.005153985,0.009388499,0.014625543,0.023504168,0.037907545,0.046899837,0.052053444,0.08404441,0.0917148,0.114879474,0.13991138,0.10339587,0.09384547,0.122664325
10,Lando Norris,0.011448391,0.032986466,0.064682655,0.07973381,0.084097914,0.08238836,0.07259014,0.050564293,0.05770639,0.054755762,0.04491124,0.042258337,0.03557293,0.032459363,0.033856332,0.033394076,0.03464889,0.032943618,0.031098435,0.08790259
11,Esteban Ocon,0.0013208836,0.0070336307,0.024307754,0.043399565,0.05570122,0.08158023,0.08407517,0.0656233,0.08450692,0.0796894,0.065758996,0.061892718,0.04868205,0.040573604,0.04088747,0.036462296,0.035578176,0.02985084,0.028302215,0.084773585
12,Yuki Tsunoda,0.0017123194,0.006788344,0.014200962,0.022654595,0.028980179,0.04784537,0.04331907,0.041480843,0.060580976,0.06355441,0.06356782,0.06706864,0.052572817,0.052371606,0.057931416,0.05306103,0.05677952,0.04948466,0.0438723,0.1721731
13,Pierre Gasly,0.0034823196,0.0140240835,0.036441818,0.055035844,0.06494863,0.08058404,0.07693852,0.05844945,0.072121955,0.068993635,0.057751324,0.05478798,0.04454904,0.039171904,0.04021439,0.037615612,0.03789191,0.033453297,0.031568367,0.091975905
14,Zhou Guanyu,0.004382497,0.014683644,0.02058417,0.027198998,0.031923592,0.040976163,0.034608245,0.03661843,0.050161768,0.057734635,0.061317205,0.06412425,0.057555247,0.06219908,0.06512981,0.06654572,0.071239345,0.05808175,0.05396502,0.12097045
15,Sebastian Vettel,0.007274647,0.02232078,0.04209459,0.055079736,0.06129737,0.070155606,0.061462525,0.048060175,0.059506062,0.05890832,0.052214827,0.051310588,0.042492624,0.04053349,0.0432777,0.04202798,0.044359006,0.041133735,0.037961837,0.11852849
16,Lance Stroll,0.00027182102,0.0017385639,0.002671137,0.0048747035,0.0072191237,0.014848206,0.0136930905,0.02373568,0.0407468,0.056990616,0.07680772,0.08664047,0.08243243,0.09685193,0.095099606,0.095939584,0.09878883,0.06061235,0.05743639,0.08260094
17,Alexander Albon,0.00190182,0.01017702,0.020276416,0.03126593,0.038844105,0.047818385,0.04602167,0.050553985,0.06506932,0.075852245,0.07524469,0.07222857,0.070597,0.068629794,0.06246913,0.06489369,0.06253667,0.042688582,0.043557346,0.049373746
18,Nicholas Latifi,0.0039144666,0.008287558,0.002169011,0.001969371,0.0022524481,0.0029695278,0.001816897,0.0047631855,0.008409762,0.016179463,0.03244533,0.043316666,0.052761164,0.09888255,0.10561341,0.14018044,0.17372636,0.110085614,0.1005564,0.08970042
19,Fernando Alonso,0.003798319,0.014763959,0.038937546,0.05829086,0.0682025,0.083890304,0.07985198,0.058521856,0.071697585,0.06737615,0.05548589,0.052540403,0.042105433,0.036723718,0.038098466,0.03538143,0.03580069,0.032397203,0.03037728,0.095758386
