,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Carlos Sainz,0.09181743,0.15520734,0.1392307,0.12039368,0.098986514,0.056295015,0.041866172,0.02937431,0.023600554,0.021409543,0.01881305,0.01497522,0.017056582,0.018662049,0.014943234,0.02003058,0.021096243,0.024255943,0.02403133,0.04795449
1,Max Verstappen,0.46718985,0.21855554,0.07940815,0.04892922,0.028781578,0.01293628,0.0070098797,0.004264204,0.002555468,0.0019716998,0.002017194,0.0014540878,0.0018695231,0.0028154964,0.0021335061,0.0036089947,0.004550937,0.009851962,0.008628909,0.09146749
2,Lewis Hamilton,0.19750719,0.20739329,0.13308898,0.101500556,0.07371283,0.03842024,0.025409497,0.016909497,0.012187012,0.010411717,0.009679556,0.007426881,0.008847645,0.010897354,0.008549315,0.012491913,0.01406449,0.020444976,0.01935121,0.07170589
3,George Russell,0.039648138,0.10309084,0.12520237,0.12128577,0.111565,0.06865597,0.056775097,0.04178656,0.03703979,0.035475027,0.029623298,0.024377234,0.026660291,0.026207287,0.02137637,0.026504148,0.026279207,0.024440583,0.02523555,0.028771523
4,Lance Stroll,3.983803e-05,0.00046441093,0.001724962,0.004519015,0.011108375,0.031050613,0.03377821,0.059384696,0.069561146,0.07781478,0.095131725,0.09489821,0.091931336,0.076516524,0.06495744,0.06199344,0.05605703,0.043270092,0.039965503,0.08583266
5,Lando Norris,0.001978959,0.010210967,0.02864306,0.048737425,0.069415264,0.08598196,0.08609538,0.07876945,0.073525794,0.06544851,0.05903519,0.04898402,0.047509503,0.040723026,0.03303604,0.035468165,0.033110254,0.033415757,0.03240902,0.08750237
6,Valtteri Bottas,0.00040670796,0.0035735525,0.015352981,0.0317873,0.054011773,0.08019639,0.091859125,0.09102158,0.094482616,0.087869555,0.07615627,0.06541373,0.05985174,0.0451604,0.037292376,0.036252894,0.03157393,0.02606195,0.026107786,0.045567334
7,Alexander Albon,0.00025141006,0.0018243609,0.0034275574,0.0064310175,0.0128624635,0.026798768,0.024596984,0.044161636,0.05072163,0.06238915,0.081556804,0.08413463,0.09084038,0.087661564,0.07502477,0.079890944,0.077195436,0.057951584,0.05393173,0.07834722
8,Sergio Perez,0.18770292,0.20427465,0.13442783,0.10349334,0.07586397,0.039801333,0.02655591,0.01774276,0.012892352,0.011064066,0.010242571,0.007880596,0.009356541,0.0114221,0.008974762,0.013028894,0.014595721,0.02084672,0.019799285,0.070033506
9,Sebastian Vettel,0.00050866284,0.0035235025,0.013889726,0.02948072,0.049952246,0.08097629,0.08792357,0.08764282,0.08412956,0.07320781,0.06766815,0.056485668,0.052188486,0.042098302,0.034137323,0.034489073,0.031311285,0.031983316,0.03041031,0.10799317
10,Pierre Gasly,0.0003457252,0.0026341046,0.010831398,0.024026651,0.042958252,0.07507386,0.08261041,0.08735798,0.08599202,0.076542385,0.07241924,0.06153278,0.056707673,0.045345016,0.036952466,0.036788426,0.033191316,0.032737285,0.031067627,0.10488532
11,Charles Leclerc,0.16316454,0.19520015,0.13730241,0.10837906,0.08143,0.043468747,0.02968739,0.020044664,0.014883043,0.012925745,0.011832661,0.009170779,0.010791581,0.0128674125,0.010151555,0.014486775,0.016015014,0.02183182,0.020924056,0.065442614
12,Kevin Magnussen,7.359005e-05,0.0006550286,0.0014216584,0.0031289435,0.007355827,0.019938549,0.018871384,0.039645635,0.047274947,0.059582423,0.08445749,0.08999449,0.09587029,0.09149743,0.0787077,0.08098184,0.077744804,0.05805546,0.052609514,0.09213304
13,Fernando Alonso,0.0010101054,0.0062438105,0.020885406,0.039289437,0.060784534,0.084230706,0.08845445,0.08419366,0.080723196,0.0719109,0.064891905,0.054264914,0.05134838,0.042274304,0.034395795,0.03564175,0.0326008,0.03189104,0.030919194,0.084045686
14,Daniel Ricciardo,0.00439572,0.019891378,0.04569613,0.06690003,0.08515099,0.08655364,0.083342,0.071998574,0.067321844,0.061858594,0.05402109,0.04497502,0.04491163,0.03937304,0.03209819,0.035502844,0.033394363,0.03166989,0.03153238,0.05941262
15,Mick Schumacher,0.001328956,0.0041544335,0.002007372,0.0024401813,0.0042119343,0.008094256,0.0051287566,0.013521066,0.015243983,0.023630556,0.044738,0.052484293,0.071573675,0.099875145,0.08702442,0.114426345,0.1310273,0.10472906,0.09065973,0.12370049
16,Nicholas Latifi,0.00044633815,0.001446184,0.00041908782,0.00048349987,0.0009687087,0.0023752193,0.0013326225,0.0055073546,0.0070180157,0.013830627,0.03437196,0.046952453,0.071439385,0.114158966,0.10316285,0.14070703,0.16929725,0.11232442,0.09448826,0.079269834
17,Zhou Guanyu,0.00016751098,0.0011093044,0.0021211482,0.004377286,0.009368035,0.023415586,0.020999849,0.040117804,0.04393156,0.051468212,0.07276118,0.074132636,0.079846874,0.08037169,0.067894645,0.07322718,0.07273674,0.0647074,0.057169028,0.16007641
18,Yuki Tsunoda,0.00012630827,0.000865109,0.0020713715,0.0047226814,0.01037229,0.027583389,0.025865486,0.04575258,0.048092768,0.051761184,0.070301205,0.06863222,0.070903294,0.068776585,0.057293322,0.060536038,0.059476405,0.05891943,0.051313594,0.21663469
