,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.25856394,0.19025302,0.13027522,0.083845556,0.07108572,0.034756005,0.03755313,0.008821949,0.003964454,0.020078242,0.015414923,0.0001386404,0.00037388504,0.02493015,0.0018187463,0.015679754,0.012661368,0.01836878,0.016726755,0.054689765
1,Lewis Hamilton,0.25856394,0.19025302,0.13027522,0.083845556,0.07108572,0.034756005,0.03755313,0.008821949,0.003964454,0.020078242,0.015414923,0.0001386404,0.00037388504,0.02493015,0.0018187463,0.015679754,0.012661368,0.01836878,0.016726755,0.054689765
2,Nico Hulkenberg,0.0435521,0.06141913,0.06693584,0.07041907,0.07559252,0.073551774,0.11960986,0.0047611296,0.0021079183,0.095030695,0.07902762,1.3321638e-05,3.221631e-05,0.0796697,7.5399876e-05,0.053934008,0.0051209778,0.0389636,0.027577057,0.10260606
3,Max Verstappen,0.17507994,0.15429378,0.1336869,0.09732792,0.08330065,0.0461002,0.05652544,0.0083670765,0.004793465,0.03270623,0.022603825,0.00015433133,0.00039182603,0.031934574,0.0016898662,0.021690115,0.016336605,0.024276443,0.020813897,0.06792692
4,Daniel Ricciardo,0.018682718,0.039856553,0.04883331,0.05794674,0.050855935,0.0736444,0.13074994,0.002496183,0.00065648556,0.11131826,0.10586482,7.748604e-07,2.4735928e-06,0.10055825,5.811453e-06,0.066943526,0.0022635013,0.043082625,0.030042648,0.11619504
5,Lance Stroll,0.009779274,0.029676974,0.04168898,0.05443108,0.03848356,0.072853684,0.13228214,0.0012628436,0.00025635958,0.11573708,0.113117635,5.9604645e-08,3.2782555e-07,0.1093362,8.34465e-07,0.07323669,0.0014187843,0.047057748,0.03260547,0.12677428
6,Pierre Gasly,0.00531739,0.022546947,0.03601587,0.051342905,0.029485643,0.07144719,0.13189715,0.00061416626,9.340048e-05,0.11774379,0.116827905,0.0,5.9604645e-08,0.11559042,1.1920929e-07,0.07821643,0.00087958574,0.05060309,0.03502336,0.13635457
7,Charles Leclerc,0.09701228,0.093989074,0.09872371,0.0944072,0.09417492,0.065289676,0.092088014,0.0071650743,0.005211085,0.06493184,0.04721123,0.00013497472,0.00025381148,0.053915396,0.0007158369,0.03598219,0.011509985,0.032083474,0.022353314,0.08284691
8,Alexander Albon,0.17507994,0.15429378,0.1336869,0.09732792,0.08330065,0.0461002,0.05652544,0.0083670765,0.004793465,0.03270623,0.022603825,0.00015433133,0.00039182603,0.031934574,0.0016898662,0.021690115,0.016336605,0.024276443,0.020813897,0.06792692
9,Lando Norris,0.09114957,0.08932984,0.09552407,0.09191835,0.09255117,0.06769428,0.09592074,0.0069752634,0.004998088,0.068170816,0.05009134,0.00011791289,0.00022104383,0.056590244,0.0006030947,0.037428528,0.010771707,0.032881767,0.022830479,0.0842317
10,Sebastian Vettel,0.08301246,0.08510351,0.09105015,0.088668704,0.09092826,0.06899911,0.09977281,0.006702453,0.0044704676,0.07212189,0.053982675,8.8989735e-05,0.00017121434,0.05990091,0.00046433508,0.039773375,0.00973843,0.033980288,0.023665816,0.087404154
11,Carlos Sainz,0.06563634,0.07551581,0.08061504,0.080691576,0.08620298,0.07131636,0.108437836,0.006063074,0.0034408867,0.08160567,0.063747436,4.5239925e-05,9.5427036e-05,0.06776218,0.0002425015,0.045468375,0.0076447576,0.036141388,0.025392108,0.09393501
12,Romain Grosjean,1.7881393e-07,0.00018000603,0.0023242235,0.014020801,0.00019836426,0.031300187,0.07336217,0.0,0.0,0.088492095,0.110877335,0.0,0.0,0.16252023,0.0,0.13053587,2.3841858e-07,0.08964229,0.06083727,0.23570874
13,Esteban Ocon,0.020119905,0.04132861,0.049907863,0.05855626,0.052697003,0.07374185,0.13034153,0.002651751,0.00071775913,0.11049816,0.10422033,9.834766e-07,3.0398369e-06,0.09910637,7.212162e-06,0.066063836,0.002390951,0.04269968,0.029838532,0.11510837
14,George Russell,0.0,4.1484833e-05,0.0009952784,0.0091641545,4.1484833e-05,0.023290813,0.057877958,0.0,0.0,0.075262845,0.1003539,0.0,0.0,0.16610307,0.0,0.14068395,0.0,0.09864092,0.06736478,0.26017937
15,Daniil Kvyat,0.0005583167,0.007983625,0.02032739,0.03994888,0.010505974,0.06273693,0.12284583,4.4345856e-05,2.5629997e-06,0.11786258,0.1234602,0.0,0.0,0.13291031,0.0,0.09331164,0.00015473366,0.061247587,0.04205224,0.16404685
16,Kevin Magnussen,1.7881393e-07,0.00020098686,0.002478242,0.014486134,0.00022387505,0.032013535,0.07467288,0.0,0.0,0.08947188,0.11153942,0.0,0.0,0.16197693,0.0,0.12958285,2.682209e-07,0.08889118,0.060322747,0.23413889
17,Nicholas Latifi,2.6106834e-05,0.001926899,0.009062648,0.027204692,0.002385676,0.04921335,0.10370797,1.1324883e-06,0.0,0.108986735,0.12252432,0.0,0.0,0.14829403,0.0,0.10951823,1.4364719e-05,0.0730961,0.049998745,0.194039
18,Antonio Giovinazzi,1.2516975e-06,0.00046628714,0.0040212274,0.018349469,0.0005405545,0.037715435,0.08481252,0.0,0.0,0.096726,0.11611742,0.0,0.0,0.15771666,0.0,0.122491986,1.1920929e-06,0.083301604,0.05683686,0.22090153
19,Kimi Raikkonen,0.001121521,0.011035979,0.024350464,0.043330014,0.014535069,0.06573975,0.12644917,0.00010043383,7.867813e-06,0.11869311,0.12229335,0.0,0.0,0.1282919,0.0,0.089047134,0.00026488304,0.058237746,0.04010597,0.15639563
