,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.26434702,0.19248575,0.13140947,0.08051711,0.07155892,0.029768303,0.02892813,0.022044346,0.00752379,0.013791814,0.014623493,0.00047913194,0.0015755892,0.023013406,0.0053988695,0.014205441,0.0142959505,0.0178653,0.017681453,0.048486713
1,Valtteri Bottas,0.26434702,0.19248575,0.13140947,0.08051711,0.07155892,0.029768303,0.02892813,0.022044346,0.00752379,0.013791814,0.014623493,0.00047913194,0.0015755892,0.023013406,0.0053988695,0.014205441,0.0142959505,0.0178653,0.017681453,0.048486713
2,Max Verstappen,0.26434702,0.19248575,0.13140947,0.08051711,0.07155892,0.029768303,0.02892813,0.022044346,0.00752379,0.013791814,0.014623493,0.00047913194,0.0015755892,0.023013406,0.0053988695,0.014205441,0.0142959505,0.0178653,0.017681453,0.048486713
3,Alexander Albon,0.12056434,0.11589646,0.11401534,0.097848296,0.09690642,0.051627308,0.06391403,0.027735144,0.01179108,0.042574435,0.03550516,0.00055646896,0.0013983995,0.043384656,0.00370346,0.028943926,0.01742053,0.027602509,0.022477634,0.07613439
4,Sergio Perez,0.08290583,0.07815832,0.08185089,0.0786559,0.09632856,0.066387355,0.08708802,0.031740695,0.011845082,0.068255454,0.05708638,0.00027629733,0.00053942204,0.06295401,0.0010921806,0.041533366,0.010580152,0.03304182,0.024047278,0.085633
5,Daniel Ricciardo,0.054433703,0.06170094,0.062119603,0.062672794,0.09020281,0.06785512,0.10056031,0.03913164,0.008691072,0.08526698,0.074706435,7.736683e-05,0.00015461445,0.07601577,0.00029714406,0.05170749,0.00630942,0.03651999,0.026254922,0.09532188
6,Esteban Ocon,0.048965156,0.057825148,0.05807197,0.05957681,0.08689773,0.0678305,0.103110254,0.041439414,0.008312225,0.08892539,0.079316884,6.0141087e-05,0.00011694431,0.07928088,0.00021322072,0.0540096,0.0057359934,0.037098497,0.026470669,0.09674256
7,Pierre Gasly,0.035315633,0.04870969,0.051320374,0.055746377,0.07586676,0.06793225,0.10626167,0.046172798,0.0066492558,0.09537876,0.08845371,2.1845102e-05,4.8160553e-05,0.08720982,7.8588724e-05,0.059274778,0.0046176463,0.03969936,0.027949579,0.10329295
8,Lando Norris,0.073488,0.07276994,0.075152636,0.07336545,0.094534636,0.067028224,0.09154716,0.03431678,0.010906458,0.07351518,0.062714845,0.0001937151,0.00037235022,0.06731255,0.0007444769,0.0448018,0.009049982,0.03430903,0.024808943,0.08906785
9,Daniil Kvyat,0.010782003,0.02684629,0.035556495,0.047272623,0.04529184,0.06571984,0.10712701,0.0566895,0.00268054,0.10801989,0.11001536,4.7683716e-07,1.6391277e-06,0.1078524,2.2351742e-06,0.072813734,0.0022830963,0.047192186,0.03224174,0.121611096
10,Sebastian Vettel,0.05765754,0.06344807,0.06456733,0.06501347,0.090112746,0.06781864,0.098857105,0.038726002,0.009290427,0.08283728,0.07277939,9.599328e-05,0.0001808703,0.074751034,0.0003515631,0.050444588,0.006867647,0.036184393,0.02590818,0.09410773
11,Charles Leclerc,0.08722913,0.08272773,0.085208,0.08146995,0.09813362,0.06413096,0.08341488,0.031120688,0.01197809,0.06468585,0.054060787,0.00030747056,0.00062173605,0.060416967,0.001295656,0.040144622,0.011374801,0.032478355,0.02391307,0.08528762
12,Lance Stroll,0.05155891,0.059459746,0.05978328,0.060967267,0.08785212,0.06776744,0.10184175,0.04069534,0.008620709,0.0871526,0.07741782,7.009506e-05,0.0001373589,0.07800722,0.00024917722,0.053006187,0.0060741007,0.036865376,0.026345074,0.09612843
13,George Russell,0.0,1.1920929e-07,2.104044e-05,0.0014262199,2.3841858e-07,0.0056017637,0.0071818233,0.014847815,0.0,0.049875736,0.09111297,0.0,0.0,0.17248756,0.0,0.15720218,0.0,0.1136125,0.08556113,0.3010689
14,Antonio Giovinazzi,0.0,2.7656555e-05,0.0007046461,0.0077250004,8.60095e-05,0.019625783,0.029281199,0.03434241,0.0,0.08659774,0.122653544,0.0,0.0,0.1702416,0.0,0.13460398,1.1920929e-07,0.091643184,0.06534159,0.23712555
15,Kimi Raikkonen,0.00019145012,0.004007876,0.012445211,0.030265272,0.00857681,0.05159074,0.083400786,0.054920495,5.6147575e-05,0.115006864,0.12851787,0.0,0.0,0.138527,0.0,0.09778267,0.00016185641,0.064541414,0.044444352,0.16556318
16,Kevin Magnussen,0.0,5.6624413e-06,0.00028198957,0.005004406,1.9848347e-05,0.014339387,0.020577908,0.028751314,0.0,0.07685763,0.11649835,0.0,0.0,0.17431158,0.0,0.1429162,0.0,0.09793326,0.070185155,0.2523173
17,Romain Grosjean,0.0,4.529953e-06,0.00025069714,0.0047255754,1.6093254e-05,0.013726175,0.019625485,0.027584195,0.0,0.07527667,0.11502862,0.0,0.0,0.17421854,0.0,0.14359489,0.0,0.09893733,0.07121301,0.2557982
18,Nicholas Latifi,0.0,1.4364719e-05,0.00048655272,0.006488323,4.696846e-05,0.017290592,0.025414467,0.03166312,0.0,0.08252776,0.12010968,0.0,0.0,0.1719644,0.0,0.13805127,5.9604645e-08,0.09439698,0.0674817,0.24406376
