,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.24145901,0.17746371,0.12758908,0.0801363,0.07318699,0.036961675,0.041947246,0.009931475,0.0043718815,0.023243219,0.018098682,0.00015421212,0.00040361285,0.029148713,0.002013132,0.018871084,0.014270268,0.021092474,0.019469976,0.060187258
1,Valtteri Bottas,0.24145901,0.17746371,0.12758908,0.0801363,0.07318699,0.036961675,0.041947246,0.009931475,0.0043718815,0.023243219,0.018098682,0.00015421212,0.00040361285,0.029148713,0.002013132,0.018871084,0.014270268,0.021092474,0.019469976,0.060187258
2,Max Verstappen,0.15087414,0.13770944,0.12859493,0.09655705,0.08467296,0.048146337,0.06304532,0.008410245,0.0048386455,0.037402213,0.026172906,0.00015687943,0.00036995113,0.036705375,0.0016824752,0.025024176,0.0181095,0.028692491,0.023980916,0.07885405
3,Charles Leclerc,0.09460729,0.09775096,0.10202205,0.09738612,0.09363562,0.058885902,0.08569306,0.00698182,0.00474751,0.06037724,0.043901086,0.00014057755,0.00025328994,0.051907167,0.0008623451,0.036009744,0.0135436505,0.03423904,0.024383366,0.092672154
4,Lando Norris,0.095840275,0.09869975,0.1028595,0.09754461,0.093405664,0.058549553,0.08525589,0.0070338547,0.004750192,0.059712976,0.04334551,0.00014182925,0.00025740266,0.051371977,0.00088605285,0.035649642,0.013705775,0.034144603,0.02440887,0.092436075
5,Lance Stroll,0.022747159,0.04428619,0.053949118,0.061476946,0.059449136,0.0722276,0.12515402,0.002709806,0.00094634295,0.1071533,0.09522197,3.33786e-06,6.9737434e-06,0.094207734,1.9997358e-05,0.06421736,0.0029696524,0.043988064,0.031574592,0.11769071
6,Carlos Sainz,0.071205795,0.08042908,0.08891672,0.08820486,0.08726776,0.06631076,0.098884165,0.0059820414,0.0037656426,0.07290298,0.05538228,7.5787306e-05,0.00013592839,0.06270996,0.00041514635,0.042596802,0.010102481,0.037742898,0.026675537,0.10029338
7,Daniel Ricciardo,0.013187885,0.033723176,0.045595586,0.056422174,0.045324504,0.071036994,0.12748498,0.0016685128,0.00043845177,0.11343855,0.10877022,5.9604645e-07,1.3709068e-06,0.1060268,4.261732e-06,0.07094151,0.001789093,0.046544015,0.03288076,0.124720566
8,Esteban Ocon,0.016496778,0.0377388,0.048908412,0.05852288,0.050792754,0.07168257,0.1268149,0.002042234,0.00060385466,0.11110756,0.10326117,1.2218952e-06,2.682209e-06,0.10127765,8.076429e-06,0.0682849,0.0022091717,0.045619354,0.03243708,0.12218795
9,Sebastian Vettel,0.045890212,0.06318468,0.07340306,0.076767266,0.07706922,0.07139164,0.11238691,0.00453791,0.0023881495,0.088039756,0.0708074,2.5808811e-05,4.7802925e-05,0.07590631,0.00013449788,0.05139719,0.006468624,0.0413142,0.029346913,0.10949245
10,Pierre Gasly,0.0047470927,0.020899415,0.0348258,0.049666643,0.02802068,0.067466915,0.12599021,0.0005649924,9.5784664e-05,0.118281126,0.121465266,5.9604645e-08,8.940697e-08,0.120435596,2.3841858e-07,0.08050646,0.000777483,0.05182071,0.036258534,0.1381769
11,Alexander Albon,0.12682289,0.11905801,0.12010342,0.09966493,0.088513315,0.051661253,0.07550356,0.008105457,0.004984826,0.04676473,0.032510504,0.00018951297,0.00038170815,0.04041694,0.0016120374,0.028007329,0.01723665,0.030927673,0.023747735,0.08378752
12,Nico Hulkenberg,0.069315135,0.0788126,0.087697625,0.08722687,0.086511195,0.06709123,0.100221545,0.0058798194,0.0036831796,0.074139684,0.056514263,7.176399e-05,0.00012800097,0.063738,0.00038684905,0.04316774,0.009803593,0.03800942,0.026849233,0.10075226
13,Kevin Magnussen,0.0,4.7028065e-05,0.0011238456,0.009054303,5.465746e-05,0.019260287,0.04702872,0.0,0.0,0.07341915,0.10977203,0.0,0.0,0.17810309,0.0,0.14183694,2.9802322e-08,0.10064605,0.06904036,0.2506135
14,Antonio Giovinazzi,3.5762787e-07,0.0002399683,0.002845168,0.014556229,0.00029700994,0.027928233,0.064293325,0.0,0.0,0.0884043,0.12023139,0.0,0.0,0.17116576,0.0,0.13005212,2.9802322e-07,0.089919746,0.061980486,0.2280856
15,Kimi Raikkonen,0.00061511993,0.008071005,0.020668685,0.039083958,0.011124074,0.058326364,0.114877105,5.3167343e-05,4.1127205e-06,0.11774063,0.12865216,0.0,0.0,0.13776654,0.0,0.09444997,0.00015050173,0.06175831,0.04298362,0.16367468
16,Romain Grosjean,0.0,5.0663948e-05,0.0011725426,0.009252131,5.9068203e-05,0.019591033,0.047713637,0.0,0.0,0.07407844,0.11028886,0.0,0.0,0.17787153,0.0,0.1413421,2.9802322e-08,0.10016897,0.068725824,0.24968517
17,Nicholas Latifi,4.708767e-06,0.00082713366,0.005750239,0.020756543,0.0010667443,0.036664605,0.08033717,1.7881393e-07,0.0,0.10002345,0.12635475,0.0,0.0,0.16277713,0.0,0.11944121,2.7418137e-06,0.08109057,0.0561361,0.20876673
18,Daniil Kvyat,7.671118e-05,0.003062427,0.012045026,0.030027926,0.0041278005,0.048383832,0.099986136,4.6491623e-06,1.1920929e-07,0.11157578,0.12985903,0.0,0.0,0.15039262,0.0,0.10617241,2.8014183e-05,0.070550814,0.04899484,0.18471186
19,George Russell,0.0,1.1444092e-05,0.0005028844,0.005988598,1.2278557e-05,0.013881445,0.035448015,0.0,0.0,0.061392486,0.09949374,0.0,0.0,0.1811775,0.0,0.15073588,0.0,0.10951993,0.07504442,0.26679137
