,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.21165621,0.17021608,0.1253207,0.0897271,0.078020185,0.036569625,0.036683798,0.016413182,0.008349776,0.020715073,0.018323392,0.00034686923,0.0010198206,0.033088624,0.004157126,0.01959613,0.01695516,0.0239193,0.021326967,0.06759487
1,Lewis Hamilton,0.21165621,0.17021608,0.1253207,0.0897271,0.078020185,0.036569625,0.036683798,0.016413182,0.008349776,0.020715073,0.018323392,0.00034686923,0.0010198206,0.033088624,0.004157126,0.01959613,0.01695516,0.0239193,0.021326967,0.06759487
2,Max Verstappen,0.21165621,0.17021608,0.1253207,0.0897271,0.078020185,0.036569625,0.036683798,0.016413182,0.008349776,0.020715073,0.018323392,0.00034686923,0.0010198206,0.033088624,0.004157126,0.01959613,0.01695516,0.0239193,0.021326967,0.06759487
3,Charles Leclerc,0.068455994,0.074172676,0.08162385,0.083354294,0.09118706,0.06712508,0.097026795,0.016250014,0.0078519285,0.07457447,0.05760479,0.00010967255,0.00023502111,0.06632796,0.0005964339,0.044386417,0.010425717,0.036716245,0.026297145,0.095678434
4,Alexander Albon,0.21165621,0.17021608,0.1253207,0.0897271,0.078020185,0.036569625,0.036683798,0.016413182,0.008349776,0.020715073,0.018323392,0.00034686923,0.0010198206,0.033088624,0.004157126,0.01959613,0.01695516,0.0239193,0.021326967,0.06759487
5,Daniel Ricciardo,0.05706805,0.06735027,0.07608765,0.07953948,0.08748245,0.06919396,0.10251394,0.017015457,0.007529944,0.08012605,0.06251353,8.368492e-05,0.00018596649,0.07077944,0.00044055283,0.04760936,0.009349555,0.03821735,0.027390793,0.099522516
6,Esteban Ocon,0.03176081,0.04779005,0.0552848,0.062087774,0.07522774,0.07226682,0.121294916,0.017156959,0.004268706,0.1011557,0.084978044,1.4364719e-05,3.2424927e-05,0.08606671,7.429719e-05,0.05891636,0.0046795458,0.040646687,0.029134564,0.10716274
7,Lando Norris,0.10032922,0.10175055,0.10547352,0.09414899,0.08977878,0.055112243,0.077367604,0.017914802,0.009877771,0.05214241,0.039249867,0.00029358268,0.0007606745,0.050644636,0.0023634136,0.03403519,0.017186925,0.03366881,0.02629906,0.091601945
8,Sergio Perez,0.04853624,0.059816062,0.06756896,0.07184541,0.084843755,0.07161498,0.11111736,0.016423255,0.0058625937,0.08877635,0.07109779,4.1872263e-05,8.812547e-05,0.07624078,0.00021150708,0.05136606,0.007012263,0.038806424,0.027738757,0.10099145
9,Carlos Sainz,0.053866804,0.06366736,0.07237542,0.07601708,0.08624959,0.071048856,0.10691211,0.016777217,0.0069601834,0.08415806,0.06623715,6.6548586e-05,0.0001424849,0.07314336,0.00033399463,0.048974365,0.008313626,0.0383002,0.027331777,0.09912381
10,Sebastian Vettel,0.03786248,0.05364126,0.063453436,0.06999332,0.0780921,0.07214123,0.11404562,0.017827213,0.005839646,0.09275895,0.07520634,3.272295e-05,7.739663e-05,0.08092266,0.00016909838,0.054916933,0.006562263,0.0408075,0.029188842,0.10646099
11,Pierre Gasly,0.030746937,0.046987712,0.054810464,0.061920524,0.07435173,0.07241732,0.121803164,0.01670456,0.0039466023,0.10179189,0.08586717,1.1712313e-05,2.6345253e-05,0.0867628,6.186962e-05,0.059337333,0.0044677854,0.040904537,0.029266834,0.10781272
12,Daniil Kvyat,0.007143736,0.02244997,0.036772907,0.053251624,0.03975129,0.07062936,0.12936842,0.011572659,0.00073701143,0.11696708,0.11400184,5.9604645e-08,1.7881393e-07,0.111815006,6.854534e-07,0.0751884,0.0013566911,0.048592657,0.033129707,0.12727071
13,Antonio Giovinazzi,0.0,4.5895576e-06,0.0004698038,0.009841919,2.2888184e-05,0.018607914,0.047830284,2.0861626e-06,0.0,0.0750134,0.10845071,0.0,0.0,0.17647511,0.0,0.14465094,0.0,0.10049924,0.06447834,0.25365278
14,Kevin Magnussen,0.0,2.3841858e-07,9.5784664e-05,0.004910648,1.4901161e-06,0.010396481,0.029572666,1.1920929e-07,0.0,0.055211425,0.09177375,0.0,0.0,0.18053806,0.0,0.1597982,0.0,0.1137602,0.07156032,0.2823806
15,Romain Grosjean,0.0,1.7881393e-07,7.754564e-05,0.0044867396,1.013279e-06,0.00963366,0.027728736,5.9604645e-08,0.0,0.052954316,0.089534104,0.0,0.0,0.18071836,0.0,0.16161865,0.0,0.115291655,0.072300285,0.2856547
16,George Russell,0.0,5.9604645e-08,3.7372112e-05,0.0031355023,2.9802322e-07,0.0071839094,0.021766126,0.0,0.0,0.04487878,0.08153105,0.0,0.0,0.17988199,0.0,0.1669893,0.0,0.121208996,0.07570094,0.29768568
17,Nicholas Latifi,0.0,5.6028366e-06,0.00051248074,0.010000825,2.6404858e-05,0.018950224,0.048572898,2.7418137e-06,0.0,0.075561166,0.1089139,0.0,0.0,0.17634541,0.0,0.14432037,0.0,0.1000655,0.06427118,0.2524513
18,Kimi Raikkonen,3.993511e-06,0.0006107092,0.006059408,0.027966797,0.0018386245,0.04436934,0.094970524,0.00031369925,5.9604645e-08,0.11054617,0.12732065,0.0,0.0,0.15448013,0.0,0.112739146,4.440546e-06,0.07505141,0.04973288,0.19399202
19,Nico Hulkenberg,0.016542315,0.03373128,0.045147836,0.05702895,0.055663347,0.07198781,0.12766552,0.015491784,0.0019697547,0.110780865,0.10304272,1.3113022e-06,3.0696392e-06,0.10039067,8.493662e-06,0.06743766,0.0025466532,0.044145882,0.03052117,0.1158929
