,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.21966702,0.16969335,0.120683074,0.0810487,0.07874879,0.03767088,0.042550415,0.015811995,0.007394299,0.02355276,0.02003096,0.0003642887,0.00093220174,0.032673478,0.0036808103,0.020475462,0.015880406,0.023392044,0.021697745,0.06405132
1,Valtteri Bottas,0.21966702,0.16969335,0.120683074,0.0810487,0.07874879,0.03767088,0.042550415,0.015811995,0.007394299,0.02355276,0.02003096,0.0003642887,0.00093220174,0.032673478,0.0036808103,0.020475462,0.015880406,0.023392044,0.021697745,0.06405132
2,Carlos Sainz,0.049553037,0.06457865,0.073847294,0.076494396,0.084252,0.0703783,0.10850334,0.007558137,0.0036792457,0.08572212,0.06489,3.8564205e-05,8.3982944e-05,0.073233694,0.00021651387,0.04986079,0.007565409,0.041750222,0.030117743,0.10767656
3,Sergio Perez,0.04070276,0.05865699,0.06739664,0.07138163,0.08085275,0.07134879,0.11399856,0.0068193376,0.002865851,0.09236175,0.07120922,2.1070242e-05,4.798174e-05,0.07805021,0.00012248755,0.05356683,0.0060340017,0.04276301,0.030961476,0.11083866
4,Max Verstappen,0.17670405,0.14601994,0.119433045,0.08687246,0.08700645,0.043861836,0.054171145,0.014268607,0.008218169,0.032341912,0.02498056,0.00039727986,0.00096972287,0.037017956,0.003513217,0.024374142,0.017701328,0.026718408,0.023445182,0.0719846
5,Lando Norris,0.0548532,0.06828141,0.07758963,0.07901025,0.08749533,0.0695917,0.10512939,0.0077067316,0.004141152,0.08209252,0.060450494,5.2899122e-05,0.0001181066,0.06977722,0.00030109286,0.04769662,0.008538023,0.041215077,0.029885352,0.1060738
6,Daniel Ricciardo,0.02446431,0.045783043,0.055214643,0.062414348,0.06940395,0.07267529,0.124240994,0.005067885,0.001480639,0.10562128,0.08530247,4.2021275e-06,1.0669231e-05,0.088789165,2.7567148e-05,0.06138715,0.0035289526,0.04491198,0.032499038,0.11717243
7,Lance Stroll,0.022315383,0.043890417,0.053937554,0.06187284,0.06680167,0.07286054,0.12521583,0.0048006773,0.0013459921,0.106920004,0.08699605,3.2484531e-06,8.34465e-06,0.0903424,2.1338463e-05,0.06238787,0.0033588856,0.045478508,0.032828912,0.11861354
8,Alexander Albon,0.10655373,0.1064384,0.107537866,0.095172346,0.0918107,0.053806305,0.077920526,0.012301594,0.0077670813,0.05227226,0.037546784,0.00029447675,0.000650391,0.04785812,0.0021632016,0.032926664,0.017645657,0.033984877,0.026239678,0.08910934
9,Pierre Gasly,0.0037616491,0.018515825,0.032868326,0.04976183,0.030074716,0.07034606,0.13414812,0.0013726354,0.00011783838,0.1238749,0.11862931,0.0,2.9802322e-08,0.11723316,1.1920929e-07,0.077918455,0.0006877482,0.05170214,0.03540261,0.13358453
10,Daniil Kvyat,0.00048428774,0.0071994066,0.019720733,0.04005605,0.012515783,0.0630005,0.12884992,0.00023168325,6.6161156e-06,0.1276412,0.12887564,0.0,0.0,0.13264254,0.0,0.088983014,0.00014443696,0.058939025,0.03982337,0.15088579
11,Esteban Ocon,0.020106018,0.04172492,0.052483737,0.061213493,0.06398773,0.07296854,0.1262291,0.0044344664,0.0011296272,0.10837674,0.08919686,2.1457672e-06,5.6922436e-06,0.092324376,1.5258789e-05,0.0635539,0.0029680878,0.046069324,0.033137634,0.120072335
12,Charles Leclerc,0.06852239,0.079484165,0.086090505,0.08552265,0.09300536,0.06438452,0.095101446,0.008708566,0.0052090287,0.072593,0.05242747,9.736419e-05,0.00021842122,0.06271005,0.00059209764,0.043469995,0.011050984,0.039324865,0.028824449,0.10266267
13,Kimi Raikkonen,0.0005905032,0.007870972,0.02071315,0.04093659,0.013669074,0.06377721,0.12955773,0.00027799606,8.6426735e-06,0.12756073,0.12840769,0.0,0.0,0.13153186,0.0,0.08811884,0.00016410649,0.058274373,0.03935513,0.1491854
14,Kevin Magnussen,0.0,5.77569e-05,0.0013817549,0.012015581,0.00011920929,0.02791369,0.07652676,0.0,0.0,0.10491294,0.12526768,0.0,0.0,0.16951239,0.0,0.12410948,5.9604645e-08,0.087385476,0.057032898,0.21376432
15,Romain Grosjean,0.0,3.6001205e-05,0.0010651946,0.010658562,7.557869e-05,0.0256176,0.07204729,0.0,0.0,0.10181248,0.1235069,0.0,0.0,0.17169833,0.0,0.12678099,2.9802322e-08,0.08977473,0.05835925,0.21856706
16,Sebastian Vettel,0.055606842,0.06827259,0.0777868,0.07946932,0.08609861,0.06962395,0.10512754,0.007989079,0.00422287,0.08179772,0.061243176,5.415082e-05,0.00011590123,0.07030518,0.0003001243,0.04761967,0.008557782,0.040965557,0.029494502,0.105348624
17,Antonio Giovinazzi,1.1920929e-07,0.00014954805,0.0023303032,0.015259385,0.00029736757,0.03311211,0.08610785,1.1920929e-07,0.0,0.11102992,0.12829512,0.0,0.0,0.1645256,0.0,0.11852607,2.9802322e-07,0.08251417,0.054246604,0.20360541
18,George Russell,0.0,7.6293945e-06,0.00044685602,0.0070580244,1.591444e-05,0.019147933,0.058885455,0.0,0.0,0.09164888,0.11646807,0.0,0.0,0.17673624,0.0,0.13420004,0.0,0.097298354,0.06306714,0.23501948
19,Nicholas Latifi,4.529953e-06,0.00084221363,0.0060759187,0.023743093,0.0016118288,0.044947445,0.10531461,3.695488e-06,0.0,0.12110531,0.13197368,0.0,0.0,0.15338147,0.0,0.10714373,4.7683716e-06,0.072899714,0.04839413,0.18255386
