,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.23210096,0.17158842,0.121439576,0.0792245,0.078973174,0.033781588,0.033187106,0.025389507,0.009193838,0.017407447,0.01872313,0.0006825179,0.0021825433,0.02811715,0.0062012076,0.01759646,0.016641393,0.021478683,0.021614835,0.06447596
1,George Russell,0.08035648,0.09172815,0.10026467,0.09179807,0.121501386,0.06879076,0.076422095,0.020931035,0.01296398,0.05910313,0.039455116,0.00051152706,0.0017886758,0.04808165,0.0023940802,0.032979608,0.017754734,0.029299706,0.024238862,0.07963628
2,Max Verstappen,0.23210096,0.17158842,0.121439576,0.0792245,0.078973174,0.033781588,0.033187106,0.025389507,0.009193838,0.017407447,0.01872313,0.0006825179,0.0021825433,0.02811715,0.0062012076,0.01759646,0.016641393,0.021478683,0.021614835,0.06447596
3,Charles Leclerc,0.09051609,0.09201431,0.09597999,0.09180653,0.100307524,0.059937716,0.07223418,0.031077147,0.012635767,0.05504495,0.046791464,0.000369668,0.00090289116,0.054931253,0.0018871129,0.036364645,0.014474735,0.031429946,0.023981318,0.08731276
4,Sergio Perez,0.08855134,0.090247035,0.094982564,0.0910449,0.09963679,0.060811967,0.07342246,0.031329125,0.012555629,0.056137323,0.047733396,0.0003477335,0.00084361434,0.055863515,0.0017510504,0.03689958,0.014126942,0.031787373,0.02414164,0.08778601
5,Daniil Kvyat,0.019929945,0.039754927,0.04683882,0.05353421,0.06272292,0.06717163,0.10377866,0.054795146,0.005094528,0.09631711,0.097851515,3.8444996e-06,1.04904175e-05,0.09683493,1.8775463e-05,0.0652584,0.003078714,0.04382384,0.029526137,0.113655455
6,Daniel Ricciardo,0.079261065,0.083057106,0.09062117,0.087990046,0.09657377,0.06423214,0.078268826,0.032554567,0.0121206045,0.06080243,0.05187455,0.00025609136,0.00060629845,0.059947386,0.0012204051,0.039316848,0.012745976,0.033393696,0.024903394,0.09025363
7,Carlos Sainz,0.08276874,0.084999144,0.09207094,0.088825524,0.09738982,0.0635162,0.07703447,0.032046407,0.012295634,0.059475422,0.05060622,0.00028777122,0.0006825924,0.058685586,0.0013887584,0.038463548,0.013102666,0.032815225,0.024565943,0.08897939
8,Pierre Gasly,0.04678577,0.061582863,0.07142109,0.07417804,0.08338791,0.069817424,0.09232414,0.040512025,0.009241164,0.077115834,0.06981936,5.4001808e-05,0.00013145804,0.07602963,0.00024601817,0.05001895,0.007744819,0.039222747,0.027846694,0.10252006
9,Lance Stroll,0.042399347,0.058292687,0.06726581,0.07052547,0.081358016,0.069622815,0.09465152,0.042149812,0.008440673,0.08028975,0.07375467,3.5643578e-05,8.738041e-05,0.07905185,0.00016380847,0.052266195,0.006630242,0.040105373,0.028244533,0.10466441
10,Esteban Ocon,0.044226468,0.059661627,0.068923295,0.071944594,0.082310796,0.06970394,0.09374148,0.04143259,0.008754075,0.07902068,0.072122514,4.2259693e-05,0.000103116035,0.07779023,0.00019320846,0.051342145,0.007053569,0.039745107,0.028088033,0.10380028
11,Alexander Albon,0.16997522,0.14304811,0.119128644,0.08846432,0.09105906,0.042656094,0.0466924,0.026426762,0.011386216,0.027507886,0.025838852,0.00077554584,0.0022757351,0.035169706,0.0058897734,0.023052484,0.018965155,0.02476304,0.023410313,0.073514685
12,Sebastian Vettel,0.05598408,0.06726414,0.07744962,0.07859796,0.087754786,0.06951022,0.08901119,0.037436813,0.010319173,0.07261056,0.06403485,9.280443e-05,0.00022003055,0.07107945,0.00041513145,0.046480447,0.00918141,0.037484482,0.026917987,0.098154865
13,Antonio Giovinazzi,1.1026859e-05,0.0015558004,0.00819248,0.022126377,0.0037218928,0.041128993,0.06521338,0.046070874,3.7550926e-06,0.09983373,0.123786926,0.0,0.0,0.14781731,0.0,0.11332157,8.583069e-06,0.0790042,0.050682604,0.1975205
14,Kevin Magnussen,1.5497208e-06,0.000666976,0.0051664114,0.017571568,0.001725018,0.034901142,0.0545066,0.04155481,5.9604645e-07,0.094227314,0.122516096,0.0,0.0,0.15388942,0.0,0.121720105,1.937151e-06,0.085764736,0.05415249,0.21163324
15,Nicholas Latifi,9.119511e-06,0.0014374852,0.007865965,0.021700501,0.0034618378,0.040557146,0.06421423,0.04554802,3.1590462e-06,0.09937906,0.1237483,0.0,0.0,0.1484299,0.0,0.11410478,7.4505806e-06,0.079628885,0.050939843,0.19896431
16,driver_aitken,0.0010386109,0.011244953,0.023783267,0.037708044,0.021872818,0.058454633,0.09417802,0.055056155,0.00028181076,0.10767037,0.11889148,0.0,0.0,0.12536281,0.0,0.08917096,0.000277102,0.06035158,0.03977643,0.15488096
17,Kimi Raikkonen,0.0025944114,0.01704657,0.029569626,0.043749094,0.030587256,0.06304997,0.09753275,0.06123078,0.0011214018,0.1053471,0.11475071,0.0,5.9604645e-08,0.11791232,1.1920929e-07,0.082366735,0.0010176599,0.054685682,0.036430016,0.14100774
18,Lando Norris,0.07980001,0.08378041,0.09083074,0.08815849,0.09704995,0.063768804,0.07777539,0.032514244,0.01215291,0.0603835,0.051525712,0.00026142597,0.00062313676,0.059591427,0.0012549758,0.03917831,0.012875408,0.033290528,0.024891764,0.09029286
19,Pietro Fittipaldi,0.0004056692,0.007479489,0.019131899,0.033910334,0.015277505,0.05481863,0.08817792,0.053670526,0.00011694431,0.107268155,0.12138209,0.0,0.0,0.13135326,0.0,0.094889075,0.00013706088,0.06463939,0.04236935,0.16497271
