,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.22814512,0.17115057,0.12519297,0.08448511,0.077720374,0.03910315,0.04525931,0.007556081,0.0033432692,0.026395366,0.019309193,0.00013969839,0.00035214424,0.03107664,0.0018180907,0.019993722,0.015050732,0.022413947,0.020540774,0.060953736
1,Max Verstappen,0.0005810261,0.007385552,0.018686295,0.041478276,0.0069812536,0.065698445,0.12571186,2.3663044e-05,1.4305115e-06,0.1222648,0.12580568,0.0,0.0,0.1260517,0.0,0.08900154,0.00018572807,0.057787806,0.041976362,0.1703786
2,Carlos Sainz,0.053022742,0.068576396,0.07488865,0.07893664,0.07767409,0.07340169,0.11358473,0.0035887659,0.0018570125,0.0878413,0.06671506,2.6404858e-05,5.4061413e-05,0.07056783,0.00014662743,0.04878272,0.0072047263,0.038819835,0.028142832,0.10616789
3,Valtteri Bottas,0.19862574,0.15887022,0.12756652,0.09013882,0.080941975,0.042639196,0.051787883,0.006784752,0.0033395886,0.030779377,0.021680593,0.00012002885,0.00030356646,0.033033118,0.0015596449,0.021803468,0.016183406,0.024695568,0.021907121,0.06723941
4,Esteban Ocon,0.0013663769,0.011169851,0.023753226,0.045792043,0.011006713,0.069259584,0.12986767,6.93202e-05,5.9604645e-06,0.122704506,0.12434453,0.0,0.0,0.12172338,0.0,0.08478412,0.00035753846,0.054598376,0.039574504,0.1596223
5,Alexander Albon,0.00068074465,0.007972777,0.01953417,0.04224956,0.0075969696,0.066367626,0.12653196,2.8908253e-05,1.9073486e-06,0.12241709,0.12561437,0.0,0.0,0.12533164,0.0,0.08826107,0.00020888448,0.05722329,0.041547984,0.16843104
6,Pierre Gasly,0.0010203719,0.009700835,0.021892369,0.04428935,0.009427011,0.068073034,0.12853795,4.8041344e-05,3.695488e-06,0.12266046,0.124955356,0.0,0.0,0.12330112,0.0,0.08628288,0.0002861619,0.055723608,0.04041955,0.16337821
7,Daniel Ricciardo,0.0015163422,0.011746943,0.024447143,0.04630649,0.011610448,0.06963915,0.13026917,7.903576e-05,7.033348e-06,0.1226781,0.124106556,0.0,0.0,0.121151924,0.0,0.084254414,0.0003861785,0.054203317,0.03928475,0.158313
8,Lando Norris,0.049368024,0.066185355,0.07244784,0.07706761,0.07585454,0.073935926,0.115660876,0.003406912,0.00168854,0.09032664,0.06914052,2.1517277e-05,4.5329332e-05,0.07235873,0.0001219511,0.050271392,0.0067164004,0.039238214,0.028579377,0.10756431
9,Sebastian Vettel,0.1704557,0.14923912,0.12717712,0.09493938,0.081220716,0.04649082,0.057252944,0.006683171,0.0033289492,0.03448689,0.024111643,0.000110551715,0.00027033687,0.036281496,0.0014159679,0.024031729,0.017126456,0.027321458,0.023804024,0.07425153
10,George Russell,5.9604645e-08,8.666515e-05,0.0013328791,0.012749672,4.2676926e-05,0.03132838,0.071941376,0.0,0.0,0.09377611,0.11249018,0.0,0.0,0.14273822,0.0,0.11795795,1.4901161e-07,0.08287373,0.062160313,0.27052164
11,Lance Stroll,3.0219555e-05,0.0017668605,0.008031309,0.028654933,0.0013591647,0.052738428,0.10767132,5.364418e-07,0.0,0.1155498,0.12539339,0.0,0.0,0.13579851,0.0,0.10099003,1.9818544e-05,0.067325205,0.04944682,0.20522365
12,Daniil Kvyat,1.7404556e-05,0.0013492107,0.006852329,0.026728868,0.0009995699,0.05053413,0.104308665,2.3841858e-07,0.0,0.11388594,0.12474376,0.0,0.0,0.13696328,0.0,0.10286456,1.2606382e-05,0.0688428,0.05064395,0.21125269
13,Charles Leclerc,0.08195853,0.084044695,0.09026605,0.089797676,0.08745885,0.068758756,0.09969443,0.0049580336,0.003294319,0.07239571,0.052983582,9.024143e-05,0.00015386939,0.0594846,0.00044429302,0.03956352,0.010630906,0.034995705,0.024566092,0.09446014
14,Kevin Magnussen,5.9604645e-08,9.804964e-05,0.0014476776,0.013357878,5.0842762e-05,0.03242421,0.07399827,0.0,0.0,0.09527171,0.11357409,0.0,0.0,0.14269471,0.0,0.11731702,1.7881393e-07,0.081851274,0.061142594,0.26677144
15,Kimi Raikkonen,0.0011411309,0.010232925,0.022570133,0.044776082,0.00995487,0.06844127,0.12894183,5.5015087e-05,4.351139e-06,0.12266618,0.12477857,0.0,0.0,0.1227338,0.0,0.085772514,0.00030690432,0.055331156,0.040147617,0.16214564
16,Sergio Perez,0.0040079355,0.019019961,0.03265673,0.052663445,0.020088553,0.07357031,0.1332134,0.0002565384,3.6239624e-05,0.12074149,0.1161004,0.0,2.9802322e-08,0.112737924,1.1920929e-07,0.07807219,0.000849843,0.051235557,0.03724119,0.14750814
17,Nicholas Latifi,4.9054623e-05,0.0022287369,0.009244382,0.030546904,0.0017845035,0.05484855,0.110835075,1.013279e-06,0.0,0.11705291,0.12591332,0.0,0.0,0.1345672,0.0,0.099247515,2.7477741e-05,0.06580864,0.048235938,0.19960877
18,Antonio Giovinazzi,1.1920929e-07,0.00012165308,0.0016365051,0.014035642,6.3717365e-05,0.03340721,0.07574916,0.0,0.0,0.09653103,0.11448312,0.0,0.0,0.14258152,0.0,0.11640951,2.682209e-07,0.08118698,0.06069225,0.2631013
