,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lance Stroll,0.02610147,0.04636699,0.05621195,0.063748896,0.06926125,0.06981295,0.105734825,0.03617835,0.0041365623,0.092616946,0.08117488,5.90086e-06,1.7940998e-05,0.08728382,3.3438206e-05,0.060348824,0.0050216466,0.04507783,0.0325825,0.118283026
1,Max Verstappen,0.18294454,0.14854604,0.1264109,0.08689484,0.082512796,0.04201436,0.04777521,0.021278322,0.0097486675,0.027694046,0.023317471,0.0004619807,0.0013402402,0.032614306,0.0041296035,0.02154845,0.017242767,0.024607703,0.023700714,0.075217046
2,Sergio Perez,0.049636185,0.06413108,0.07519859,0.07809287,0.08231461,0.06950593,0.09530312,0.03029108,0.0069433153,0.077430844,0.06417847,4.0769577e-05,9.870529e-05,0.072989956,0.00022365153,0.04914823,0.00842692,0.04031931,0.029515505,0.10621086
3,Alexander Albon,0.10817796,0.10395527,0.10378146,0.09534466,0.095790654,0.05475706,0.06844652,0.023913413,0.012040436,0.04992661,0.039396644,0.00048422813,0.0011116117,0.049021542,0.0027545393,0.033200487,0.017031923,0.030305147,0.023808338,0.0867515
4,Daniel Ricciardo,0.07758504,0.07953793,0.0893392,0.086933255,0.09024578,0.066419005,0.08510348,0.02609858,0.0102365315,0.065387994,0.05202833,0.0001733005,0.00038176775,0.061660483,0.0008519143,0.040789753,0.012244388,0.03529933,0.026159577,0.09352436
5,Lewis Hamilton,0.25369555,0.18201834,0.1278849,0.07884848,0.06813875,0.031695276,0.031806156,0.019997478,0.007526487,0.01605694,0.015459165,0.00037491322,0.0012311786,0.024854213,0.004391536,0.015237823,0.014855199,0.020326339,0.021058753,0.06454253
6,Esteban Ocon,0.043768823,0.060399234,0.07116604,0.075009346,0.08053464,0.069918275,0.09805453,0.03132549,0.0061931014,0.0809426,0.067640394,2.732873e-05,6.702542e-05,0.07582037,0.00015459955,0.051398918,0.0074404627,0.04127577,0.030176349,0.10868671
7,Kimi Raikkonen,0.0016406775,0.011793017,0.023273706,0.040571332,0.020957947,0.058303416,0.101243615,0.047243476,0.00028401613,0.1088742,0.11919317,0.0,0.0,0.12597808,0.0,0.08826846,0.0007187128,0.05943337,0.04012248,0.15210032
8,Valtteri Bottas,0.25369555,0.18201834,0.1278849,0.07884848,0.06813875,0.031695276,0.031806156,0.019997478,0.007526487,0.01605694,0.015459165,0.00037491322,0.0012311786,0.024854213,0.004391536,0.015237823,0.014855199,0.020326339,0.021058753,0.06454253
9,Antonio Giovinazzi,1.5497208e-06,0.00044840574,0.0035079718,0.01693654,0.0009787679,0.02993524,0.05386436,0.0323717,2.3841858e-07,0.08850765,0.12106848,0.0,0.0,0.1612381,0.0,0.124654025,1.1056662e-05,0.088903666,0.058770224,0.21880202
10,Sebastian Vettel,0.041143715,0.058546662,0.069309175,0.07370263,0.07921034,0.07004613,0.099208,0.031959057,0.005858958,0.08248043,0.06940174,2.232194e-05,5.5402517e-05,0.07729669,0.0001282841,0.052491054,0.007017195,0.041759983,0.030464143,0.10989809
11,Charles Leclerc,0.06857538,0.074985206,0.08628994,0.08559239,0.08764464,0.067825496,0.08792424,0.02701959,0.009096831,0.06850198,0.055044204,0.00011307001,0.00025352836,0.064784676,0.0005826354,0.042942047,0.011139631,0.036942728,0.027245514,0.09749627
12,Kevin Magnussen,1.1920929e-07,0.00014597178,0.0018145442,0.012403309,0.0003374219,0.02325964,0.041911125,0.02769661,0.0,0.07903427,0.11625332,0.0,0.0,0.16731793,0.0,0.13371554,2.6226044e-06,0.09713629,0.063603625,0.23536767
13,Lando Norris,0.054421484,0.06717205,0.07825345,0.08011645,0.08429015,0.069174826,0.093465686,0.029280096,0.00746873,0.075089425,0.061576813,5.4240227e-05,0.0001270175,0.07063307,0.00029444695,0.047402382,0.009061217,0.039382055,0.02891609,0.103820324
14,Carlos Sainz,0.04411167,0.06058526,0.07135314,0.07522535,0.080439925,0.06985217,0.09768647,0.031287313,0.0063201785,0.08056003,0.06727898,2.8729439e-05,7.203221e-05,0.07566863,0.00015865266,0.05129409,0.0076618046,0.041334435,0.030233353,0.10884778
15,Daniil Kvyat,0.012346506,0.031514943,0.04189664,0.053218722,0.051392853,0.06735855,0.10999411,0.042289376,0.0021144748,0.10317242,0.09793326,5.364418e-07,2.115965e-06,0.10151845,3.4868717e-06,0.070675656,0.0027846247,0.04916297,0.034625113,0.12799518
16,Romain Grosjean,1.1920929e-07,0.00014710426,0.0018259287,0.012439311,0.00033974648,0.023306191,0.04200828,0.027636766,0.0,0.07913333,0.11631,0.0,0.0,0.16731608,0.0,0.13364857,2.6226044e-06,0.09705335,0.06357552,0.23525707
17,Pierre Gasly,0.041490376,0.058616877,0.069583654,0.07419026,0.078553915,0.06994432,0.09862858,0.032120824,0.005995512,0.08185583,0.0691216,2.3335218e-05,5.978346e-05,0.07731986,0.00013099611,0.052399695,0.007270336,0.041914284,0.030525446,0.11025451
