,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.21584278,0.16618997,0.12721056,0.088689715,0.08369985,0.03899014,0.045858145,0.012776971,0.007443249,0.026246414,0.019990727,0.00034679472,0.0008433759,0.029147983,0.0028415024,0.019056633,0.014346592,0.020913884,0.018553358,0.061011355
1,Valtteri Bottas,0.19735074,0.15963686,0.12908024,0.09322557,0.08628309,0.041051805,0.049294427,0.012149096,0.007413611,0.028740019,0.021094248,0.00032126904,0.00079616904,0.030426383,0.002724588,0.020080574,0.015305422,0.022222623,0.019259684,0.063543595
2,Max Verstappen,0.13530165,0.11535114,0.106847584,0.09722483,0.102694035,0.052508235,0.07250589,0.013143152,0.010405958,0.050366536,0.035824046,0.00055620074,0.0010730922,0.0430651,0.0026789755,0.02945882,0.015424177,0.026397526,0.019192055,0.069980994
3,Alexander Albon,0.09835142,0.091819584,0.09151608,0.0866676,0.09856421,0.0627892,0.09055948,0.012874991,0.009126395,0.06605479,0.048627004,0.00029221177,0.00060379505,0.05537635,0.0011798441,0.03738825,0.012759656,0.031517066,0.022599608,0.08133247
4,Charles Leclerc,0.0315966,0.04998815,0.054414213,0.059159398,0.07241142,0.07123858,0.124290526,0.009148419,0.002865076,0.10522914,0.08908093,1.0281801e-05,2.5868416e-05,0.0874656,4.2796135e-05,0.059562907,0.004759878,0.040985867,0.029425085,0.10829927
5,Lance Stroll,0.017290473,0.03679335,0.04471749,0.053375363,0.054915547,0.070566535,0.12985861,0.006948352,0.0013373494,0.114693195,0.105588436,1.2516975e-06,3.5464764e-06,0.10035312,6.4969063e-06,0.06721243,0.0028420836,0.044362217,0.031152949,0.117981195
6,Sergio Perez,0.017256618,0.036742687,0.04469937,0.05337262,0.054909527,0.070586026,0.1298958,0.0069187284,0.0013216734,0.11472711,0.105642915,1.2218952e-06,3.4570694e-06,0.10037404,6.4074993e-06,0.06722863,0.0028142184,0.04436396,0.031148925,0.11798605
7,Daniel Ricciardo,0.01821345,0.03771776,0.045517325,0.05391276,0.056400895,0.070773125,0.12962109,0.0070278645,0.0013746619,0.11404824,0.10432768,1.4305115e-06,3.8444996e-06,0.099303365,7.4505806e-06,0.06660232,0.002873823,0.04408659,0.03100305,0.117183276
8,Carlos Sainz,0.020876229,0.04046464,0.047645867,0.05526483,0.06019634,0.07107067,0.12857729,0.007504225,0.0016418099,0.11208677,0.10055658,2.2947788e-06,6.0498714e-06,0.09645191,1.1473894e-05,0.06495507,0.003243789,0.043443546,0.03070169,0.11529892
9,Lando Norris,0.03386122,0.051712036,0.05563885,0.059843004,0.07481438,0.07123828,0.12345457,0.009376228,0.0030710697,0.1039488,0.08710176,1.2755394e-05,3.105402e-05,0.08581096,5.2690506e-05,0.058567405,0.0049555004,0.04048775,0.02913069,0.106891
10,Daniil Kvyat,0.0033063889,0.016800165,0.02859807,0.04303968,0.027570546,0.06520921,0.13035458,0.0020429492,0.0001232624,0.12508786,0.12501058,0.0,0.0,0.12034455,2.9802322e-08,0.08103548,0.0007752925,0.052643552,0.036677986,0.14137982
11,Kimi Raikkonen,0.00090813637,0.0091715455,0.02033484,0.036433935,0.015997171,0.05939573,0.12489706,0.0007084012,1.847744e-05,0.12652224,0.13075188,0.0,0.0,0.12999046,0.0,0.088825315,0.00029295683,0.05809024,0.040687725,0.15697388
12,Sebastian Vettel,0.018432856,0.037916124,0.045725107,0.054067552,0.05683714,0.0708611,0.12959653,0.007015407,0.0013660192,0.11390281,0.10401413,1.4305115e-06,3.784895e-06,0.09901667,7.659197e-06,0.066446245,0.0028476417,0.044014543,0.0309567,0.116970554
13,Romain Grosjean,1.013279e-06,0.00037127733,0.0030718446,0.013568878,0.00080007315,0.030749798,0.082526565,3.516674e-06,0.0,0.10980153,0.13405764,0.0,0.0,0.15686384,0.0,0.11622915,2.2351742e-06,0.078424096,0.055223137,0.21830541
14,Pierre Gasly,0.0088256,0.026457667,0.036688626,0.048289478,0.040967166,0.068678856,0.131984,0.0045138597,0.0005208254,0.12112558,0.11798942,8.940697e-08,3.5762787e-07,0.11082691,7.748604e-07,0.07378538,0.0016081184,0.04756996,0.033007056,0.12716028
15,Antonio Giovinazzi,5.364418e-07,0.00027918816,0.002566278,0.012260616,0.0006007552,0.028595269,0.078491926,2.3245811e-06,0.0,0.10739958,0.133331,0.0,0.0,0.15848672,0.0,0.11815867,1.6093254e-06,0.08011478,0.056291312,0.22341943
16,George Russell,1.1920929e-07,9.596348e-05,0.0013609529,0.008713901,0.00021898746,0.022459567,0.06629825,3.5762787e-07,0.0,0.09899479,0.12952876,0.0,0.0,0.1624875,0.0,0.124503046,2.9802322e-07,0.08535108,0.059964135,0.24002229
17,Nicholas Latifi,5.441904e-05,0.0024386644,0.009348214,0.024422228,0.0046926737,0.04605955,0.107641995,8.195639e-05,4.172325e-07,0.1224674,0.13579684,0.0,0.0,0.14447612,0.0,0.10209492,4.0978193e-05,0.067697,0.04749091,0.18519571
18,Kevin Magnussen,1.7285347e-06,0.0004746914,0.0035543442,0.014662325,0.0010068417,0.032440603,0.08558595,5.2452087e-06,0.0,0.11160803,0.134651,0.0,0.0,0.15567246,0.0,0.11459035,3.2782555e-06,0.07713273,0.054341316,0.2142691
