,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.29668874,0.19635624,0.12670365,0.07555178,0.06364903,0.027582556,0.021010473,0.021361038,0.0071638674,0.008944377,0.012371257,0.0017203987,0.004138395,0.018113315,0.0074620023,0.011610262,0.012920894,0.01804842,0.018370971,0.050232343
1,Lando Norris,0.09590882,0.09453559,0.09409213,0.08860117,0.10536426,0.06119147,0.059509724,0.043774784,0.018235385,0.046276838,0.046036616,0.0007144213,0.0015732795,0.052885428,0.0022636652,0.036280558,0.0142855495,0.03024216,0.023841083,0.084387064
2,Sergio Perez,0.19382101,0.16393536,0.12937707,0.08929035,0.0854373,0.039793313,0.03331229,0.028359368,0.010575861,0.017803252,0.020601273,0.0013507307,0.0036418736,0.027462736,0.0062473267,0.018811822,0.01694636,0.023289427,0.022694953,0.06724832
3,Lewis Hamilton,0.19398576,0.16377407,0.12928027,0.08917579,0.085475504,0.039808154,0.03337854,0.028393716,0.010595024,0.017839849,0.020635262,0.0013686419,0.0036753416,0.027468488,0.0062930137,0.0188151,0.016952358,0.02325818,0.022661015,0.06716592
4,Valtteri Bottas,0.18398994,0.15666753,0.12756318,0.08871931,0.087228596,0.041683525,0.036367953,0.030640006,0.011599973,0.01969175,0.022461712,0.0019975305,0.0048970133,0.028751925,0.007925317,0.0195532,0.018038578,0.02308651,0.022268847,0.066867605
5,Pierre Gasly,0.03847015,0.057074547,0.06270379,0.067231774,0.085309565,0.06950945,0.077484965,0.058799654,0.020629436,0.069714814,0.07290918,4.3958426e-05,0.00011506677,0.07892686,0.00016073883,0.05428548,0.0076828003,0.040853947,0.029615976,0.10847785
6,Yuki Tsunoda,0.012357831,0.031180441,0.039028347,0.049629927,0.054512084,0.06588203,0.08374685,0.07571769,0.019475818,0.08708459,0.10221192,9.536743e-07,3.3974648e-06,0.104260445,4.529953e-06,0.07078305,0.0031010062,0.047698617,0.031715646,0.12160483
7,George Russell,0.0,1.2516975e-06,0.00014716387,0.0027117133,7.927418e-06,0.0071911216,0.007368326,0.024258256,1.0073185e-05,0.041701972,0.092514455,0.0,0.0,0.1730501,0.0,0.15475082,0.0,0.13294417,0.08507976,0.27826288
8,Lance Stroll,0.01229763,0.031166852,0.03911078,0.049833834,0.054116905,0.06603718,0.0835495,0.07541418,0.019634902,0.086981356,0.10194954,1.0430813e-06,3.7252903e-06,0.10424173,4.798174e-06,0.07078923,0.0032208562,0.047782093,0.031857483,0.12200638
9,Carlos Sainz,0.07083893,0.07894051,0.087611675,0.08683413,0.09505671,0.06874293,0.06596181,0.04765418,0.020363629,0.05332008,0.053183436,0.0003655851,0.00082200766,0.06120996,0.0011793673,0.041312948,0.013612077,0.033968106,0.02601783,0.09300409
10,Sebastian Vettel,0.040526748,0.058848202,0.0650022,0.06938797,0.08595008,0.06980902,0.07639933,0.05780843,0.02077198,0.06806761,0.070905745,5.5402517e-05,0.0001424253,0.077328965,0.00020106137,0.05307655,0.008255631,0.040367708,0.029446945,0.107648
11,Charles Leclerc,0.09658772,0.0949316,0.09423274,0.088634074,0.10557312,0.06100303,0.0593414,0.043688565,0.018185973,0.046105117,0.045870215,0.0007276386,0.001600936,0.052685708,0.002304554,0.036152944,0.0143007785,0.030142672,0.02377884,0.08415238
12,Daniel Ricciardo,0.07579386,0.080654204,0.08668578,0.08440465,0.098745525,0.067623556,0.0661813,0.04707241,0.019802183,0.053376615,0.052922726,0.00038468838,0.0008569956,0.060397774,0.0012112707,0.040926516,0.012879938,0.033419833,0.025552616,0.09110756
13,Fernando Alonso,0.015176117,0.03485632,0.042056203,0.05181068,0.059535086,0.06702918,0.08349353,0.072451234,0.020069182,0.08514592,0.09733769,2.3543835e-06,7.927418e-06,0.10014728,1.0102987e-05,0.0683548,0.0038395226,0.0467328,0.031682953,0.12026112
14,Antonio Giovinazzi,0.0,9.423494e-05,0.0015280843,0.009466827,0.00032562017,0.019820333,0.023331344,0.044727623,0.00040322542,0.06740272,0.117432,0.0,0.0,0.17178601,0.0,0.13685575,7.1525574e-07,0.10527977,0.06648162,0.23506412
15,Kimi Raikkonen,0.0002758503,0.005782008,0.015351176,0.030831814,0.013442099,0.04923761,0.06482571,0.072951674,0.006682992,0.09295058,0.12363511,0.0,0.0,0.1396032,0.0,0.099824876,0.00027108192,0.07025023,0.04530537,0.16877861
16,Esteban Ocon,0.014325738,0.0337556,0.041123867,0.05108273,0.058234334,0.066634774,0.08367336,0.073507845,0.019823968,0.085769385,0.09885204,1.7285347e-06,5.930662e-06,0.101359695,7.748604e-06,0.06907654,0.0035527498,0.04700701,0.031654306,0.120550655
17,Nicholas Latifi,0.0,4.3570995e-05,0.0010008812,0.0075644255,0.0001732707,0.016692758,0.019109488,0.040688694,0.00020456314,0.06251103,0.11365712,0.0,0.0,0.17302358,0.0,0.14083734,1.4901161e-07,0.11028442,0.06962989,0.24457882
18,Mick Schumacher,1.1920929e-07,0.00020569563,0.0023785233,0.011905909,0.00068050623,0.023857474,0.028791666,0.05007124,0.00068968534,0.0731293,0.12101513,0.0,0.0,0.16811574,0.0,0.13124469,2.0563602e-06,0.099353075,0.06301151,0.22554769
19,Nikita Mazepin,0.0,3.4570694e-06,0.00024473667,0.0035851002,1.8537045e-05,0.009193361,0.009629607,0.02833122,2.5749207e-05,0.04699707,0.09902012,0.0,0.0,0.17487913,0.0,0.15217322,0.0,0.12665284,0.07982859,0.26941726
