,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.2613458,0.19039547,0.12047368,0.07613242,0.07434848,0.029918194,0.024120718,0.023841098,0.008063152,0.01065661,0.015246913,0.0024299324,0.0053770244,0.020910934,0.008750424,0.013830483,0.013967186,0.022156633,0.021523595,0.056511246
1,George Russell,2.9802322e-07,0.00033664703,0.0032884479,0.012095988,0.0011729598,0.025530934,0.029948413,0.053239465,0.0027008057,0.07559508,0.11723006,0.0,0.0,0.17233193,0.0,0.13308623,9.834766e-07,0.09102759,0.059967145,0.22244702
2,Lewis Hamilton,0.2613458,0.19039547,0.12047368,0.07613242,0.07434848,0.029918194,0.024120718,0.023841098,0.008063152,0.01065661,0.015246913,0.0024299324,0.0053770244,0.020910934,0.008750424,0.013830483,0.013967186,0.022156633,0.021523595,0.056511246
3,Daniel Ricciardo,0.050647676,0.062431276,0.06384075,0.06421554,0.09179467,0.06622565,0.072897255,0.058813572,0.022973418,0.06550419,0.07106149,0.00011238456,0.00024434924,0.07608764,0.00032897294,0.052062884,0.0067991167,0.03905785,0.0285967,0.106304616
4,Sebastian Vettel,0.009627998,0.027665675,0.036322176,0.04593301,0.04850179,0.06496769,0.07853454,0.082090855,0.024004221,0.08704358,0.10745317,4.7683716e-07,1.4305115e-06,0.11000314,2.5331974e-06,0.073198676,0.001713261,0.04758784,0.03171905,0.12362888
5,Pierre Gasly,0.012505591,0.030930638,0.03842455,0.046872497,0.053945422,0.06499922,0.07969785,0.08089405,0.02409631,0.08587009,0.10486603,9.536743e-07,2.7418137e-06,0.10676721,4.529953e-06,0.071198076,0.0019338578,0.04632619,0.03084243,0.119821765
6,Esteban Ocon,0.019606233,0.037370324,0.042191744,0.048392594,0.064314425,0.06472969,0.08120096,0.078441024,0.024199724,0.083330244,0.09993467,3.427267e-06,8.672476e-06,0.10075393,1.2785196e-05,0.067399785,0.0023866147,0.043877006,0.029154308,0.11269184
7,Charles Leclerc,0.07891351,0.08046317,0.08932006,0.08662915,0.094475985,0.0654794,0.060360104,0.047042698,0.022090882,0.048867226,0.051702708,0.0007701814,0.0015445352,0.059316576,0.0020160973,0.039764166,0.0139710605,0.033996463,0.02662719,0.096648835
8,Nicholas Latifi,6.67572e-06,0.0012276173,0.0067126155,0.018736303,0.0033055544,0.036297858,0.040766895,0.066242576,0.006486535,0.08407122,0.12501162,0.0,0.0,0.16293365,0.0,0.11772156,1.257658e-05,0.078489274,0.05209613,0.19988135
9,Carlos Sainz,0.05438769,0.065051615,0.06808907,0.068353534,0.09150821,0.06645852,0.07070464,0.05721453,0.022913575,0.062373698,0.067727655,0.00014746189,0.00031924248,0.07355034,0.0004312396,0.050102502,0.00767377,0.038600296,0.028544404,0.10584801
10,Fernando Alonso,0.021462321,0.039116144,0.043393552,0.049221814,0.06648594,0.065170646,0.08093727,0.07700783,0.0245651,0.08236021,0.09787488,5.543232e-06,1.3440847e-05,0.09881568,1.9878149e-05,0.066223726,0.0026907027,0.043408364,0.02906558,0.11216138
11,Valtteri Bottas,0.2613458,0.19039547,0.12047368,0.07613242,0.07434848,0.029918194,0.024120718,0.023841098,0.008063152,0.01065661,0.015246913,0.0024299324,0.0053770244,0.020910934,0.008750424,0.013830483,0.013967186,0.022156633,0.021523595,0.056511246
12,Antonio Giovinazzi,2.9802322e-07,0.00032240152,0.003212154,0.012436032,0.0009986162,0.026760876,0.028733134,0.05608505,0.0033376813,0.075591326,0.121017635,0.0,0.0,0.17452925,0.0,0.1303018,1.3411045e-06,0.08745077,0.05806221,0.22115941
13,Yuki Tsunoda,0.0032032728,0.017387986,0.02862531,0.041310966,0.032197654,0.062544525,0.073247015,0.084058166,0.021123469,0.09045231,0.11551726,0.0,5.9604645e-08,0.12181559,8.940697e-08,0.08114052,0.00084383786,0.0528118,0.035380363,0.1383398
14,Mick Schumacher,4.172325e-07,0.00037044287,0.0034579635,0.012806118,0.0011854768,0.027186573,0.030133724,0.056117654,0.0033492446,0.07638848,0.12026572,0.0,0.0,0.17284438,0.0,0.13015696,1.4901161e-06,0.08783683,0.058140606,0.21975791
15,Nikita Mazepin,0.0,1.001358e-05,0.00046861172,0.004021585,5.00679e-05,0.010959327,0.011373222,0.03187406,0.0004287362,0.052396357,0.09722954,0.0,0.0,0.18669164,0.0,0.15825617,0.0,0.11055058,0.07254797,0.2631421
16,Lance Stroll,0.0023097992,0.015070021,0.0265463,0.040054023,0.027935565,0.061892033,0.0711503,0.08469117,0.02079916,0.09095454,0.11772844,0.0,5.9604645e-08,0.12498808,5.9604645e-08,0.083027855,0.00071775913,0.053925112,0.036176994,0.14203273
