,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.113381505,0.11310148,0.11445761,0.10467178,0.09874329,0.053833425,0.047778785,0.042173207,0.019979686,0.032836735,0.036594972,0.002910003,0.0061793774,0.0400697,0.007894427,0.026846856,0.019231036,0.024907082,0.021031648,0.0733774
1,Lewis Hamilton,0.11158967,0.10044491,0.10531986,0.101715505,0.09792578,0.05800274,0.050590247,0.044195473,0.022705317,0.037543535,0.041799337,0.0031539053,0.005841762,0.045565605,0.006963104,0.029851794,0.01764331,0.025515512,0.020265132,0.0733675
2,Valtteri Bottas,0.08457178,0.08319843,0.09179795,0.088696,0.098125696,0.06679493,0.061042994,0.047420204,0.023917764,0.048521876,0.051488698,0.00063970685,0.0012921989,0.05661486,0.0016826987,0.03772518,0.012715042,0.031610556,0.024219498,0.08792394
3,Pierre Gasly,0.024947524,0.045963526,0.04902661,0.054380536,0.077925324,0.06788325,0.07948506,0.06733608,0.026698887,0.077723235,0.08782166,7.122755e-06,2.1368265e-05,0.08918783,2.7686357e-05,0.061488777,0.0034465045,0.043178976,0.030173764,0.11327627
4,Charles Leclerc,0.0014341474,0.013518751,0.024603605,0.038422287,0.02632457,0.05733323,0.071401656,0.078615665,0.021032333,0.08894992,0.11740169,0.0,0.0,0.12515107,0.0,0.087528646,0.00030206144,0.06012395,0.039300144,0.14855628
5,Carlos Sainz,0.0016452074,0.014292955,0.025337338,0.03895557,0.027687669,0.057801962,0.07209939,0.07873219,0.021382987,0.08882946,0.11675987,0.0,0.0,0.12409383,0.0,0.08670391,0.00033551455,0.059488595,0.03887427,0.14697929
6,Antonio Giovinazzi,5.9604645e-08,0.00022763014,0.0026299953,0.012518346,0.0005097389,0.02520752,0.026899338,0.053254366,0.0052850246,0.070776105,0.1254577,0.0,0.0,0.1668272,0.0,0.12724406,1.7881393e-07,0.09437752,0.061565727,0.22721949
7,Esteban Ocon,0.043007553,0.060494125,0.06260908,0.064718366,0.09285873,0.06891674,0.07452029,0.058730006,0.02571553,0.06760031,0.07287523,5.4836273e-05,0.00014069676,0.07589911,0.00018084049,0.052274257,0.006075844,0.039213344,0.028596774,0.10551834
8,Fernando Alonso,0.03399986,0.053228915,0.053328693,0.055906296,0.08921534,0.06712645,0.07887316,0.062992334,0.025526643,0.07474765,0.08172169,1.6987324e-05,4.9710274e-05,0.083262116,6.136298e-05,0.057895944,0.004136607,0.041136697,0.029080696,0.107692845
9,Daniel Ricciardo,0.055750787,0.07011211,0.07762247,0.07753271,0.09713817,0.069821596,0.068404466,0.052479625,0.026445448,0.057936043,0.06123957,0.00037387013,0.0008046925,0.066020444,0.0008635521,0.04492654,0.011169851,0.035720885,0.026986875,0.0986503
10,George Russell,0.00028669834,0.0068780184,0.01704055,0.032693863,0.01386255,0.0523175,0.06225598,0.077243686,0.018112123,0.0886364,0.12381607,0.0,0.0,0.1360155,0.0,0.09550062,9.846687e-05,0.066144034,0.04345712,0.16564082
11,Lance Stroll,0.00295794,0.017804384,0.02842176,0.041995585,0.03301823,0.061411023,0.07431072,0.08082658,0.024505138,0.087818325,0.114765644,0.0,0.0,0.11901823,2.9802322e-08,0.0814774,0.00060498714,0.05512251,0.036254868,0.13968664
12,Lando Norris,0.08130902,0.08346397,0.09201354,0.08763391,0.10170764,0.06731808,0.061633497,0.04613158,0.024208426,0.049104035,0.05095619,0.0009768903,0.0019313395,0.055839196,0.0021872371,0.037386373,0.014206544,0.031032898,0.02404736,0.08691228
13,Yuki Tsunoda,0.0072776675,0.025597215,0.034378767,0.045754254,0.045622945,0.06403774,0.07812077,0.08046472,0.026761174,0.085605085,0.1088725,5.9604645e-08,2.682209e-07,0.11051741,3.874302e-07,0.075017765,0.0011721253,0.050220564,0.033024356,0.12755422
14,Sebastian Vettel,0.016802907,0.037733734,0.04334593,0.051255524,0.06504446,0.06694341,0.07984877,0.07310414,0.027304828,0.081106216,0.09613165,1.5795231e-06,5.3346157e-06,0.09726837,7.122755e-06,0.06650303,0.002425149,0.045696437,0.031105556,0.11836585
15,driver_kubica,2.5868416e-05,0.0025589466,0.010044992,0.024672091,0.005258858,0.042088628,0.049840868,0.06980693,0.012694299,0.08550221,0.12761879,0.0,0.0,0.14879477,0.0,0.10794127,1.6987324e-05,0.07657401,0.049938962,0.18662152
16,Mick Schumacher,3.4570694e-06,0.0011110902,0.0062809587,0.019597828,0.0024578571,0.035761,0.04068035,0.064493835,0.009280264,0.0808388,0.12794513,0.0,0.0,0.15641505,0.0,0.11520323,2.9802322e-06,0.082984805,0.0543105,0.20263287
17,Nikita Mazepin,0.0,4.1425228e-05,0.0010250807,0.007693827,9.5427036e-05,0.017192304,0.016970992,0.042556524,0.0027869344,0.05962622,0.1190362,0.0,0.0,0.1732679,0.0,0.13701627,0.0,0.104840726,0.06829283,0.24955735
