,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.14239234,0.1327495,0.12660497,0.09502387,0.08774188,0.048538476,0.04977706,0.031383097,0.011940151,0.030225277,0.02861096,0.0009188503,0.002507791,0.035795987,0.0053007156,0.024512991,0.019227594,0.02610559,0.024208732,0.076434165
1,Sergio Perez,0.104387164,0.10172397,0.101995766,0.09661269,0.098914266,0.057871968,0.061344177,0.034057826,0.012948364,0.046218246,0.041885078,0.0005481541,0.0013109148,0.049882963,0.0023833364,0.033796504,0.014897868,0.030202143,0.023644157,0.085374445
2,Max Verstappen,0.11685991,0.11246115,0.10881734,0.09923965,0.098992616,0.053552598,0.0564799,0.032554,0.012661219,0.040612847,0.036863595,0.0007202774,0.0017517656,0.044493183,0.0033826828,0.030333191,0.016643688,0.028322168,0.023129582,0.08212864
3,Charles Leclerc,0.09695256,0.09494525,0.09841353,0.09399527,0.096927285,0.061174423,0.06545237,0.035419613,0.012876213,0.049945593,0.04528299,0.0004339218,0.0010440499,0.053366765,0.0018420964,0.035795778,0.013633713,0.03144282,0.024082698,0.08697306
4,Pierre Gasly,0.018734872,0.038696587,0.045518994,0.05258298,0.06011629,0.066404104,0.098134875,0.06412017,0.0047084093,0.09401214,0.100354195,1.3709068e-06,5.185604e-06,0.09998798,7.7188015e-06,0.06734215,0.0020981878,0.043756604,0.029075772,0.11434141
5,Daniel Ricciardo,0.09520513,0.09339714,0.09772414,0.09352893,0.09632975,0.061989516,0.066394955,0.035702795,0.012835652,0.050798535,0.046049595,0.00040960312,0.0009849668,0.05416043,0.0017268956,0.036225364,0.01335144,0.031719655,0.024171032,0.08729448
6,Lando Norris,0.08169973,0.08210641,0.09122777,0.08879346,0.091810584,0.067759514,0.07385048,0.038212985,0.012376159,0.0578537,0.052570313,0.00024810433,0.0006029606,0.060633227,0.0010097176,0.039804444,0.011117831,0.03378968,0.024806075,0.08972686
7,Valtteri Bottas,0.13409388,0.12448883,0.11933929,0.09858912,0.09348419,0.05023697,0.053806752,0.03193754,0.011718214,0.03460127,0.031544194,0.0008650571,0.002234161,0.03839931,0.004733786,0.025827676,0.018030047,0.026284046,0.02289772,0.07688794
8,Esteban Ocon,0.0010713339,0.011618912,0.025066137,0.04223609,0.020430565,0.05977875,0.086051404,0.06677574,0.00050508976,0.101778805,0.1170128,0.0,0.0,0.1265873,0.0,0.08824363,0.0003169179,0.05857341,0.038677156,0.15527596
9,Carlos Sainz,0.07636458,0.07939011,0.08831513,0.08670384,0.09072715,0.06817442,0.07567364,0.03965926,0.011881709,0.05995205,0.05499932,0.00019404292,0.000480026,0.06290153,0.00080403686,0.041401997,0.010267541,0.03470441,0.025329687,0.09207553
10,George Russell,2.3841858e-07,0.0003182292,0.0038697124,0.018865883,0.00066679716,0.031779647,0.040512025,0.050790787,4.7683716e-07,0.083096206,0.11656356,0.0,0.0,0.15916786,0.0,0.12254974,6.854534e-07,0.084000975,0.0545799,0.23323728
11,Nicholas Latifi,6.121397e-05,0.0033978224,0.01329875,0.03238064,0.0064445734,0.04923737,0.06839341,0.062720716,4.7683716e-05,0.098257005,0.12123573,0.0,0.0,0.1422101,0.0,0.10259971,4.1246414e-05,0.068920985,0.04525648,0.18549657
12,Fernando Alonso,0.037790835,0.054635286,0.060919225,0.06495768,0.07537323,0.0684284,0.09149122,0.05523482,0.007605791,0.080688834,0.08185977,1.5467405e-05,4.5090914e-05,0.08515988,7.402897e-05,0.05669968,0.0041636974,0.04055074,0.027768195,0.10653813
13,Kimi Raikkonen,0.011430919,0.03150773,0.041183412,0.050958514,0.05035764,0.06605321,0.09718108,0.065573454,0.0033209324,0.09692299,0.10491446,2.3841858e-07,1.1622906e-06,0.106098056,1.7285347e-06,0.071888894,0.0015756041,0.04696323,0.031152718,0.12291402
14,Antonio Giovinazzi,1.9073486e-06,0.00074881315,0.00597471,0.022822022,0.0015227795,0.03729272,0.048991203,0.05518037,2.7418137e-06,0.088795125,0.119420886,0.0,0.0,0.1547944,0.0,0.11650401,3.5464764e-06,0.07934597,0.05167824,0.21692055
15,Mick Schumacher,0.00031977892,0.006888628,0.018994689,0.03762722,0.012500703,0.055216968,0.07830131,0.06552136,0.00019878149,0.10106671,0.11998314,0.0,0.0,0.13435805,0.0,0.09496084,0.000143677,0.06339905,0.041680202,0.1688389
16,Nikita Mazepin,1.4305115e-06,0.00067180395,0.0056259036,0.022224545,0.001357615,0.03648734,0.04779327,0.054805934,2.2053719e-06,0.088389456,0.119574666,0.0,0.0,0.15557322,0.0,0.11712831,2.8312206e-06,0.07981458,0.05181344,0.21873344
