,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.2937929,0.19440353,0.12107709,0.071279705,0.06894013,0.02772817,0.022285864,0.021317482,0.007332176,0.009753466,0.013477519,0.0019525439,0.004483998,0.018723443,0.0076177046,0.012776762,0.012674116,0.019922726,0.020220615,0.050240055
1,Valtteri Bottas,0.20711046,0.1642003,0.124774456,0.08273417,0.08722681,0.038547635,0.033735722,0.028003886,0.010632545,0.01801695,0.021118179,0.0018129051,0.0043789,0.026510969,0.0071014613,0.018763214,0.015947782,0.023306444,0.0228317,0.063245505
2,Max Verstappen,0.2937929,0.19440353,0.12107709,0.071279705,0.06894013,0.02772817,0.022285864,0.021317482,0.007332176,0.009753466,0.013477519,0.0019525439,0.004483998,0.018723443,0.0076177046,0.012776762,0.012674116,0.019922726,0.020220615,0.050240055
3,Sergio Perez,0.208785,0.16644222,0.12537119,0.08308315,0.086696565,0.03806272,0.032915026,0.027416945,0.010355338,0.017474353,0.020570338,0.0016301125,0.0040578097,0.026158035,0.0067120045,0.018544674,0.015748873,0.023440078,0.023050874,0.0634847
4,Pierre Gasly,0.023287058,0.041336536,0.050154448,0.058670104,0.065101326,0.06981367,0.08172476,0.0721218,0.021950364,0.07909113,0.08959404,5.2452087e-06,1.6510487e-05,0.092782974,2.3066998e-05,0.0627746,0.003995016,0.044519097,0.03055904,0.11247922
5,Lando Norris,0.10901576,0.10151309,0.1019426,0.09462309,0.10159573,0.058788717,0.0543257,0.042155504,0.018456101,0.041205645,0.04202923,0.0010442138,0.0022039115,0.048082232,0.0031322688,0.03284213,0.015421838,0.02843646,0.022943132,0.08024265
6,Charles Leclerc,0.10220897,0.09473163,0.09913707,0.09287405,0.099086046,0.06240946,0.057486683,0.043361396,0.019264221,0.044145137,0.04471022,0.00084382296,0.0017703772,0.051043004,0.0025018603,0.034476712,0.014513865,0.029559955,0.023427002,0.08244852
7,Esteban Ocon,0.0071412325,0.022954762,0.03415346,0.0473001,0.039328218,0.06686455,0.08208251,0.082909346,0.01995331,0.09066391,0.109980464,1.1920929e-07,5.066395e-07,0.112215966,7.1525574e-07,0.075620964,0.0018121153,0.050313458,0.033130787,0.123573504
8,Fernando Alonso,0.010956168,0.027822435,0.037575126,0.049069345,0.04667771,0.06769848,0.0836373,0.08202964,0.021292448,0.08886245,0.106502384,5.066395e-07,1.937151e-06,0.10721153,2.7418137e-06,0.07195321,0.0022601634,0.04763913,0.031392887,0.117414415
9,Sebastian Vettel,0.04136163,0.057209432,0.06717527,0.072571576,0.078748405,0.071320295,0.0751183,0.061569184,0.022198975,0.06663364,0.07193366,4.2706728e-05,0.00011152029,0.07771012,0.00016063452,0.052559465,0.007175222,0.040598765,0.029397056,0.10640414
10,Daniel Ricciardo,0.08308351,0.08252275,0.09167653,0.08871657,0.09384912,0.06785262,0.063408315,0.047432363,0.02065605,0.05041343,0.05126083,0.00044873357,0.00097066164,0.058006227,0.001371026,0.03885095,0.012671888,0.032590598,0.0250886,0.08912923
11,Lance Stroll,0.004833102,0.019248724,0.031297505,0.04572916,0.033353806,0.065956116,0.080295384,0.08346355,0.018781006,0.09187561,0.11273733,2.9802322e-08,1.7881393e-07,0.11640838,2.3841858e-07,0.07867682,0.0014858097,0.052526966,0.034591094,0.1287392
12,Kimi Raikkonen,0.00037026405,0.0059663057,0.016631663,0.033619225,0.01220113,0.05504632,0.066284835,0.08018911,0.009369791,0.09479046,0.12343097,0.0,0.0,0.13907912,0.0,0.09655303,0.00020974874,0.065699816,0.04306066,0.15749756
13,Yuki Tsunoda,0.00572294,0.020781696,0.032574117,0.04654205,0.035559773,0.06650287,0.081024826,0.08337897,0.01946932,0.091332495,0.11160594,5.9604645e-08,2.9802322e-07,0.11460456,3.874302e-07,0.07730591,0.001660198,0.05150889,0.033940345,0.12648435
14,George Russell,0.0,1.2755394e-05,0.00057786703,0.005844593,4.3690205e-05,0.014711857,0.015642345,0.03905809,0.00016158819,0.060370624,0.104138136,0.0,0.0,0.18962193,0.0,0.15241593,0.0,0.11013535,0.07054809,0.23671716
15,Nicholas Latifi,5.364418e-07,0.0002809167,0.0031205416,0.013974905,0.00074738264,0.028365076,0.0335986,0.05698341,0.0013759136,0.07952362,0.11897707,0.0,0.0,0.17317376,0.0,0.13128108,1.847744e-06,0.09224379,0.059117824,0.20723373
16,Nikita Mazepin,0.0,2.360344e-05,0.0007945299,0.006906152,7.83205e-05,0.016889095,0.018292546,0.042586446,0.00025367737,0.06433344,0.10810304,0.0,0.0,0.18680924,0.0,0.14862761,5.9604645e-08,0.107023686,0.06829946,0.2309791
