,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.052451134,0.06668067,0.080756545,0.085736394,0.08188379,0.07181096,0.074561685,0.048288256,0.0167059,0.06305304,0.060790002,0.00027370453,0.0007442236,0.069659606,0.0010783821,0.04672961,0.012648627,0.039088473,0.028736494,0.0983225
1,Max Verstappen,0.10804367,0.10613406,0.109906375,0.09871608,0.09664816,0.056502968,0.055163056,0.036516577,0.014624596,0.040483475,0.037875623,0.0010221153,0.0025506467,0.045972288,0.0041674376,0.031087115,0.019705653,0.029768266,0.024632327,0.08047952
2,Valtteri Bottas,0.092461586,0.09004569,0.10125178,0.09725791,0.095271885,0.06503144,0.061685145,0.037541956,0.016301602,0.04855746,0.044448465,0.0008228421,0.0019395202,0.053537175,0.0028566122,0.03544855,0.01758483,0.031719595,0.02442129,0.08181466
3,Carlos Sainz,0.030073047,0.04887128,0.059179008,0.06829131,0.068945706,0.072404146,0.0861786,0.060343564,0.013539821,0.07881272,0.08063981,4.5895576e-05,0.0001348257,0.08575033,0.0002028048,0.058175355,0.0067561716,0.043433174,0.03054548,0.10767696
4,Lando Norris,0.04469818,0.061368346,0.07539344,0.08223206,0.07786888,0.072594464,0.07737315,0.05123189,0.016537398,0.066738755,0.06532684,0.00019603968,0.0005555153,0.073789045,0.00079995394,0.049695015,0.011383489,0.040705383,0.029607356,0.10190481
5,Pierre Gasly,0.0056063533,0.023269236,0.03517133,0.047837317,0.041177988,0.06595433,0.093654454,0.07631141,0.003111124,0.09914762,0.11193591,0.0,1.7881393e-07,0.11170393,3.2782555e-07,0.076826826,0.0008530468,0.050434366,0.03336516,0.12363909
6,Lewis Hamilton,0.15796202,0.14329362,0.12142712,0.08887082,0.0906131,0.044919908,0.041090608,0.030694485,0.011880696,0.025388986,0.026326492,0.0012192279,0.003516391,0.034433484,0.005954206,0.02389592,0.020439535,0.027418263,0.026283465,0.07437165
7,Sebastian Vettel,0.0071638823,0.025584996,0.03675562,0.048743486,0.044421136,0.066557944,0.094291985,0.07592559,0.00383538,0.09823772,0.11032811,5.9604645e-08,4.172325e-07,0.109519154,7.748604e-07,0.07504226,0.0010724515,0.049199015,0.032568708,0.12075131
8,Sergio Perez,0.05860889,0.0705964,0.08462536,0.08815223,0.08458614,0.07109523,0.07244462,0.046181947,0.01675868,0.0604167,0.057613462,0.0003414154,0.00090172887,0.066709965,0.0013086647,0.04461828,0.0135842115,0.0378602,0.028045908,0.09554997
9,Antonio Giovinazzi,0.0,0.00013929605,0.0024434924,0.013316393,0.00037926435,0.026285231,0.037226915,0.05642259,5.364418e-07,0.083764434,0.12454629,0.0,0.0,0.16612124,0.0,0.13698858,1.1920929e-07,0.091988415,0.059371278,0.20100592
10,Esteban Ocon,0.007035792,0.025262237,0.036509275,0.04885441,0.043626606,0.066844344,0.09426665,0.07621932,0.004044771,0.098377764,0.11058986,5.9604645e-08,4.7683716e-07,0.109671146,9.23872e-07,0.07510276,0.00112091,0.049238503,0.0326026,0.12063158
11,Daniel Ricciardo,0.03856778,0.05612898,0.06793976,0.07547259,0.075173736,0.07237494,0.081369996,0.05504474,0.016082466,0.07186955,0.07169938,0.00013542175,0.00039836764,0.07869567,0.00055348873,0.05330679,0.009422526,0.04178691,0.02986256,0.104114346
12,Lance Stroll,6.4373016e-06,0.0013486147,0.008107662,0.024004996,0.003174305,0.04134369,0.05950564,0.06873733,2.2768974e-05,0.09695315,0.12798947,0.0,0.0,0.15075457,0.0,0.11505091,5.3942204e-06,0.076598406,0.049886003,0.17651065
13,Kimi Raikkonen,0.001403451,0.013540685,0.02716875,0.042306066,0.026586235,0.061263323,0.0885545,0.07682532,0.00086951256,0.10217708,0.118751794,0.0,0.0,0.12232849,0.0,0.08595149,0.00021797419,0.05663316,0.037349075,0.13807309
14,George Russell,0.0,6.5505505e-05,0.0016403198,0.010875285,0.00018841028,0.022411168,0.031647205,0.052173495,1.7881393e-07,0.078900695,0.12188327,0.0,0.0,0.16950285,0.0,0.1435402,2.9802322e-08,0.09676877,0.06228681,0.2081158
15,Yuki Tsunoda,0.0016443133,0.0144584775,0.02805084,0.042918384,0.028147042,0.06176853,0.08921093,0.07678443,0.000987947,0.101899385,0.11801562,0.0,0.0,0.12120932,0.0,0.08501901,0.00024972856,0.05599931,0.036923796,0.13671294
16,Fernando Alonso,0.009690344,0.028649032,0.038701713,0.049950838,0.0483765,0.06740302,0.09493935,0.07547164,0.005160272,0.096928924,0.10818708,2.9802322e-07,1.4305115e-06,0.10660678,2.5629997e-06,0.07267499,0.0014690906,0.047544062,0.03150051,0.11674156
17,Nicholas Latifi,3.516674e-06,0.0010411143,0.0070764422,0.022495508,0.0024860501,0.03938514,0.056536317,0.0675323,1.4424324e-05,0.09575063,0.12816447,0.0,0.0,0.1529586,0.0,0.11770615,3.33786e-06,0.078400955,0.051013485,0.17943156
18,Nikita Mazepin,5.9604645e-08,0.00015449524,0.002590716,0.0137681365,0.00041788816,0.026969135,0.03810978,0.05728817,5.364418e-07,0.08461034,0.12513286,0.0,0.0,0.16552848,0.0,0.13591036,1.1920929e-07,0.0911445,0.058835566,0.19953886
