,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.18072003,0.1515007,0.12155861,0.09275657,0.089410156,0.042432964,0.040518075,0.029025882,0.010401994,0.023737416,0.023854747,0.0013649315,0.003562376,0.0316194,0.0073257685,0.020101681,0.017645791,0.023705326,0.02135142,0.06740616
1,Lewis Hamilton,0.21496105,0.16461259,0.12460205,0.08436638,0.08316788,0.037798584,0.03479144,0.026533008,0.009798124,0.019453123,0.020560607,0.0011978,0.003238812,0.027428344,0.0066496134,0.018304996,0.016357578,0.022103302,0.021218374,0.06285634
2,Max Verstappen,0.17702836,0.15001512,0.1206547,0.09426519,0.09065625,0.04284534,0.04119706,0.029257208,0.010375038,0.024323821,0.024247691,0.0013871789,0.0036056936,0.03211458,0.007396996,0.020239234,0.017689452,0.023795173,0.021174766,0.06773115
3,Sergio Perez,0.12678486,0.11762923,0.11081672,0.09730965,0.0981127,0.051029235,0.05389473,0.03416729,0.013509601,0.037631035,0.034902647,0.0011029541,0.0025965422,0.040904492,0.004972577,0.02794978,0.017818853,0.02659449,0.02231583,0.079956785
4,Carlos Sainz,0.07152885,0.076268256,0.08117211,0.079152405,0.093404055,0.06755984,0.07695329,0.04291725,0.011960655,0.06289399,0.058169365,0.000174433,0.00044235587,0.06455429,0.00066772103,0.043630213,0.00929004,0.035690665,0.026173614,0.097396605
5,Esteban Ocon,0.00032520294,0.006578386,0.016897798,0.031627655,0.0121328235,0.052183926,0.07543522,0.06998259,0.00027364492,0.10262519,0.12371427,0.0,0.0,0.13444579,0.0,0.09731296,0.00015819073,0.066005364,0.042808726,0.16749227
6,Lando Norris,0.091898024,0.0881179,0.09294748,0.08814049,0.09722906,0.064533144,0.068772584,0.03767988,0.013617486,0.05368927,0.048436314,0.00043815374,0.001043886,0.055456936,0.0016354173,0.037273496,0.012761682,0.032135487,0.024295658,0.08989765
7,Charles Leclerc,0.10030866,0.095211804,0.096836746,0.09103668,0.09932947,0.06079468,0.064340055,0.0365372,0.013725579,0.04951644,0.044907734,0.00056640804,0.0013272464,0.051802933,0.0022128373,0.0351429,0.013895541,0.030795634,0.023759946,0.08795151
8,Pierre Gasly,0.00812,0.026855588,0.036582768,0.046029508,0.044597447,0.064293385,0.09433448,0.07035416,0.0026453733,0.09902197,0.109335095,5.9604645e-08,3.2782555e-07,0.11004424,4.172325e-07,0.07576887,0.0010939538,0.050111562,0.032938987,0.1278718
9,Sebastian Vettel,0.039027512,0.055034578,0.05663401,0.058457553,0.081665695,0.06737399,0.09172863,0.05641976,0.0079212785,0.083069175,0.08266032,1.7285347e-05,5.1885843e-05,0.0841091,7.428229e-05,0.05772485,0.0038055778,0.04045078,0.027964815,0.10580893
10,George Russell,0.0,1.1920929e-06,0.00013053417,0.0023545027,2.8014183e-06,0.00780344,0.0089764595,0.028541625,0.0,0.049265265,0.09520525,0.0,0.0,0.16403544,0.0,0.15659893,0.0,0.1190013,0.07195148,0.2961318
11,Antonio Giovinazzi,0.0,2.2292137e-05,0.00069224834,0.0058535337,4.9591064e-05,0.015431285,0.019344866,0.041136563,0.0,0.06735963,0.11154562,0.0,0.0,0.16433895,0.0,0.1432392,2.9802322e-08,0.10473111,0.06467861,0.26157647
12,Fernando Alonso,0.0005354881,0.008203447,0.018935144,0.033440948,0.014786482,0.05408275,0.078344345,0.07076162,0.00039744377,0.10310894,0.12281734,0.0,0.0,0.13189426,0.0,0.09482667,0.00021329522,0.06392291,0.04151754,0.16221137
13,Yuki Tsunoda,0.0010112524,0.010840654,0.022318006,0.036387146,0.019450903,0.05698067,0.08289659,0.07128453,0.000628531,0.10312891,0.12059584,0.0,0.0,0.12748078,0.0,0.090708286,0.0003271401,0.061042383,0.039753392,0.15516499
14,Kimi Raikkonen,0.000682354,0.009121537,0.020296156,0.034708798,0.01652354,0.055334926,0.08032644,0.07090199,0.0004671216,0.103073,0.12178573,0.0,0.0,0.1300703,0.0,0.09308234,0.0002502799,0.06284243,0.04088813,0.15964493
15,Daniel Ricciardo,0.09721935,0.092184365,0.095092356,0.08964324,0.09856725,0.062399,0.06627166,0.03703639,0.0137141645,0.0512982,0.04642427,0.0005143285,0.001206845,0.05333677,0.0019772947,0.03601694,0.013329029,0.03130389,0.023919508,0.08854515
16,Lance Stroll,3.993511e-06,0.00094395876,0.0057268143,0.018056035,0.0018972754,0.03539282,0.049328685,0.060834467,9.357929e-06,0.09321898,0.12571096,0.0,0.0,0.15175208,0.0,0.11710298,8.016825e-06,0.08170587,0.052120015,0.20618768
17,Nicholas Latifi,0.0,7.2300434e-05,0.0013316274,0.008284152,0.00015437603,0.020005941,0.026016235,0.04690993,1.1920929e-07,0.07543868,0.11746967,0.0,0.0,0.16269273,0.0,0.13654193,1.1920929e-07,0.09810436,0.061200753,0.24577709
18,Mick Schumacher,5.9604645e-08,0.00016975403,0.0021536946,0.010712445,0.00035309792,0.024208784,0.032229125,0.05156809,4.172325e-07,0.08159387,0.121267736,0.0,0.0,0.16042763,0.0,0.13096672,4.4703484e-07,0.09287125,0.05831988,0.233157
19,Nikita Mazepin,0.0,3.5762787e-06,0.0002438426,0.0033293962,8.225441e-06,0.010116816,0.011924744,0.033214986,0.0,0.05581993,0.10189581,0.0,0.0,0.16520184,0.0,0.15282339,0.0,0.113741875,0.06908333,0.28259224
