,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lando Norris,0.07584733,0.080411255,0.08841461,0.08362943,0.09832096,0.06781107,0.06176907,0.047831237,0.025874317,0.048734993,0.053798437,0.00064882636,0.0014209151,0.059319153,0.0015830547,0.0401669,0.0128444135,0.03297247,0.02554404,0.09305752
1,Carlos Sainz,0.00308609,0.017049968,0.02799964,0.044552684,0.02910161,0.067554116,0.07395929,0.08343476,0.03154081,0.08626783,0.11235121,0.0,0.0,0.11833665,2.9802322e-08,0.08081831,0.00054840744,0.053114027,0.03475122,0.13553335
2,George Russell,1.6331673e-05,0.002029717,0.009080768,0.026124239,0.0035415888,0.047745347,0.050228298,0.072104156,0.01917684,0.0866366,0.12256116,0.0,0.0,0.15098014,0.0,0.11108813,6.0498714e-06,0.071566,0.04521191,0.18190272
3,Lewis Hamilton,0.20542032,0.15721571,0.11595857,0.077463716,0.09114438,0.04177907,0.03662792,0.031207964,0.013110071,0.018310264,0.024976999,0.0028012544,0.0057344437,0.02861157,0.006759107,0.019859731,0.013729267,0.024242088,0.0218089,0.06323865
4,Daniel Ricciardo,0.058781624,0.07069898,0.0723868,0.069451034,0.10100573,0.06806648,0.06922659,0.052613437,0.026884556,0.05831191,0.06374112,0.00025188923,0.0006196201,0.06820229,0.00063990057,0.047100812,0.00908725,0.036121577,0.02701874,0.099789664
5,Fernando Alonso,0.022321105,0.042957842,0.04737723,0.054515302,0.07069588,0.07047957,0.078694165,0.068689585,0.029968798,0.07650185,0.08870086,3.427267e-06,1.0937452e-05,0.09165615,1.5705824e-05,0.063297376,0.00290443,0.044089913,0.03072802,0.11639186
6,Lance Stroll,0.0012289286,0.011657596,0.02296257,0.041294277,0.019993186,0.06548619,0.069841385,0.0832783,0.030638099,0.08709359,0.11592355,0.0,0.0,0.12527025,0.0,0.085954115,0.00028924644,0.05668685,0.03715563,0.14524624
7,Sergio Perez,0.1561979,0.12628394,0.11571032,0.0947932,0.09235996,0.046340078,0.044691116,0.043215066,0.01789698,0.026640415,0.033662647,0.003750667,0.0065451413,0.035342723,0.009118393,0.023870848,0.016605318,0.022803135,0.019537069,0.064635076
8,Esteban Ocon,0.027554095,0.047906578,0.05066377,0.056015432,0.07834846,0.070543945,0.07807392,0.06523144,0.029174417,0.07428846,0.08420026,7.867813e-06,2.3812056e-05,0.08712089,3.3676624e-05,0.06040457,0.0035565346,0.042686507,0.030266888,0.11389848
9,Sebastian Vettel,0.007231593,0.024407208,0.033719182,0.04754442,0.04112166,0.06867397,0.07754606,0.08210188,0.032366812,0.08406699,0.10710737,5.9604645e-08,2.0861626e-07,0.11060828,3.5762787e-07,0.07511312,0.0010477155,0.049367905,0.032348245,0.12562697
10,Pierre Gasly,0.01330775,0.033338428,0.040926516,0.05185467,0.055719078,0.07074636,0.07854396,0.074698746,0.0313375,0.08035359,0.09696844,5.066395e-07,2.026558e-06,0.10025719,3.1590462e-06,0.06874746,0.0018945485,0.04693991,0.031996034,0.122364126
11,Yuki Tsunoda,0.0031237602,0.017175436,0.028128624,0.044736326,0.02923894,0.06783837,0.0741629,0.08340126,0.032075882,0.08589488,0.11194551,0.0,0.0,0.11802158,2.9802322e-08,0.08036579,0.00059239566,0.053005874,0.034805596,0.13548684
12,Kimi Raikkonen,5.0902367e-05,0.0030821562,0.011282563,0.030438423,0.005292177,0.054774642,0.054074228,0.07798189,0.02408719,0.08638036,0.12286723,0.0,0.0,0.14457315,0.0,0.10233182,2.1547079e-05,0.06694487,0.043390766,0.17242609
13,Mick Schumacher,0.0,1.0192394e-05,0.0005017519,0.0066868067,1.4543533e-05,0.018139541,0.014185309,0.03936827,0.0057914853,0.05737275,0.10394597,0.0,0.0,0.18460596,0.0,0.15558633,0.0,0.099028945,0.060744435,0.2540177
14,Nikita Mazepin,0.0,5.9604645e-08,2.9802322e-05,0.0017088056,5.9604645e-08,0.00660789,0.003860414,0.019230545,0.0017441511,0.032520533,0.073693454,0.0,0.0,0.18954444,0.0,0.18453833,0.0,0.11741549,0.07005781,0.29904822
15,Valtteri Bottas,0.06665897,0.07217717,0.07093948,0.06825733,0.10025698,0.06676501,0.06916222,0.053494364,0.025852293,0.05839154,0.06424996,0.00016158819,0.0004015863,0.06819673,0.00047799945,0.04711142,0.0075328946,0.035804287,0.02640348,0.097704686
16,Antonio Giovinazzi,0.0,9.119511e-06,0.00047683716,0.006578028,1.31726265e-05,0.018042922,0.013805687,0.039651692,0.0054757595,0.05792886,0.105183184,0.0,0.0,0.1853596,0.0,0.15571642,0.0,0.098242044,0.060083717,0.25343296
