,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.2862755,0.18514174,0.11978799,0.07859215,0.06702188,0.030478537,0.021551818,0.019849136,0.010600582,0.008992821,0.015088588,0.0027827471,0.0046340525,0.019763112,0.00610584,0.014570318,0.011677824,0.022158176,0.020024367,0.054902814
1,Valtteri Bottas,0.19888723,0.16079515,0.12334889,0.085080415,0.08689159,0.04068196,0.03190452,0.025557205,0.015048325,0.01578398,0.02231896,0.002901882,0.005519137,0.026304275,0.007216722,0.019675225,0.015741289,0.024669379,0.023066886,0.06860698
2,Max Verstappen,0.2854514,0.18529397,0.11967316,0.07871136,0.06738666,0.030600801,0.021593392,0.01980193,0.010579571,0.009024575,0.015096322,0.0027783364,0.0046423376,0.019816518,0.0061097443,0.014570922,0.011696458,0.022198051,0.020034567,0.05493991
3,Charles Leclerc,0.009978116,0.030401945,0.037597597,0.047656715,0.052283943,0.065407395,0.07512087,0.07036495,0.039442122,0.074801356,0.10111463,8.940697e-08,7.4505806e-07,0.106728405,5.364418e-07,0.07439813,0.0015054196,0.050640106,0.033413216,0.12914371
4,Sergio Perez,0.19888723,0.16079515,0.12334889,0.085080415,0.08689159,0.04068196,0.03190452,0.025557205,0.015048325,0.01578398,0.02231896,0.002901882,0.005519137,0.026304275,0.007216722,0.019675225,0.015741289,0.024669379,0.023066886,0.06860698
5,Pierre Gasly,0.0340755,0.054258704,0.053759098,0.05667305,0.09103972,0.06917322,0.07330543,0.056705475,0.03493172,0.06527352,0.07895592,2.9146671e-05,9.5397234e-05,0.0826575,9.1448426e-05,0.057829797,0.005275905,0.04224606,0.03040529,0.11321811
6,Lando Norris,0.071005106,0.076636374,0.09262097,0.09428221,0.08983827,0.07162392,0.056438684,0.04548323,0.03295076,0.04269901,0.052724957,0.000708282,0.0016416907,0.059695184,0.001831308,0.0398549,0.014190152,0.033812486,0.026259705,0.095702805
7,Yuki Tsunoda,0.0022472143,0.016162097,0.025648057,0.040011942,0.027607977,0.060928166,0.06959438,0.07320422,0.04251957,0.078023195,0.1146476,0.0,0.0,0.12294182,0.0,0.0847826,0.0007441938,0.057022527,0.037464857,0.14644958
8,Esteban Ocon,0.047485292,0.06350273,0.059256256,0.05891323,0.104875386,0.068657815,0.07128978,0.051847458,0.032645196,0.061420232,0.07147816,9.652972e-05,0.00029283762,0.07482028,0.00028558075,0.05263172,0.0066630244,0.039120987,0.028751522,0.10596599
9,Antonio Giovinazzi,5.9604645e-08,0.00022035837,0.0022610426,0.011310756,0.00022959709,0.024182618,0.024152458,0.040740788,0.031435013,0.057367742,0.11923516,0.0,0.0,0.1664961,0.0,0.13027593,1.7285347e-06,0.09185019,0.05905761,0.24118285
10,Daniel Ricciardo,0.07652086,0.07918316,0.09446877,0.09476495,0.09127015,0.07092285,0.05570805,0.044503063,0.032231838,0.04178372,0.05130616,0.0008466542,0.0018727779,0.05799915,0.002119258,0.03866391,0.014383331,0.032830074,0.025566027,0.09305525
11,Kimi Raikkonen,8.791685e-05,0.004307568,0.01244539,0.02787286,0.006626427,0.047662616,0.052773833,0.06447083,0.040234625,0.07545298,0.12257224,0.0,0.0,0.14352146,0.0,0.10388857,8.7052584e-05,0.07087904,0.045682758,0.18143383
12,Fernando Alonso,0.04668075,0.06264764,0.05854422,0.05855739,0.1039052,0.068572104,0.07162511,0.052660048,0.032878518,0.061827242,0.072407275,8.967519e-05,0.00026473403,0.07565832,0.00025953352,0.053122625,0.006335452,0.03926702,0.028693773,0.10600337
13,George Russell,5.90086e-06,0.0014144182,0.0065631866,0.019937277,0.0019074082,0.037384808,0.040165246,0.055287242,0.037269056,0.069711566,0.12393153,0.0,0.0,0.15479115,0.0,0.11525774,1.9520521e-05,0.07950291,0.051192746,0.2056583
14,Carlos Sainz,0.0018258691,0.014918327,0.024966776,0.039055467,0.025022805,0.0592857,0.068687916,0.07218748,0.041353524,0.07822442,0.114537925,0.0,0.0,0.12491107,0.0,0.08793992,0.00054456294,0.059050053,0.03812574,0.14936244
15,Nicholas Latifi,5.185604e-05,0.0034886599,0.010971487,0.025985718,0.0052254796,0.045369327,0.050387025,0.06268984,0.0396235,0.074788034,0.12331933,0.0,0.0,0.14602041,0.0,0.10621995,6.762147e-05,0.07255165,0.046815574,0.18642454
16,Sebastian Vettel,0.018610775,0.03981507,0.04364389,0.051474035,0.068443775,0.067888916,0.07535094,0.066289365,0.038639784,0.071115494,0.09317547,3.33786e-06,1.2010336e-05,0.09688586,1.0550022e-05,0.06668906,0.0030090064,0.04632531,0.03174348,0.12087387
17,Lance Stroll,0.0006503463,0.00993526,0.01963967,0.034612417,0.016468883,0.05521387,0.06418663,0.07035476,0.041110158,0.078944504,0.11869025,0.0,0.0,0.13185093,0.0,0.093363255,0.0002988577,0.06300406,0.040783033,0.16089311
18,Mick Schumacher,0.0,5.3465366e-05,0.0009934306,0.0072115064,4.476309e-05,0.016973972,0.016152978,0.031548142,0.026835024,0.04838395,0.112683296,0.0,0.0,0.17096156,0.0,0.13881066,2.682209e-07,0.09948969,0.06414536,0.26571193
19,Nikita Mazepin,0.0,1.1920929e-06,0.00011008978,0.0022434592,6.556511e-07,0.0068411827,0.005488932,0.015916884,0.017201245,0.029681265,0.09207535,0.0,0.0,0.172297,0.0,0.15264606,0.0,0.11375445,0.07350728,0.31823495
