,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.27608818,0.14897758,0.12731916,0.08105889,0.053218395,0.034751266,0.026027232,0.026482284,0.014326021,0.00758636,0.017380744,0.008176625,0.008651152,0.019866958,0.011676967,0.01696121,0.013565272,0.0234598,0.022890672,0.06153524
1,Sergio Perez,0.24048936,0.1609869,0.116945,0.08491829,0.06894046,0.036313206,0.026594251,0.025902018,0.014689788,0.008715317,0.018382907,0.00758934,0.009117305,0.021792546,0.011623159,0.017781064,0.014546342,0.025033347,0.023790129,0.06584927
2,Charles Leclerc,0.24048936,0.1609869,0.116945,0.08491829,0.06894046,0.036313206,0.026594251,0.025902018,0.014689788,0.008715317,0.018382907,0.00758934,0.009117305,0.021792546,0.011623159,0.017781064,0.014546342,0.025033347,0.023790129,0.06584927
3,Carlos Sainz,0.24048936,0.1609869,0.116945,0.08491829,0.06894046,0.036313206,0.026594251,0.025902018,0.014689788,0.008715317,0.018382907,0.00758934,0.009117305,0.021792546,0.011623159,0.017781064,0.014546342,0.025033347,0.023790129,0.06584927
4,Lewis Hamilton,0.14624578,0.1488725,0.12866199,0.08979684,0.08701056,0.048444778,0.037742913,0.029120952,0.020359248,0.013966024,0.02328004,0.005315155,0.009451345,0.025240883,0.010769337,0.020477429,0.021124631,0.027577423,0.027989984,0.078552194
5,George Russell,0.13028014,0.13800901,0.12348622,0.10112262,0.091566116,0.049553543,0.03917229,0.033579886,0.021234334,0.015764296,0.025665492,0.0048771054,0.009094164,0.028315648,0.011058077,0.020968571,0.020336509,0.02712629,0.026582345,0.082207344
6,Lando Norris,0.024273217,0.04335642,0.04631716,0.05371958,0.08279991,0.06958991,0.072632074,0.06288588,0.050266236,0.058858663,0.089461505,2.7120113e-06,1.7017126e-05,0.08941868,1.2010336e-05,0.062658474,0.0035012662,0.045011565,0.031404324,0.11381339
7,Esteban Ocon,0.025578082,0.044558644,0.047168076,0.054099858,0.084733665,0.06967521,0.07250947,0.06221509,0.049959123,0.05840823,0.08824968,3.516674e-06,2.1100044e-05,0.08815354,1.4990568e-05,0.061838284,0.003674671,0.04464984,0.031291716,0.113197215
8,Sebastian Vettel,0.0053055286,0.02166444,0.03005141,0.04549688,0.04458952,0.06647968,0.07154006,0.07170302,0.055434108,0.06599522,0.110476196,0.0,5.9604645e-08,0.113067806,2.9802322e-08,0.07886125,0.0011136532,0.053388134,0.0352159,0.12961711
9,Fernando Alonso,0.029849231,0.047613263,0.049008787,0.054940462,0.08921027,0.06963891,0.07216889,0.061075985,0.049167752,0.057329744,0.08576813,5.632639e-06,3.0577183e-05,0.085429296,2.296269e-05,0.05995731,0.003926486,0.043564856,0.03065008,0.110641375
10,Yuki Tsunoda,5.4955482e-05,0.0034784675,0.010659158,0.030452251,0.0075998306,0.054697037,0.055916727,0.065382004,0.05768192,0.06687373,0.124777675,0.0,0.0,0.13855684,0.0,0.10016689,7.608533e-05,0.070086,0.046752274,0.16678816
11,Mick Schumacher,7.688999e-06,0.0015525818,0.006724417,0.024737477,0.0034198165,0.047615767,0.04835856,0.060221255,0.055698097,0.06470752,0.12626892,0.0,0.0,0.14555696,0.0,0.10769513,3.3080578e-05,0.076267004,0.051129133,0.1800066
12,Daniel Ricciardo,0.01339066,0.032265723,0.038185,0.04980117,0.06397045,0.0682469,0.07302618,0.06883645,0.052986205,0.06287432,0.10105348,1.4901161e-07,1.4901161e-06,0.10175601,9.834766e-07,0.07067986,0.002080083,0.048535198,0.03254149,0.11976821
13,Lance Stroll,0.0002914071,0.006801009,0.015594244,0.035038352,0.014826,0.058950245,0.061929107,0.06844956,0.057453513,0.06771386,0.12159574,0.0,0.0,0.13156614,0.0,0.09418318,0.00022250414,0.06511843,0.043414637,0.15685208
14,Zhou Guanyu,0.00013059378,0.004925847,0.012984753,0.03264171,0.010792196,0.056750894,0.058962107,0.06694144,0.057534516,0.067394376,0.12330824,0.0,0.0,0.13520709,0.0,0.09730992,0.00013709068,0.06762473,0.045151368,0.16220313
15,Kevin Magnussen,1.1742115e-05,0.0018723607,0.007550657,0.026800513,0.004096508,0.051155627,0.05068803,0.062340736,0.057851136,0.06578463,0.12719011,0.0,0.0,0.14403707,0.0,0.10452017,3.0606985e-05,0.073568106,0.049147338,0.17335466
16,Pierre Gasly,0.00095945597,0.010955751,0.020382464,0.038914382,0.023515463,0.062053025,0.06616336,0.070290804,0.056925595,0.06762242,0.118048966,0.0,0.0,0.12521935,0.0,0.0889606,0.000431329,0.061111122,0.04059875,0.14784716
17,Valtteri Bottas,0.002109766,0.015020251,0.024377167,0.042158067,0.031495094,0.0645895,0.0690254,0.07146454,0.056622744,0.06718075,0.11500859,0.0,0.0,0.119966775,0.0,0.08452505,0.00061812997,0.05786504,0.03821923,0.13975391
18,Alexander Albon,9.059906e-06,0.001644969,0.00685668,0.024651766,0.0036158562,0.046772957,0.048376918,0.0599913,0.054597557,0.06432235,0.12491435,0.0,0.0,0.1447348,0.0,0.108281255,3.59416e-05,0.07720134,0.051709026,0.18228388
19,Nicholas Latifi,0.0,1.5079975e-05,0.00043815374,0.0069615245,3.0219555e-05,0.018005013,0.018264174,0.032197773,0.036230505,0.043625116,0.10775864,0.0,0.0,0.15880007,0.0,0.14110059,1.1920929e-07,0.11326465,0.07596913,0.24733925
