,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.27077472,0.18132633,0.11118814,0.076354176,0.072650254,0.0284276,0.02339013,0.023677483,0.012778595,0.009572402,0.017869085,0.004408434,0.0066262186,0.022069141,0.008735791,0.017016023,0.01297164,0.023229733,0.02051042,0.05642368
1,Max Verstappen,0.096521735,0.09777832,0.10019338,0.09385002,0.10415977,0.05695319,0.04806879,0.040780187,0.029883236,0.03259325,0.04313177,0.0016551316,0.003558606,0.04844953,0.0039857477,0.03486909,0.016337946,0.030863196,0.02580028,0.09056682
2,Sergio Perez,0.07779622,0.07904351,0.08528811,0.080212414,0.10501021,0.06670225,0.058604896,0.04462433,0.033658713,0.042952925,0.053774476,0.00063702464,0.0015105307,0.059269905,0.0015387386,0.04128465,0.011553228,0.03416656,0.02679313,0.095578186
3,Lando Norris,0.01586616,0.036566794,0.04297763,0.051485896,0.069449246,0.06714249,0.0778628,0.071254015,0.043463945,0.07118562,0.09806663,4.172325e-07,2.6524067e-06,0.099309176,2.2649765e-06,0.06740548,0.0015834719,0.045362756,0.02980005,0.111212514
4,Lewis Hamilton,0.27077472,0.18132633,0.11118814,0.076354176,0.072650254,0.0284276,0.02339013,0.023677483,0.012778595,0.009572402,0.017869085,0.004408434,0.0066262186,0.022069141,0.008735791,0.017016023,0.01297164,0.023229733,0.02051042,0.05642368
5,George Russell,0.08814454,0.09610307,0.10286355,0.09765977,0.10070717,0.057505667,0.047671944,0.04109019,0.030471116,0.03222993,0.04301414,0.0016674697,0.0037948191,0.048712313,0.004047826,0.03518249,0.01752074,0.031531096,0.02658894,0.093493216
6,Daniel Ricciardo,0.022291005,0.04328233,0.047742605,0.05382055,0.08125293,0.067708075,0.07673484,0.06604618,0.04148209,0.06792951,0.09032753,1.9669533e-06,1.0102987e-05,0.09211452,8.791685e-06,0.0633015,0.0022767186,0.044033304,0.029826008,0.109809436
7,Esteban Ocon,0.059171915,0.069945395,0.07069653,0.0677073,0.10974038,0.06721467,0.06586984,0.049048364,0.03500077,0.051429212,0.063253224,0.00022092462,0.0006327629,0.0675171,0.00058324635,0.047595635,0.008097351,0.037383214,0.028249048,0.10064312
8,Carlos Sainz,0.27077472,0.18132633,0.11118814,0.076354176,0.072650254,0.0284276,0.02339013,0.023677483,0.012778595,0.009572402,0.017869085,0.004408434,0.0066262186,0.022069141,0.008735791,0.017016023,0.01297164,0.023229733,0.02051042,0.05642368
9,Pierre Gasly,0.016133785,0.036978483,0.043326795,0.051649332,0.069473386,0.06722176,0.077846825,0.07086825,0.04335034,0.07098648,0.09760687,4.7683716e-07,2.95043e-06,0.09898096,2.503395e-06,0.06725854,0.0016803145,0.045373484,0.029873602,0.11138486
10,Valtteri Bottas,0.03148842,0.051502228,0.05330652,0.056227446,0.09436643,0.067792356,0.074812114,0.060055852,0.039087504,0.06396335,0.08174905,1.0460615e-05,4.4107437e-05,0.084095135,3.8564205e-05,0.058603004,0.0034841597,0.042245984,0.029634804,0.10749251
11,Yuki Tsunoda,0.010878086,0.030762792,0.03882712,0.049432635,0.06014806,0.06649375,0.07811451,0.07495129,0.045062482,0.07380977,0.104293615,8.940697e-08,6.2584877e-07,0.10526708,5.364418e-07,0.070855424,0.0010554045,0.046724588,0.030081458,0.11324068
12,Zhou Guanyu,0.013272464,0.03317535,0.04028958,0.05002868,0.06420511,0.06649625,0.07823098,0.0744406,0.04450196,0.07290542,0.10257366,1.7881393e-07,1.2218952e-06,0.103193015,1.0430813e-06,0.06944144,0.0012235492,0.045713812,0.029451072,0.11085461
13,Mick Schumacher,0.01208657,0.032019198,0.039606035,0.049760878,0.062345803,0.06650567,0.0781672,0.07468319,0.044787884,0.07333544,0.103411704,1.1920929e-07,8.6426735e-07,0.104171276,7.4505806e-07,0.07009919,0.0011408925,0.046186134,0.029743142,0.111948065
14,Kevin Magnussen,0.0033286214,0.019533396,0.030935943,0.04551983,0.03951758,0.065158665,0.07585454,0.07632309,0.047540426,0.07767528,0.112760484,0.0,0.0,0.11611864,2.9802322e-08,0.07827875,0.00046174228,0.052023873,0.033348262,0.12562084
15,Sebastian Vettel,0.04533547,0.06185794,0.060062528,0.058746457,0.10993755,0.067104995,0.071636856,0.05298665,0.036102474,0.058934182,0.07187477,7.6681376e-05,0.000261724,0.07464109,0.00022217631,0.0528401,0.0057246834,0.039547473,0.02892457,0.10318163
16,Nicholas Latifi,3.552437e-05,0.0033963323,0.012485027,0.03074938,0.0053518414,0.05141276,0.058456182,0.0682261,0.04812658,0.07875258,0.12708712,0.0,0.0,0.14498499,0.0,0.09915161,4.0382147e-05,0.06733139,0.04258354,0.16182867
