,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.2723893,0.18305123,0.12287223,0.08191925,0.06798667,0.031545684,0.023884669,0.022078186,0.012687191,0.008601159,0.01601486,0.00418292,0.0061243176,0.019033626,0.008129813,0.014794424,0.011755414,0.02126553,0.018880349,0.052803185
1,Sergio Perez,0.2723893,0.18305123,0.12287223,0.08191925,0.06798667,0.031545684,0.023884669,0.022078186,0.012687191,0.008601159,0.01601486,0.00418292,0.0061243176,0.019033626,0.008129813,0.014794424,0.011755414,0.02126553,0.018880349,0.052803185
2,Max Verstappen,0.2723893,0.18305123,0.12287223,0.08191925,0.06798667,0.031545684,0.023884669,0.022078186,0.012687191,0.008601159,0.01601486,0.00418292,0.0061243176,0.019033626,0.008129813,0.014794424,0.011755414,0.02126553,0.018880349,0.052803185
3,Carlos Sainz,0.2723893,0.18305123,0.12287223,0.08191925,0.06798667,0.031545684,0.023884669,0.022078186,0.012687191,0.008601159,0.01601486,0.00418292,0.0061243176,0.019033626,0.008129813,0.014794424,0.011755414,0.02126553,0.018880349,0.052803185
4,George Russell,0.091916025,0.08590704,0.10587174,0.09896141,0.09156901,0.07001659,0.052654445,0.04220724,0.037027955,0.034352273,0.046093047,0.0015158355,0.0030795932,0.04990688,0.0032199025,0.03396459,0.015095651,0.029317647,0.02405487,0.083268255
5,Pierre Gasly,0.0037153363,0.01817751,0.029803216,0.043874085,0.03509879,0.06517297,0.072469175,0.07349336,0.050658643,0.070510685,0.110468835,0.0,0.0,0.120171875,0.0,0.08359763,0.00050903857,0.055047303,0.035320625,0.13191092
6,Lewis Hamilton,0.2723893,0.18305123,0.12287223,0.08191925,0.06798667,0.031545684,0.023884669,0.022078186,0.012687191,0.008601159,0.01601486,0.00418292,0.0061243176,0.019033626,0.008129813,0.014794424,0.011755414,0.02126553,0.018880349,0.052803185
7,Yuki Tsunoda,0.00083321333,0.009732187,0.021612287,0.038213015,0.019046009,0.06101191,0.06669563,0.07198,0.052165568,0.07106495,0.11610672,0.0,0.0,0.13187844,0.0,0.09304613,0.00016286969,0.061399937,0.039151102,0.14590004
8,Sebastian Vettel,0.0024202466,0.015214562,0.027204692,0.042196393,0.029525936,0.06409067,0.07098198,0.07327545,0.051216066,0.07091552,0.11241627,0.0,0.0,0.123842,0.0,0.086513326,0.00036662817,0.05701752,0.03652534,0.1362774
9,Fernando Alonso,0.0049149394,0.020419776,0.03159851,0.044917166,0.0392282,0.065716684,0.0733431,0.07349634,0.050158262,0.07015467,0.10900679,0.0,2.9802322e-08,0.11764598,2.9802322e-08,0.08163059,0.0006252676,0.053719074,0.034513652,0.12891094
10,Lando Norris,0.024003863,0.042574644,0.04699248,0.052335143,0.077019095,0.06809509,0.0755375,0.06504011,0.044534326,0.0642519,0.089886814,1.4901161e-06,7.7188015e-06,0.09353846,7.5101852e-06,0.065295324,0.0023032278,0.04553567,0.03102462,0.11201501
11,Daniel Ricciardo,0.018782556,0.038140714,0.0446918,0.051884532,0.07034731,0.068858266,0.07566577,0.066479325,0.046003044,0.065294385,0.09288734,7.4505806e-07,4.142523e-06,0.097052306,4.2021275e-06,0.06770034,0.0020084083,0.04696843,0.03176173,0.11546465
12,Esteban Ocon,0.010006428,0.027552009,0.03645277,0.04699278,0.051528156,0.06594801,0.07513815,0.07281667,0.04800576,0.06904417,0.10444829,2.9802322e-08,2.682209e-07,0.110806406,2.9802322e-07,0.076510936,0.0009864718,0.050333053,0.032527693,0.12090165
13,Zhou Guanyu,0.00194484,0.013772547,0.026028216,0.041900158,0.027122438,0.0643211,0.07005793,0.07324672,0.052153766,0.070626915,0.11343607,0.0,0.0,0.12528938,0.0,0.08752535,0.0003348142,0.057584643,0.036741123,0.13791399
14,Valtteri Bottas,0.0099564195,0.027582824,0.0363757,0.04673958,0.051356018,0.06562728,0.07518107,0.07277328,0.047779918,0.06921986,0.10444847,2.9802322e-08,2.3841858e-07,0.11098364,2.3841858e-07,0.07669857,0.0009546578,0.050501198,0.032674044,0.12114698
15,Kevin Magnussen,6.610155e-05,0.0033053756,0.012369037,0.030144036,0.0065529943,0.053305864,0.05540991,0.06662643,0.053289294,0.0682435,0.12065393,0.0,0.0,0.14673635,0.0,0.10575512,2.4795532e-05,0.06971443,0.04381439,0.16398844
16,Alexander Albon,0.0007033348,0.0090533495,0.020827055,0.03764236,0.017756581,0.060560107,0.065957785,0.07171357,0.052340627,0.07096201,0.1165846,0.0,0.0,0.13301578,0.0,0.09398089,0.00014403462,0.062006906,0.0394962,0.14725481
17,Nicholas Latifi,4.428625e-05,0.002827406,0.011258006,0.028379202,0.0054766536,0.0508492,0.053706408,0.06518775,0.051929414,0.06807983,0.12058818,0.0,0.0,0.1492872,0.0,0.10844746,1.7255545e-05,0.07164863,0.045069337,0.16720378
18,Lance Stroll,0.00020229816,0.005294144,0.015878618,0.03386873,0.010566711,0.057376742,0.060350835,0.06939912,0.053610444,0.06953752,0.11939293,0.0,0.0,0.14049107,0.0,0.1001527,6.055832e-05,0.06595805,0.041621417,0.15623811
19,Mick Schumacher,0.0001796484,0.005026698,0.015475512,0.03356117,0.010056734,0.057120264,0.05980873,0.06916243,0.05376488,0.06933665,0.11961496,0.0,0.0,0.14112213,0.0,0.10066873,5.608797e-05,0.06627591,0.041773602,0.15699586
