,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.2658608,0.18299079,0.1203922,0.081317276,0.06860718,0.030786932,0.022692278,0.021450281,0.012970358,0.008294091,0.01615636,0.0045389384,0.00652951,0.020237997,0.00882107,0.016559139,0.0121736005,0.023608029,0.0206106,0.05540257
1,Fernando Alonso,0.029035568,0.04588139,0.048363686,0.052915573,0.091609836,0.067432046,0.073405445,0.061937988,0.04448685,0.06151086,0.08757359,4.172325e-06,1.9550323e-05,0.08809078,1.9282103e-05,0.061558977,0.0026865453,0.043155745,0.029577203,0.11073492
2,Carlos Sainz,0.1409272,0.14426368,0.119904816,0.096502185,0.098389685,0.047148883,0.038051635,0.031309515,0.020892859,0.017917112,0.026908323,0.004534617,0.0085769445,0.030210495,0.010493621,0.021939665,0.017697446,0.026216507,0.023586765,0.074528046
3,Lewis Hamilton,0.12890476,0.13236994,0.11674541,0.09868598,0.09986177,0.050222725,0.04042834,0.034008354,0.023415118,0.020464629,0.030120581,0.0039492697,0.007567644,0.033461317,0.009432197,0.02396357,0.017254993,0.02679345,0.023837388,0.078512564
4,Kevin Magnussen,0.0014568567,0.0120431185,0.022744954,0.03777063,0.029864669,0.059878707,0.067151606,0.06986815,0.05228007,0.071233094,0.11926371,0.0,0.0,0.12598413,0.0,0.088572845,0.00026534498,0.058290437,0.037031412,0.14630027
5,Mick Schumacher,0.00016498566,0.004928589,0.013383627,0.028488636,0.01120466,0.049252033,0.056346416,0.06343442,0.05008608,0.07058227,0.12580699,0.0,0.0,0.14061764,0.0,0.10296476,9.5427036e-05,0.06879595,0.043517515,0.17033
6,Esteban Ocon,0.041352868,0.055221498,0.05388546,0.055044293,0.104445696,0.067008674,0.07187295,0.05718136,0.041823924,0.058066875,0.07924405,1.8328428e-05,7.072091e-05,0.07962629,6.790459e-05,0.056176916,0.0037911832,0.040610343,0.0287271,0.10576357
7,George Russell,0.09780699,0.09247577,0.10813236,0.09956843,0.09444529,0.06586903,0.049132288,0.03977084,0.035329193,0.031026691,0.042920932,0.0022362918,0.00419876,0.046007782,0.0047173947,0.031965673,0.015339106,0.028389923,0.02404286,0.08662439
8,Daniel Ricciardo,0.06308061,0.069321334,0.06757909,0.06465495,0.11279595,0.067887306,0.066044986,0.050079733,0.039247155,0.049363136,0.06541982,0.00019055605,0.0005260706,0.06661713,0.0005234778,0.047087297,0.00680542,0.036382303,0.027262948,0.09913073
9,Zhou Guanyu,0.006340146,0.02232498,0.031933367,0.04437542,0.050670862,0.06474668,0.072633326,0.07155675,0.050853968,0.06947911,0.11098781,0.0,8.940697e-08,0.113459945,8.940697e-08,0.07824439,0.00081653893,0.051276,0.032721788,0.12757875
10,Valtteri Bottas,0.025676012,0.04270196,0.045811057,0.051272333,0.086333156,0.06639016,0.07365471,0.0638867,0.044846654,0.06299469,0.091135025,1.5795231e-06,8.583069e-06,0.09202811,8.255243e-06,0.064249486,0.0022039264,0.044317022,0.029971115,0.11250947
11,Alexander Albon,0.004847884,0.019987881,0.029876411,0.04264158,0.046568215,0.06321198,0.07154745,0.071067095,0.050596774,0.070093036,0.11246246,0.0,5.9604645e-08,0.11618844,2.9802322e-08,0.08079617,0.00057914853,0.053081095,0.033999264,0.13245504
12,Sergio Perez,0.2658608,0.18299079,0.1203922,0.081317276,0.06860718,0.030786932,0.022692278,0.021450281,0.012970358,0.008294091,0.01615636,0.0045389384,0.00652951,0.020237997,0.00882107,0.016559139,0.0121736005,0.023608029,0.0206106,0.05540257
13,Pierre Gasly,0.017043352,0.034376323,0.040334404,0.04881072,0.072914004,0.06616253,0.07416797,0.068638325,0.047543347,0.06595245,0.100099504,3.5762787e-07,2.3841858e-06,0.100904435,2.3841858e-06,0.06951429,0.0015525818,0.04623404,0.030178025,0.11556858
14,Sebastian Vettel,0.010828972,0.027879179,0.035740376,0.046250403,0.06145054,0.06512022,0.07366556,0.070981026,0.049120367,0.06812623,0.106515735,5.9604645e-08,4.4703484e-07,0.10807979,4.172325e-07,0.07436286,0.0010595471,0.04868199,0.031253345,0.120882936
15,Lance Stroll,0.002431929,0.014930129,0.025754392,0.04039234,0.035922408,0.062301397,0.06950885,0.07101917,0.052413225,0.070868015,0.117013395,0.0,0.0,0.121879995,0.0,0.0848455,0.00043056905,0.055707857,0.035330728,0.1392501
16,Nicholas Latifi,0.0,0.000110685825,0.0015144348,0.009059429,0.0002478361,0.021030366,0.022992611,0.035489798,0.037870765,0.05217105,0.122861505,0.0,0.0,0.16643775,0.0,0.13662273,1.7881393e-07,0.094766945,0.05860892,0.240215
17,Yuki Tsunoda,0.007132292,0.023465812,0.032589853,0.044373155,0.053408563,0.064208746,0.07270217,0.07115275,0.04993838,0.069289625,0.10976368,0.0,8.940697e-08,0.112463355,8.940697e-08,0.077827066,0.00076526403,0.051055,0.03274493,0.12711918
