,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.2243681,0.1838364,0.12871465,0.0776301,0.084682554,0.03833902,0.030933961,0.021996394,0.015569314,0.011967495,0.01866655,0.0035086125,0.0064581037,0.020239413,0.00775142,0.016277045,0.013529256,0.020863429,0.01959661,0.055071574
1,Max Verstappen,0.303232,0.18770409,0.12023276,0.07129809,0.062132716,0.030259326,0.023376882,0.019786954,0.012107223,0.0077937245,0.015059873,0.0035722256,0.0049607307,0.018121459,0.0064003095,0.015034504,0.01031059,0.020870268,0.018170595,0.049575664
2,Sergio Perez,0.2243681,0.1838364,0.12871465,0.0776301,0.084682554,0.03833902,0.030933961,0.021996394,0.015569314,0.011967495,0.01866655,0.0035086125,0.0064581037,0.020239413,0.00775142,0.016277045,0.013529256,0.020863429,0.01959661,0.055071574
3,Lewis Hamilton,0.0991472,0.09524721,0.10770291,0.09625894,0.09506601,0.06730521,0.051011622,0.039783806,0.03591752,0.032334954,0.044671535,0.0013493001,0.0029312074,0.047222763,0.0029845983,0.032932952,0.013628259,0.028227858,0.023600966,0.08267518
4,Lando Norris,0.039045095,0.06075132,0.06230688,0.06114596,0.10529655,0.07196373,0.072915435,0.053603113,0.04333487,0.056290388,0.074373305,3.9041042e-05,0.00017258525,0.07374641,0.00014965236,0.051709652,0.0056100637,0.038679734,0.028474443,0.10039177
5,George Russell,0.06811875,0.07813901,0.08364642,0.07738936,0.10654485,0.072084785,0.062609196,0.0459733,0.040111363,0.043866962,0.05821389,0.00041362643,0.0011608005,0.059341267,0.0011103302,0.04134649,0.009551972,0.033130385,0.026009552,0.091237694
6,Fernando Alonso,0.022922754,0.046350718,0.053381562,0.057827473,0.085575104,0.072740495,0.075773,0.060442388,0.047313124,0.061347187,0.08596602,6.109476e-06,3.582239e-05,0.08585285,2.9712915e-05,0.059452906,0.0040069968,0.042652413,0.029980727,0.10834264
7,Yuki Tsunoda,0.00052440166,0.00892204,0.021705389,0.038460016,0.019501567,0.060739994,0.06866413,0.06944519,0.05349803,0.07152641,0.12184599,0.0,0.0,0.13239074,0.0,0.09200768,0.00024095178,0.06016682,0.03744036,0.14292029
8,Daniel Ricciardo,0.024490416,0.047984958,0.054381788,0.058042765,0.08795953,0.07231951,0.07547766,0.05959761,0.04650995,0.060849965,0.08457327,5.6922436e-06,3.4600496e-05,0.0846148,2.9027462e-05,0.058770508,0.0039106756,0.04244627,0.030003794,0.10799722
9,Esteban Ocon,0.02691561,0.050474048,0.05606252,0.0588277,0.091180325,0.07254177,0.07510471,0.05836141,0.04602194,0.059963167,0.08242768,9.298325e-06,5.1617622e-05,0.08228682,4.313886e-05,0.057282254,0.004367918,0.041704968,0.029756397,0.106616706
10,Valtteri Bottas,0.012176216,0.031175137,0.040273964,0.049849153,0.061541915,0.06788224,0.07655007,0.071125686,0.049925685,0.067388564,0.10464567,2.0861626e-07,1.9669533e-06,0.105831206,1.4901161e-06,0.07147035,0.0017590225,0.046510637,0.029795825,0.112095
11,Sebastian Vettel,0.0050299764,0.021992087,0.033878803,0.04636407,0.045147777,0.066298604,0.07533872,0.07185525,0.051383257,0.069876015,0.11150122,0.0,5.9604645e-08,0.115367234,5.9604645e-08,0.07864396,0.0009332746,0.051254883,0.032502964,0.12263179
12,Alexander Albon,0.00024735928,0.0066370964,0.01851362,0.035476744,0.014182746,0.05750972,0.06564152,0.067568064,0.052634656,0.07128304,0.123761654,0.0,0.0,0.13762671,0.0,0.09677574,0.00014698505,0.06332579,0.039196417,0.14947213
13,Pierre Gasly,0.005283773,0.022403598,0.034371078,0.046943307,0.045978487,0.06702715,0.07562637,0.07210946,0.051893175,0.069672704,0.11112505,0.0,1.4901161e-07,0.11440492,8.940697e-08,0.0777317,0.0010702908,0.050641745,0.032139495,0.12157746
14,Lance Stroll,0.0001937747,0.0059728026,0.017775,0.035323083,0.013275623,0.057901144,0.06503534,0.067492306,0.053919077,0.07108593,0.1246618,0.0,0.0,0.13814887,0.0,0.096702576,0.00013893843,0.063270316,0.03905803,0.15004538
15,Zhou Guanyu,0.0015500784,0.013778031,0.027103364,0.04261899,0.029206038,0.06450921,0.072573185,0.071474195,0.05360508,0.07121003,0.11769286,0.0,0.0,0.12439799,0.0,0.085399166,0.0005391538,0.05579473,0.035061136,0.13348676
16,Mick Schumacher,0.00015747547,0.005552292,0.016942382,0.03420043,0.011658251,0.056360066,0.06406635,0.06674808,0.052929997,0.07091975,0.1246919,0.0,0.0,0.13985518,0.0,0.09864882,0.00012999773,0.06460303,0.0398978,0.1526382
17,Nicholas Latifi,0.0,9.23872e-06,0.0006118417,0.0067221522,1.3828278e-05,0.016103446,0.018476963,0.027348876,0.0310691,0.043086886,0.10995966,0.0,0.0,0.184183,0.0,0.15610409,0.0,0.105457395,0.0612797,0.23957382
