,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.27327663,0.17750365,0.11124253,0.07888836,0.07159731,0.032010734,0.02404046,0.022020578,0.0127372295,0.007993296,0.016747862,0.006483242,0.0077561587,0.021729916,0.010310382,0.017213248,0.0128824115,0.023215912,0.020250976,0.052099124
1,Charles Leclerc,0.2044257,0.17201447,0.12146264,0.083191395,0.08830005,0.039646596,0.0312348,0.024007276,0.016094282,0.011521459,0.019880325,0.0049542338,0.007800296,0.023494244,0.00989911,0.018412225,0.016218878,0.024314955,0.02281503,0.060312036
2,Carlos Sainz,0.15165365,0.14977193,0.121405005,0.0995332,0.09393272,0.044766337,0.035954386,0.030949384,0.019529194,0.014972404,0.02467674,0.0043815672,0.007500991,0.028696299,0.009660274,0.020955503,0.018067949,0.026077628,0.024199098,0.07331575
3,Sergio Perez,0.27327663,0.17750365,0.11124253,0.07888836,0.07159731,0.032010734,0.02404046,0.022020578,0.0127372295,0.007993296,0.016747862,0.006483242,0.0077561587,0.021729916,0.010310382,0.017213248,0.0128824115,0.023215912,0.020250976,0.052099124
4,Esteban Ocon,0.025839508,0.046333015,0.050070822,0.05622977,0.08590853,0.069990575,0.07411581,0.06291008,0.04828003,0.05963126,0.08874819,1.7285347e-06,1.0669231e-05,0.08908683,7.5548887e-06,0.061509192,0.0046248734,0.043223083,0.02960223,0.10387625
5,Lewis Hamilton,0.11842799,0.11520016,0.111486435,0.10322571,0.10009426,0.05309114,0.04108736,0.03699249,0.030179948,0.022741348,0.035720482,0.0028888434,0.0048896074,0.039216742,0.005662948,0.029097363,0.016846001,0.027461022,0.024419285,0.081270866
6,Fernando Alonso,0.025481284,0.045893013,0.049627364,0.05591297,0.085222244,0.06978458,0.07414013,0.06330538,0.048370898,0.059854925,0.08941582,1.66893e-06,1.0609627e-05,0.08972986,7.0631504e-06,0.06190011,0.0045938045,0.04329595,0.029549815,0.10390251
7,George Russell,0.10348302,0.08885491,0.09536052,0.08789784,0.10430139,0.06734192,0.05269417,0.041229695,0.037034184,0.03337601,0.048190832,0.0013733953,0.0025078654,0.0510699,0.0026707202,0.035381645,0.012515888,0.029658668,0.023988008,0.08106942
8,Sebastian Vettel,0.008270264,0.027650476,0.037076414,0.050004303,0.055076778,0.06792688,0.07491034,0.07149327,0.05258459,0.0661031,0.10660204,0.0,1.4901161e-07,0.10930726,8.940697e-08,0.07476771,0.0024804622,0.04961367,0.03203062,0.11410158
9,Lando Norris,0.03414464,0.052934647,0.054233134,0.057955086,0.09606165,0.069990575,0.07290447,0.059494257,0.046617806,0.057158142,0.08285329,5.9604645e-06,2.9116869e-05,0.08272408,2.323091e-05,0.05730459,0.0052951425,0.04115428,0.028796688,0.10031922
10,Daniel Ricciardo,0.018331409,0.03928578,0.045309663,0.05401784,0.07448763,0.06948924,0.07497966,0.06664395,0.04995191,0.06221068,0.09549412,3.874302e-07,3.0696392e-06,0.09647235,1.9073486e-06,0.06633313,0.0038760453,0.045424297,0.030342743,0.10734418
11,Valtteri Bottas,0.007599175,0.026793897,0.036507547,0.04978776,0.05379337,0.06785393,0.07475746,0.07153958,0.052802682,0.066348255,0.107237786,0.0,8.940697e-08,0.11010975,5.9604645e-08,0.075308755,0.0023318827,0.05001709,0.032285504,0.11492544
12,Yuki Tsunoda,0.0003965497,0.0084555745,0.020020187,0.039714456,0.019030511,0.060825527,0.06638944,0.069247305,0.055920422,0.06997824,0.12156439,0.0,0.0,0.13351545,0.0,0.093072414,0.0005981326,0.06308785,0.040154383,0.13802917
13,Zhou Guanyu,0.00094383955,0.011855245,0.023970544,0.04264331,0.025719881,0.06349242,0.0695976,0.07075918,0.055529714,0.06956965,0.11828768,0.0,0.0,0.12761351,0.0,0.08858754,0.0009445697,0.05979465,0.038195655,0.13249502
14,Mick Schumacher,0.0004117489,0.008524895,0.02006042,0.039684236,0.019145489,0.060925663,0.06654757,0.06937742,0.055951893,0.06994581,0.12143254,0.0,0.0,0.13339892,0.0,0.093069315,0.00063832104,0.06306633,0.040108547,0.13771087
15,Alexander Albon,0.0004826784,0.009142935,0.020876467,0.040394068,0.020459652,0.061445296,0.067108035,0.06959939,0.05587399,0.06994283,0.120923996,0.0,0.0,0.13221043,0.0,0.09203479,0.0006533712,0.062319428,0.039707527,0.13682511
16,Pierre Gasly,0.0050718784,0.022894561,0.033770204,0.048602223,0.04711467,0.06745887,0.07411486,0.07179266,0.05370772,0.06734049,0.10995734,0.0,2.9802322e-08,0.1139327,2.9802322e-08,0.07805678,0.0018741786,0.052040964,0.033530094,0.11873975
17,Kevin Magnussen,0.00010937452,0.0050687194,0.015199304,0.03545195,0.011798561,0.056592762,0.061483145,0.066539705,0.05585122,0.069749475,0.12501222,0.0,0.0,0.14143747,0.0,0.09949076,0.00033330917,0.067839876,0.042893678,0.14514847
18,Lance Stroll,0.00081914663,0.011210144,0.0232746,0.04214686,0.024393857,0.06307876,0.06913024,0.07056397,0.055591345,0.06964308,0.118810296,0.0,0.0,0.12862274,0.0,0.089392245,0.0008915216,0.060393587,0.038549528,0.13348807
