,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.23474908,0.16052306,0.1252662,0.08845854,0.068008184,0.03718084,0.02750349,0.02550608,0.015308529,0.009013504,0.017962039,0.0063338876,0.008111864,0.020945981,0.010758266,0.01719077,0.015140846,0.024019688,0.022935376,0.06508379
1,George Russell,0.122861505,0.12181586,0.13234699,0.10616988,0.085779816,0.052613854,0.04259315,0.03715834,0.026087284,0.018214822,0.028857574,0.0043245554,0.0077607483,0.029920205,0.009687707,0.022506326,0.019726574,0.02537483,0.024827376,0.081372604
2,Lewis Hamilton,0.15926337,0.14846432,0.13022518,0.09510186,0.08670622,0.046732843,0.03686458,0.029585242,0.019589335,0.01374653,0.022469103,0.004912302,0.008538127,0.02447915,0.010653973,0.018879727,0.019026883,0.025144696,0.024889812,0.07472674
3,Sergio Perez,0.24409258,0.16164237,0.12742278,0.0886271,0.06395483,0.03622505,0.026687324,0.025171027,0.014451325,0.008337155,0.01700662,0.0064938217,0.00812909,0.019971356,0.011029556,0.016348317,0.014877968,0.0235243,0.022536717,0.06347071
4,Carlos Sainz,0.24409258,0.16164237,0.12742278,0.0886271,0.06395483,0.03622505,0.026687324,0.025171027,0.014451325,0.008337155,0.01700662,0.0064938217,0.00812909,0.019971356,0.011029556,0.016348317,0.014877968,0.0235243,0.022536717,0.06347071
5,Valtteri Bottas,0.008316338,0.025775969,0.035401642,0.045654118,0.050536692,0.064841986,0.07286078,0.072268784,0.054285288,0.06742704,0.110046744,1.7881393e-07,2.5629997e-06,0.110921234,3.2782555e-07,0.076132044,0.0032464713,0.049942404,0.03243579,0.11990361
6,Charles Leclerc,0.24409258,0.16164237,0.12742278,0.0886271,0.06395483,0.03622505,0.026687324,0.025171027,0.014451325,0.008337155,0.01700662,0.0064938217,0.00812909,0.019971356,0.011029556,0.016348317,0.014877968,0.0235243,0.022536717,0.06347071
7,Lando Norris,0.043613553,0.057540596,0.05746001,0.05748403,0.10363996,0.06914455,0.07096857,0.056201667,0.046503127,0.054617465,0.07732925,4.696846e-05,0.00016739964,0.07631628,0.000110179186,0.053230688,0.006403178,0.03928627,0.028400272,0.10153599
8,Fernando Alonso,0.04215294,0.056601405,0.05691594,0.057242393,0.10258818,0.0692094,0.07118225,0.056634873,0.046738356,0.054949492,0.07806507,4.684925e-05,0.00016579032,0.07709564,0.00010666251,0.0537491,0.006401971,0.039541885,0.028530873,0.102080934
9,Esteban Ocon,0.04457581,0.058010995,0.057649136,0.05751574,0.10436201,0.06902301,0.07084173,0.05602622,0.046332836,0.05442041,0.07700688,4.634261e-05,0.00016215444,0.076006815,0.0001116097,0.053018197,0.0063608587,0.039122045,0.028293058,0.10111414
10,Daniel Ricciardo,0.021687567,0.041516423,0.047481477,0.052946866,0.078676105,0.06875402,0.0734756,0.063673854,0.0505715,0.060973644,0.091647595,1.4901161e-06,9.953976e-06,0.09176287,4.887581e-06,0.06375544,0.004276514,0.04493898,0.031199992,0.112645224
11,Zhou Guanyu,0.0010454655,0.011221588,0.022954106,0.036752343,0.02227968,0.058168232,0.06668258,0.07103819,0.055936694,0.0710336,0.121576846,0.0,0.0,0.12824664,0.0,0.09002298,0.0019589216,0.059919104,0.038947806,0.14221524
12,Yuki Tsunoda,0.0005713701,0.008753836,0.020177364,0.03470123,0.017517805,0.05632806,0.06433916,0.07010174,0.056319773,0.071603596,0.12423983,0.0,0.0,0.13214335,0.0,0.09294069,0.0013972521,0.062124535,0.040337414,0.146403
13,Pierre Gasly,0.0054708123,0.021835446,0.03251803,0.043811917,0.0429371,0.06377274,0.072012424,0.07244724,0.054937303,0.06858891,0.11305389,2.9802322e-08,7.4505806e-07,0.115097284,5.9604645e-08,0.07938504,0.0029108524,0.052238047,0.033934012,0.12504812
14,Mick Schumacher,1.2218952e-05,0.0018121004,0.008591235,0.021841645,0.0033966303,0.04097122,0.04840225,0.059884667,0.052164376,0.0691548,0.1308614,0.0,0.0,0.1517671,0.0,0.11148235,0.0005132258,0.07577774,0.049092695,0.17427434
15,Sebastian Vettel,0.011505246,0.029242098,0.03778696,0.047053516,0.057157993,0.06572336,0.07350516,0.07190186,0.053622067,0.06622514,0.10729629,8.940697e-07,8.6426735e-06,0.10731244,1.4305115e-06,0.07327287,0.0037688613,0.04792784,0.031167112,0.11552022
16,Alexander Albon,2.503395e-06,0.0009472966,0.006009519,0.017989993,0.0017533898,0.03552252,0.04232204,0.055140734,0.04975325,0.0670501,0.13129628,0.0,0.0,0.15794298,0.0,0.11821994,0.00027275085,0.08066361,0.0522376,0.1828755
17,Nicholas Latifi,0.0,1.1622906e-05,0.0005378723,0.004782319,1.8060207e-05,0.012612045,0.015816271,0.028370857,0.031593204,0.047843516,0.11689353,0.0,0.0,0.1809532,0.0,0.15423533,2.95043e-06,0.10703781,0.07093516,0.22835624
18,Kevin Magnussen,7.772446e-05,0.0038476586,0.013087451,0.028057277,0.0076666474,0.049458504,0.056407332,0.065779805,0.055905282,0.07163578,0.13009,0.0,0.0,0.14292386,0.0,0.10154837,0.00068840384,0.06870636,0.04455389,0.15956564
19,Lance Stroll,0.0018854737,0.014237523,0.026043355,0.03919536,0.028349996,0.06047094,0.068938434,0.07189429,0.055858076,0.07043624,0.1189543,0.0,8.940697e-08,0.123869985,0.0,0.086358026,0.0023888499,0.057281524,0.037256762,0.13658078
