,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.19827443,0.15378147,0.115783155,0.08600739,0.08229616,0.03830251,0.031784058,0.030582786,0.017860427,0.013847798,0.024193183,0.0052696317,0.008171782,0.028290182,0.010051623,0.020917013,0.015747555,0.026188783,0.022943377,0.06970668
1,Carlos Sainz,0.19827443,0.15378147,0.115783155,0.08600739,0.08229616,0.03830251,0.031784058,0.030582786,0.017860427,0.013847798,0.024193183,0.0052696317,0.008171782,0.028290182,0.010051623,0.020917013,0.015747555,0.026188783,0.022943377,0.06970668
2,Max Verstappen,0.19827443,0.15378147,0.115783155,0.08600739,0.08229616,0.03830251,0.031784058,0.030582786,0.017860427,0.013847798,0.024193183,0.0052696317,0.008171782,0.028290182,0.010051623,0.020917013,0.015747555,0.026188783,0.022943377,0.06970668
3,Sergio Perez,0.19827443,0.15378147,0.115783155,0.08600739,0.08229616,0.03830251,0.031784058,0.030582786,0.017860427,0.013847798,0.024193183,0.0052696317,0.008171782,0.028290182,0.010051623,0.020917013,0.015747555,0.026188783,0.022943377,0.06970668
4,Valtteri Bottas,0.018654585,0.039860427,0.04567784,0.050712883,0.075752616,0.0668205,0.07525194,0.06403071,0.043211818,0.06741077,0.091849804,1.1920929e-06,8.434057e-06,0.094866306,7.212162e-06,0.06569417,0.0024535358,0.0470403,0.032393098,0.11830187
5,Lewis Hamilton,0.09747177,0.11170548,0.1180526,0.09911859,0.09508136,0.05266446,0.04728648,0.04089737,0.025540411,0.02425173,0.034499288,0.0031013489,0.0069872737,0.03809379,0.008655429,0.027635112,0.022325471,0.030169547,0.027581133,0.08888135
6,Pierre Gasly,0.013466477,0.034042716,0.041233957,0.048151612,0.064912856,0.06546718,0.075220704,0.06764829,0.04464096,0.06969634,0.09879559,2.3841858e-07,2.2649765e-06,0.10197607,1.9073486e-06,0.07004678,0.001692757,0.048862338,0.032742023,0.12139894
7,Lando Norris,0.051736057,0.06401086,0.066824496,0.064691484,0.107625544,0.0688898,0.068327904,0.05119285,0.03802535,0.053842217,0.0668295,0.00016203523,0.0005327463,0.07032879,0.00049078465,0.049206555,0.008020759,0.03836322,0.028958999,0.10194006
8,Yuki Tsunoda,0.002425015,0.016570926,0.027254105,0.03914702,0.032053113,0.059285045,0.06993681,0.07218301,0.04799676,0.074417055,0.11744487,0.0,0.0,0.124078184,0.0,0.084517255,0.00037500262,0.056978643,0.03635356,0.13898362
9,Fernando Alonso,0.012909412,0.03338921,0.040751994,0.047871888,0.063699305,0.06531972,0.075204074,0.0679903,0.044779956,0.06993958,0.09950197,2.0861626e-07,1.9073486e-06,0.10273132,1.6093254e-06,0.07052931,0.0016237944,0.04909721,0.032821894,0.121835336
10,George Russell,0.074216664,0.08913487,0.10199273,0.097192824,0.09867644,0.059731185,0.051496208,0.04545349,0.033334255,0.033403605,0.045316696,0.0014111102,0.0034469664,0.04994072,0.0036608577,0.03608547,0.018675521,0.032477334,0.027808338,0.09654471
11,Daniel Ricciardo,0.053026795,0.06474626,0.06898832,0.06692743,0.10625368,0.06926006,0.06737882,0.050825894,0.03811747,0.0526025,0.065550774,0.00018522143,0.00059497356,0.06938429,0.00055360794,0.048436016,0.0084836185,0.038064286,0.028882198,0.101737775
12,Mick Schumacher,4.0709972e-05,0.0032054186,0.010860622,0.024200559,0.0059779286,0.043676138,0.05101776,0.062146842,0.047247827,0.07150972,0.13059461,0.0,0.0,0.1505489,0.0,0.10495785,1.8894672e-05,0.07259762,0.045451477,0.17594711
13,Kevin Magnussen,0.00018173456,0.0059186816,0.015442848,0.029223263,0.011392713,0.04955834,0.05765122,0.06626868,0.048402727,0.07345551,0.12791389,0.0,0.0,0.14259654,0.0,0.09822166,5.2511692e-05,0.06723297,0.04234396,0.16414274
14,Zhou Guanyu,0.0062304735,0.023936093,0.03313744,0.043045938,0.04581195,0.062057376,0.07352567,0.0729208,0.04684651,0.0731439,0.11132845,0.0,1.1920929e-07,0.115336925,8.940697e-08,0.07826455,0.00076827407,0.052388653,0.03358993,0.12766686
15,Alexander Albon,0.0012494922,0.01273644,0.023651838,0.03645432,0.024764776,0.056968987,0.067035615,0.07112813,0.048387647,0.074723065,0.12082115,0.0,0.0,0.1294317,0.0,0.08842699,0.00022497773,0.059896275,0.038090974,0.14600763
16,Nicholas Latifi,0.0,1.758337e-05,0.0006148815,0.0049111247,1.6570091e-05,0.012856305,0.014983833,0.028061628,0.028365552,0.043877244,0.117039144,0.0,0.0,0.18193924,0.0,0.14266512,0.0,0.10985872,0.06499879,0.24979426
