,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.15913743,0.14521503,0.13508087,0.10952145,0.08441892,0.04399711,0.033026785,0.03014487,0.02282454,0.015421912,0.02461575,0.0038208514,0.0064421594,0.026753247,0.0078522265,0.020461574,0.017239496,0.021738872,0.021663956,0.07062294
1,Sergio Perez,0.23103386,0.18090719,0.13150194,0.082873076,0.076955944,0.036648452,0.027799025,0.020824477,0.014572471,0.010031819,0.016675875,0.003553778,0.0059661716,0.019345015,0.0077921003,0.015760459,0.015050463,0.021328412,0.021944065,0.0594354
2,Lewis Hamilton,0.14515877,0.12374467,0.12458187,0.109567285,0.08881456,0.05160424,0.036904275,0.033130646,0.02798906,0.019822016,0.03098838,0.0032331347,0.0052859336,0.03391157,0.005964786,0.024926782,0.015788898,0.023525365,0.021750316,0.07330745
3,Carlos Sainz,0.15072364,0.13364708,0.12830591,0.11173704,0.08830023,0.04759872,0.034223646,0.031529665,0.026033118,0.017777115,0.028093427,0.0037620366,0.0061009675,0.030683845,0.006989777,0.022959888,0.016501524,0.022355728,0.02130153,0.07137511
4,Fernando Alonso,0.051962197,0.06526607,0.062484324,0.061718702,0.11104709,0.06897551,0.06853753,0.053098768,0.04341355,0.05188939,0.07272875,3.3140182e-05,0.00014090538,0.07194914,9.761751e-05,0.050142914,0.006025821,0.037478007,0.027672939,0.09533763
5,Lando Norris,0.04904127,0.06381488,0.060547113,0.060044706,0.111680746,0.06879717,0.069524765,0.05368337,0.043682218,0.053235114,0.074323,2.5123358e-05,0.00011253357,0.07311855,7.8231096e-05,0.050980464,0.005698979,0.037886463,0.027839646,0.09588566
6,Pierre Gasly,0.0051200986,0.021915734,0.03142476,0.04605478,0.05240655,0.06592423,0.07268411,0.07249224,0.054837763,0.069119036,0.114815414,0.0,5.9604645e-08,0.11436862,2.9802322e-08,0.07719667,0.00122796,0.05021368,0.032849148,0.11734912
7,Max Verstappen,0.32671767,0.18839386,0.118304044,0.07217029,0.056475163,0.02725482,0.01953508,0.01690565,0.010176554,0.0059453547,0.012180656,0.0043070763,0.005491391,0.015783414,0.0077957585,0.013379931,0.011597782,0.019597068,0.01921929,0.048769142
8,Kevin Magnussen,0.00013560057,0.004984796,0.01370877,0.03245032,0.015965402,0.05521846,0.060269415,0.068502426,0.058629334,0.07312584,0.13562661,0.0,0.0,0.14106566,0.0,0.09655787,0.00015954673,0.062357113,0.040671885,0.14057095
9,Yuki Tsunoda,0.0005403757,0.00878942,0.018925428,0.037368715,0.025397003,0.059884727,0.06567156,0.07105136,0.058004737,0.072655976,0.12919241,0.0,0.0,0.13218191,0.0,0.090009525,0.00034865737,0.05837272,0.038130194,0.13347527
10,Lance Stroll,0.000330925,0.0072176456,0.01688999,0.035476863,0.021464527,0.058184266,0.06379908,0.07021493,0.05825919,0.07299411,0.13174447,0.0,0.0,0.13559216,0.0,0.0924816,0.00027650595,0.059894457,0.039066076,0.1361132
11,Mick Schumacher,0.00047314167,0.00834471,0.01831907,0.036743224,0.024271071,0.059366405,0.06513399,0.07080442,0.058097064,0.07279813,0.13003564,0.0,0.0,0.13326237,0.0,0.09076001,0.00033794343,0.05880937,0.03836538,0.13407807
12,Sebastian Vettel,0.0043982267,0.020607173,0.030395746,0.045470655,0.050006926,0.06563258,0.072336614,0.072558105,0.055173576,0.06950426,0.11599034,0.0,0.0,0.11574915,0.0,0.07818201,0.0011241436,0.050862446,0.033275858,0.118732184
13,Zhou Guanyu,0.0011928678,0.01218766,0.0226807,0.040248454,0.03284812,0.06226039,0.06851506,0.072027385,0.05723393,0.07195479,0.12493193,0.0,0.0,0.12663364,0.0,0.08594628,0.0005699545,0.05582635,0.036451727,0.12849076
14,Valtteri Bottas,0.008301973,0.026830316,0.035220027,0.04820299,0.061137676,0.066907585,0.073521435,0.07147062,0.053566277,0.067471236,0.1099264,0.0,1.1920929e-07,0.10896751,5.9604645e-08,0.07357173,0.0016282052,0.04817146,0.03169047,0.11341391
15,Daniel Ricciardo,0.030773342,0.051439345,0.05317253,0.057295084,0.09655237,0.06963217,0.07217568,0.059313238,0.04708281,0.05808294,0.08459073,3.1590462e-06,2.1517277e-05,0.08345786,1.244247e-05,0.05772777,0.004377112,0.04155624,0.029602893,0.103130765
16,Esteban Ocon,0.052176893,0.065532684,0.061505437,0.06036371,0.1137771,0.06856632,0.06904948,0.05290547,0.043178916,0.052520484,0.07293394,3.20971e-05,0.00013443828,0.0717133,9.916723e-05,0.050045356,0.005828589,0.037336677,0.027546868,0.09475307
17,Alexander Albon,0.0005301833,0.008725703,0.01884371,0.03728634,0.025213897,0.059807777,0.06559843,0.0710178,0.05800718,0.072675586,0.1292986,0.0,0.0,0.13232261,0.0,0.09011233,0.00034676492,0.058440536,0.038170442,0.13360211
18,Nicholas Latifi,0.0,6.121397e-05,0.0011059642,0.009291887,0.00024271011,0.022567868,0.024640262,0.039265454,0.045529366,0.0603137,0.15365958,0.0,0.0,0.18750665,0.0,0.13614649,1.4007092e-06,0.08745681,0.05550918,0.17670147
