,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.20317566,0.17019492,0.12431443,0.08652562,0.0876888,0.03896302,0.031289995,0.025486931,0.016732052,0.014068544,0.021029785,0.003489703,0.0066200197,0.023649603,0.008096352,0.017936237,0.015286259,0.022569552,0.02123734,0.06164517
1,Max Verstappen,0.20467478,0.17132777,0.1239571,0.086997986,0.08738348,0.038646072,0.030778348,0.025256678,0.016546369,0.01383996,0.02080366,0.0034956485,0.006598294,0.023568511,0.008065119,0.017814271,0.015193038,0.02253285,0.021121178,0.06139889
2,Carlos Sainz,0.16422701,0.15194863,0.124336004,0.09296441,0.093453616,0.044309795,0.03678909,0.030154973,0.019930437,0.017806232,0.025457576,0.0038845688,0.007849902,0.027835771,0.009208262,0.020530105,0.017212272,0.023811653,0.022102907,0.066186786
3,George Russell,0.085167885,0.079787016,0.110025585,0.107574046,0.078232944,0.07143724,0.05181974,0.045081437,0.038314402,0.03474307,0.047545522,0.001305759,0.0026957989,0.05357772,0.002722934,0.035890445,0.014962614,0.030388728,0.024232231,0.08449488
4,Sergio Perez,0.17474943,0.1594767,0.12671357,0.087387174,0.092116,0.042331725,0.035762995,0.028036505,0.018546581,0.016209155,0.023450613,0.00393942,0.007974669,0.02530466,0.009495467,0.01942335,0.017162502,0.023744382,0.022818312,0.06535678
5,Lewis Hamilton,0.10755783,0.100761235,0.1182338,0.11017376,0.08689016,0.06052077,0.045395434,0.04061994,0.03282857,0.028768122,0.039438024,0.002542019,0.0048704296,0.04350832,0.0052892566,0.030188113,0.017474823,0.026486985,0.022369675,0.07608273
6,Valtteri Bottas,0.032957792,0.051428974,0.053603888,0.05576986,0.08989686,0.06893921,0.07388574,0.05865723,0.04171902,0.062417507,0.08069375,2.6136637e-05,0.00012388825,0.08334616,8.7469816e-05,0.059432253,0.005050212,0.04355681,0.031083174,0.10732407
7,Kevin Magnussen,0.0013223886,0.011171699,0.022149205,0.03713733,0.022889733,0.05889517,0.06661689,0.07084185,0.05001062,0.07427639,0.1158261,0.0,0.0,0.12565637,0.0,0.09097722,0.00041654706,0.061572865,0.040294647,0.14994498
8,Daniel Ricciardo,0.0590145,0.068629086,0.082104206,0.0819819,0.08882493,0.072294354,0.062359244,0.050798446,0.040301353,0.04615149,0.06073153,0.00030881166,0.0008881986,0.06601183,0.000778839,0.045851693,0.010396317,0.03695549,0.028251998,0.09736579
9,Mick Schumacher,0.00019973516,0.005334437,0.014115572,0.029304266,0.009077668,0.050438106,0.057375252,0.065252006,0.048297524,0.072882414,0.1195966,0.0,0.0,0.13762993,0.0,0.101788074,0.00015056133,0.070510045,0.04616511,0.1718827
10,Lando Norris,0.06532985,0.07154572,0.088600874,0.088041544,0.087046504,0.07234979,0.05976644,0.04938948,0.03988844,0.043132603,0.057257175,0.00045242906,0.0012038052,0.0628327,0.0010986626,0.04330252,0.011393309,0.035415977,0.02737625,0.09457593
11,Esteban Ocon,0.032034576,0.050646484,0.0531407,0.055591524,0.08899367,0.068959534,0.073985875,0.0589844,0.041905344,0.06268132,0.08125755,2.3186207e-05,0.000112980604,0.08393969,7.9482794e-05,0.05984372,0.0048988312,0.04380226,0.031208202,0.10791068
12,Yuki Tsunoda,0.007091582,0.023021936,0.032744884,0.04438877,0.0452286,0.06398857,0.07325405,0.072241545,0.048030674,0.07218933,0.10726553,5.9604645e-08,8.34465e-07,0.112259924,4.7683716e-07,0.07947098,0.0012708604,0.05330266,0.03490141,0.12934732
13,Pierre Gasly,0.020079434,0.04090768,0.04711449,0.052951276,0.0737257,0.06894046,0.07483947,0.06258881,0.044255793,0.0661923,0.08851686,3.7252903e-06,2.592802e-05,0.0921641,1.6868114e-05,0.06584455,0.003557071,0.047695994,0.033452757,0.117126726
14,Zhou Guanyu,0.013122559,0.03293842,0.041130543,0.049648166,0.060370564,0.06746286,0.07472694,0.06637758,0.045963526,0.06899199,0.09593755,6.2584877e-07,5.990267e-06,0.100390464,3.695488e-06,0.071587965,0.0024848431,0.05059783,0.034626834,0.12363105
15,Sebastian Vettel,0.013013661,0.032416224,0.04075247,0.04945433,0.06042838,0.06735033,0.07472861,0.06680095,0.04610765,0.06913102,0.096467614,6.556511e-07,6.28829e-06,0.100750536,3.8444996e-06,0.07177693,0.0023922771,0.05051416,0.034469254,0.12343482
16,Lance Stroll,6.0379505e-05,0.0032904744,0.010410309,0.024824321,0.0050334334,0.04506266,0.051547706,0.06120062,0.046804726,0.07103038,0.12031323,0.0,0.0,0.14336237,0.0,0.107231915,8.8483095e-05,0.0754744,0.049519867,0.18474473
17,Alexander Albon,0.0049629807,0.01975882,0.030109107,0.042719245,0.039001167,0.06297481,0.072077334,0.072428346,0.048625946,0.072996795,0.10978159,2.9802322e-08,2.682209e-07,0.11579412,1.4901161e-07,0.082333,0.0010118783,0.055246204,0.03610459,0.13407362
18,Nicholas Latifi,0.0,2.2113323e-05,0.00056129694,0.005323112,1.579523e-05,0.014078617,0.015497565,0.027252436,0.02651751,0.044074774,0.0985536,0.0,0.0,0.1622104,0.0,0.13994476,0.0,0.11089194,0.07242671,0.28262937
19,Fernando Alonso,0.019868493,0.040732026,0.046962142,0.052839518,0.07318097,0.068873644,0.07484907,0.062707484,0.044291556,0.066287965,0.088732034,3.6656857e-06,2.5421381e-05,0.09241682,1.6450882e-05,0.0660367,0.0035740435,0.047791824,0.033491142,0.117319025
