,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Carlos Sainz,0.15789044,0.16062552,0.12666982,0.09064567,0.09294504,0.04399723,0.036013275,0.028001785,0.018671572,0.013476729,0.022466138,0.004915267,0.008342683,0.024869919,0.009622395,0.019907817,0.019657306,0.026421078,0.025297806,0.06956251
1,Max Verstappen,0.2842886,0.18820065,0.11202052,0.080298185,0.06966758,0.028520808,0.022313789,0.021668449,0.010915637,0.006716177,0.014388785,0.0064219385,0.0075958967,0.017671958,0.010335445,0.014316566,0.012317695,0.021403216,0.019205969,0.05173215
2,Lewis Hamilton,0.10856849,0.11402857,0.11924875,0.11323309,0.09655923,0.05329117,0.040150672,0.03766468,0.030889213,0.021536678,0.034116313,0.0033245832,0.0057253838,0.037106395,0.0066078305,0.027704969,0.018945515,0.026729248,0.02442035,0.08014887
3,George Russell,0.10296416,0.10259801,0.11436999,0.10894078,0.09580797,0.059022605,0.043727845,0.039084703,0.033678085,0.024607778,0.038183242,0.0026071817,0.004523352,0.041609198,0.005175635,0.030293286,0.017382398,0.028193727,0.024905667,0.082324386
4,Lance Stroll,0.0004583001,0.0076794624,0.020058334,0.03791833,0.01918149,0.059458256,0.061526477,0.06936228,0.060800552,0.071807444,0.12994021,0.0,0.0,0.13178933,0.0,0.08879104,0.0010604262,0.05876167,0.03753777,0.14386863
5,Lando Norris,0.02253902,0.04182732,0.047973275,0.05432391,0.08575493,0.06861752,0.0717845,0.062747,0.050348967,0.060498595,0.0913313,2.1457672e-06,1.4901161e-05,0.090807766,9.23872e-06,0.062408447,0.004171774,0.044368386,0.030676126,0.10979487
6,Valtteri Bottas,0.0027105808,0.016028404,0.02920556,0.04472983,0.037399888,0.06513232,0.06843066,0.071706176,0.058611512,0.06981355,0.119886786,0.0,1.1920929e-07,0.11888757,5.9604645e-08,0.079864144,0.0019579828,0.052646726,0.03387837,0.12910976
7,Alexander Albon,0.00013428926,0.0045021772,0.015180826,0.033647895,0.012169957,0.05553633,0.05624652,0.066762865,0.061874688,0.07213259,0.13549069,0.0,0.0,0.1390355,0.0,0.093313605,0.0005183816,0.061952412,0.039519772,0.15198152
8,Sergio Perez,0.2842886,0.18820065,0.11202052,0.080298185,0.06966758,0.028520808,0.022313789,0.021668449,0.010915637,0.006716177,0.014388785,0.0064219385,0.0075958967,0.017671958,0.010335445,0.014316566,0.012317695,0.021403216,0.019205969,0.05173215
9,Sebastian Vettel,0.0033092499,0.017533958,0.030413628,0.045217633,0.040200293,0.06506622,0.06899333,0.07164836,0.057777166,0.06934804,0.1181221,0.0,2.0861626e-07,0.11754012,5.9604645e-08,0.07918024,0.0021491945,0.052210003,0.03364171,0.12764849
10,Pierre Gasly,0.0011588931,0.011225641,0.024416745,0.041504204,0.027456105,0.06280005,0.06531036,0.07088709,0.06004399,0.07111627,0.12524396,0.0,0.0,0.12530962,0.0,0.08413163,0.0013505816,0.055657983,0.035727814,0.13665907
11,Charles Leclerc,0.1913532,0.17025387,0.124206126,0.0860914,0.09117442,0.039918423,0.032722384,0.025561482,0.016531467,0.011782616,0.020017922,0.005025804,0.008070976,0.022251934,0.010024264,0.01774986,0.017000608,0.024187282,0.023181364,0.06289459
12,Kevin Magnussen,1.1742115e-05,0.0016145706,0.008897364,0.026309907,0.0047023296,0.046925306,0.046179116,0.060372174,0.0616073,0.070861936,0.14298296,0.0,0.0,0.15120336,0.0,0.10164824,0.00018700957,0.067646414,0.04279068,0.16605958
13,Fernando Alonso,0.020201921,0.039783,0.046570897,0.053543746,0.08191699,0.06826848,0.071885705,0.06379986,0.050852537,0.06134501,0.09349108,1.5199184e-06,1.1563301e-05,0.0931288,6.198883e-06,0.06396161,0.0040714294,0.045070454,0.030925259,0.111163944
14,Daniel Ricciardo,0.012460291,0.030867219,0.039701402,0.049624085,0.06657654,0.06619781,0.07161367,0.068805635,0.052952826,0.06480721,0.10389984,1.1920929e-07,1.6987324e-06,0.10402912,7.748604e-07,0.070709184,0.0028655827,0.047634184,0.031480268,0.115772545
15,Mick Schumacher,5.1617622e-05,0.0030338764,0.012420535,0.030710816,0.008317769,0.052165687,0.052301586,0.064410746,0.061906934,0.07178581,0.13879806,0.0,0.0,0.1439772,0.0,0.09676695,0.00038927794,0.06426442,0.040792733,0.157906
16,Nicholas Latifi,2.026558e-06,0.00079882145,0.00610286,0.021602035,0.002304554,0.04001236,0.039489925,0.055027366,0.058942854,0.06855965,0.14481789,0.0,0.0,0.15934625,0.0,0.10847664,0.000114917755,0.07249741,0.04547876,0.17642568
17,Zhou Guanyu,0.00024074316,0.005865991,0.01744181,0.035589993,0.015012026,0.057143867,0.05877185,0.06801206,0.06114006,0.07200676,0.13275439,0.0,0.0,0.13579664,0.0,0.091561496,0.0008151382,0.060679212,0.03867969,0.14848828
18,Yuki Tsunoda,9.423494e-05,0.003895998,0.014072478,0.032431483,0.01058656,0.05409634,0.054715097,0.06585896,0.061783433,0.072045326,0.1366536,0.0,0.0,0.1410594,0.0,0.09482953,0.00046625733,0.06297997,0.040107682,0.15432365
