Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-300|-800|-1200|-1400
Valtteri Bottas|350|-600|-900|-1000
Max Verstappen|750|-200|-700|-800
Alex Albon|5000|450|-250|-400
Charles Leclerc|5000|350|-400|-600
Carlos Sainz Jr.|6600|800|-120|-275
Lance Stroll|6600|350|-165|-400
Lando Norris|6600|800|-150|-300
Sebastian Vettel|6600|1000|150|-250
Nico Hulkenberg|8000|1600|300|-165
Daniel Ricciardo|50000|5000|350|-225
Esteban Ocon|100000|10000|1600|-150
Pierre Gasly|150000|20000|3300|-125
Antonio Giovinazzi|200000|100000|10000|700
Daniil Kvyat|200000|50000|6600|300
George Russell|200000|50000|8000|275
Kevin Magnussen|200000|50000|10000|450
Kimi Raikkonen|200000|100000|10000|700
Romain Grosjean|6600|100000|10000|600
Nicholas Latifi|400000|200000|20000|1600
