Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Ten
Lewis Hamilton|-270|-600|-1050
Valtteri Bottas|350|-440|-700
Max Verstappen|650|-380|-550
Charles Leclerc|7000|410|-270
Daniel Ricciardo|7000|270|-330
Sebastian Vettel|7000|2800|-150
Sergio Perez|7000|410|-330
Esteban Ocon|8000|3200|-195
Alex Albon|8500|1100|-200
Carlos Sainz|11000|2800|-270
Lance Stroll|110000|2200|-230
Lando Norris|11000|2800|-195
Pierre Gasly|14000|2800|-230
Antonio Giovinazzi|20000|10000|410
Daniil Kyvat|20000|5000|145
Romain Grosjean|20000|10000|850
Kevin Magnussen|20000|10000|850
George Russell|20000|10000|410
Kimi Raikkonen|20000|10000|300
Nicholas Latifi|200000|100000|1100
