Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-225|-700|-1000|-1200
Valtteri Bottas|350|-450|-625|-625
Max Verstappen|400|-275|-500|-500
Sergio Perez|5000|350|-300|-400
Alex Albon|10000|550|-150|-400
Daniel Ricciardo|10000|400|-300|-355
Carlos Sainz|12500|1050|225|-200
Lance Stroll|12500|1100|150|-355
Pierre Gasly|12500|2200|185|-280
Lando Norris|12500|1100|115|-355
Charles Leclerc|15000|1800|175|-175
Esteban Ocon|15000|1600|165|-250
Daniil Kvyat|20000|2800|800|-175
Sebastian Vettel|20000|2800|800|125
Antonio Giovinazzi|300000|100000|50000|1000
Kevin Magnussen|300000|100000|50000|800
Kimi Raikkonen|300000|100000|25000|600
Romain Grosjean|300000|100000|50000|1000
George Russell|300000|100000|50000|600
Nicholas Latifi|400000|200000|50000|1200
