Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-200|-835|-1000|-1250
Valtteri Bottas|400|-560|-835|-1000
Max Verstappen|450|-500|-670|-910
Daniel Ricciardo|2800|275|-225|-560
Sergio Perez|4000|400|-200|-455
Esteban Ocon|5000|500|-167|-375
Alex Albon|8000|900|100|-250
Lance Stroll|8000|900|120|-286
Lando Norris|10000|2000|140|-200
Carlos Sainz Jr.|10000|2000|140|-200
Pierre Gasly|20000|4000|175|-195
Charles Leclerc|20000|4000|550|100
Daniil Kvyat|20000|4000|425|100
Sebastian Vettel|30000|7500|850|130
Kimi Raikonen|300000|75000|8000|350
Antonio Giovinazzi|300000|75000|10000|500
George Russell|300000|75000|8000|225
Kevin Magnussen|300000|75000|10000|500
Romain Grosjean|300000|75000|10000|500
Nicholas Latifi|400000|100000|20000|800
