Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-200|-835|-1115|-1667
Valtteri Bottas|375|-500|-835|-1250
Max Verstappen|400|-385|-670|-835
Daniel Ricciardo|5000|300|-305|-400
Sergio Perez|6000|350|-250|-400
Alex Albon|8000|700|-143|-400
Charles Leclerc|10000|1000|175|-200
Lando Norris|10000|1000|175|-225
Carlos Sainz|10000|10000|175|-286
Lance Stroll|10000|1000|175|-250
Esteban Ocon|15000|1600|175|-225
Pierre Gasly|20000|2000|300|-182
Sebastian Vettel|20000|2800|600|-118
Daniil Kyvat|50000|10000|800|100
Antonio Giovinazzi|300000|50000|6000|500
Romain Grosjean|300000|50000|6000|500
Kevin Magnussen|300000|50000|6000|500
George Russell|300000|50000|6000|500
Kimi Raikkonen|300000|50000|6000|400
Nicholas Latifi|400000|75000|10000|900
