Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-250|-600|-800|-1150
Valtteri Bottas|330|-270|-550|-700
Max Verstappen|550|-175|-440|-550
Sergio Perez|3200|350|-185|-300
Lance Stroll|5000|550|-185|-270
Alex Albon|7000|350|-160|-270
Daniel Ricciardo|7000|650|-160|-250
Carlos Sainz|11000|850|-150|-230
Charles Leclerc|11000|1100|185|-230
Lando Norris|11000|1100|185|-200
Pierre Gasly|14000|1800|270|-200
Antonio Giovinazzi|20000|10000|10000|650
Daniil Kvyat|20000|2800|2000|-105
Esteban Ocon|20000|1800|300|-185
George Russell|20000|10000|10000|500
Kevin Magnussen|20000|10000|10000|500
Kimi Raikkonen|20000|10000|10000|350
Romain Grosjean|20000|10000|10000|650
Sebastian Vettel|20000|2200|1300|-160
Nicholas Latifi|20000|10000|10000|1100
