Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|160|-400|-450|-500
Valtteri Bottas|160|-350|-550|-800
George Russell|275|-190|-350|-375
Sergio Perez|2500|250|-275|-650
Alex Albon|2800|350|-200|-3750
Daniel Ricciardo|3300|400|-200|-500
Carlos Sainz|5000|600|-165|-450
Lando Norris|6600|700|-115|-350
Pierre Gasly|6600|800|175|-250
Lance Stroll|8000|1600|350|-185
Esteban Ocon|10000|1600|350|-165
Daniil Kvyat|10000|2200|500|-155
Charles Leclerc|15000|2200|250|-165
Sebastian Vettel|25000|4000|1100|110
Kimi Raikkonen|150000|50000|10000|500
Antonio Giovinazzi|150000|50000|10000|600
Pietro Fittipaldi|400000|100000|10000|850
Kevin Magnussen|400000|100000|100000|1400
Jack Aitken|500000|150000|100000|2000
Nicholas Latifi|500000|150000|100000|1000
