Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-225|-500|-750|-1000
Max Verstappen|220|-450|-750|-1000
Valtteri Bottas|1400|-200|-500|-750
Sergio Perez|2800|200|-450|-650
Pierre Gasly|6500|650|-150|-400
Lando Norris|6500|600|-190|-400
Charles Leclerc|6500|380|-280|-550
Carlos Sainz Jr.|8000|700|-140|-360
George Russell|10000|6500|2000|275
Daniel Ricciardo|13000|1100|155|-300
Yuki Tsunoda|25000|3500|1600|120
Fernando Alonso|25000|1400|300|-200
Esteban Ocon|25000|2800|550|-175
Sebastian Vettel|30000|5000|1600|145
Lance Stroll|30000|6500|1800|200
Antonio Giovinazzi|50000|13000|8000|285
Nikita Mazepin|50000|40000|25000|3500
Mick Schumacher|50000|30000|20000|1800
Nicholas Latifi|50000|25000|13000|1800
Kimi Raikkonen|50000|13000|8000|285
