Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-150|-350|-600|-750
Lewis Hamilton|200|-275|-600|-750
Sergio Perez|1200|100|-450|-650
Valtteri Bottas|1200|100|-350|-400
Lando Norris|3300|350|-250|-600
Charles Leclerc|3300|350|-150|-350
Daniel Ricciardo|6600|700|100|-250
Carlos Sainz Jr.|6600|600|100|-350
Pierre Gasly|6600|700|100|-275
Fernando Alonso|15000|2500|350|-135
Lance Stroll|15000|2800|700|-110
Sebastian Vettel|15000|2500|600|-110
Yuki Tsunoda|25000|2800|500|-110
George Russell|25000|3300|600|100
Esteban Ocon|40000|6600|1000|200
Kimi Raikkonen|50000|15000|3300|300
Antonio Giovinazzi|50000|15000|3300|300
Nicholas Latifi|50000|15000|3300|1400
Mick Schumacher|50000|15000|3300|500
Nikita Mazepin|50000|15000|3300|2200
