Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|125|-450|-650|-1200
Max Verstappen|125|-350|-650|-800
Valtteri Bottas|800|-155|-350|-500
Sergio Perez|1000|140|-400|-650
Lando Norris|2800|250|-350|-650
Charles Leclerc|3300|300|-275|-500
Carlos Sainz Jr.|5000|650|125|-450
Daniel Ricciardo|6600|800|125|-500
Pierre Gasly|15000|2200|185|-225
Fernando Alonso|25000|4000|325|135
Esteban Ocon|25000|4000|300|-185
Sebastian Vettel|25000|2500|450|-110
Lance Stroll|50000|6600|800|120
Yuki Tsunoda|75000|10000|1400|250
Antonio Giovinazzi|100000|15000|1600|180
Kimi Raikkonen|100000|15000|1600|170
George Russell|200000|30000|4000|375
Nicholas Latifi|300000|40000|10000|1000
Mick Schumacher|400000|100000|25000|2500
Nikita Mazepin|400000|100000|25000|3300
