Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|145|-335|-670|-910
Lewis Hamilton|165|-335|-670|-1000
Valtteri Bottas|850|-125|-500|-910
Sergio Perez|850|-112|-500|-770
Daniel Ricciardo|2500|300|-182|-400
Lando Norris|4000|475|-125|-335
Pierre Gasly|7500|900|150|-225
Charles Leclerc|8000|1200|175|-167
Carlos Sainz Jr.|10000|1600|350|-118
Lance Stroll|10000|1400|175|-167
Yuki Tsunoda|10000|1400|1400|-143
Sebastian Vettel|10000|1400|325|-167
Fernando Alonso|12500|1600|300|-139
Esteban Ocon|12500|1600|400|-118
George Russell|25000|2500|1400|500
Kimi Raikkonen|50000|5000|1200|250
Antonio Giovinazzi|100000|10000|1400|250
Mick Schumacher|300000|75000|6000|700
Nicholas Latifi|400000|100000|8000|800
Nikita Mazepin|400000|100000|10000|900
