Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-190|-400|-600|-900
Lewis Hamilton|225|-360|-600|-900
Sergio Perez|1200|-165|-450|-700
Valtteri Bottas|1800|150|-360|-650
Charles Leclerc|5000|450|-250|-600
Pierre Gasly|5000|475|-190|-400
Lando Norris|6500|750|-125|-280
Daniel Ricciardo|6500|750|125|-225
Carlos Sainz Jr.|6500|550|-150|-550
George Russell|10000|2500|1200|200
Sebastian Vettel|25000|2200|650|-105
Fernando Alonso|25000|2200|330|-105
Esteban Ocon|30000|4000|900|165
Lance Stroll|30000|5000|1100|135
Yuki Tsunoda|30000|5000|1800|-110
Antonio Giovinazzi|50000|20000|6500|250
Kimi Raikkonen|50000|20000|6500|225
Mick Schumacher|50000|25000|10000|1000
Nicholas Latifi|50000|20000|8000|750
Nikita Mazepin|50000|30000|13000|2000
