Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-135|-600|-600|-800
Lewis Hamilton|165|-400|-500|-800
Sergio Perez|1200|100|-400|-600
Valtteri Bottas|1200|-135|-350|-450
Lando Norris|3300|250|-350|-600
Charles Leclerc|6600|700|-135|-400
Carlos Sainz Jr.|6600|800|-120|-350
Daniel Ricciardo|10000|1200|-120|-275
Pierre Gasly|15000|1400|140|-275
George Russell|25000|3300|600|125
Sebastian Vettel|35000|2800|500|-110
Fernando Alonso|50000|4000|700|-160
Yuki Tsunoda|75000|4000|1000|100
Lance Stroll|75000|4000|1000|-110
Esteban Ocon|75000|6600|1600|185
Kimi Raikkonen|150000|25000|6600|350
Antonio Giovinazzi|150000|25000|6600|350
Nicholas Latifi|300000|100000|30000|2500
Mick Schumacher|300000|100000|20000|1600
Nikita Mazepin|400000|150000|50000|2500
