Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|105|-300|-440|-600
Lewis Hamilton|105|-300|-440|-600
Sergio Perez|1800|195|-300|-440
Valtteri Bottas|1800|105|-300|-440
Lando Norris|3200|410|-250|-300
Charles Leclerc|3200|410|-250|-300
George Russell|11000|1100|250|105
Daniel Ricciardo|11000|750|145|-250
Carlos Sainz Jr.|11000|750|-150|-250
Pierre Gasly|11000|1100|250|-250
Sebastian Vettel|14000|1100|250|-150
Fernando Alonso|18000|2200|470|-200
Esteban Ocon|18000|2200|470|-150
Yuki Tsunoda|20000|7000|1600|120
Lance Stroll|20000|3200|1300|-105
Mick Schumacher|20000|7000|7000|1100
Antonio Giovinazzi|20000|10000|10000|350
Nicholas Latifi|20000|10000|10000|1100
Nikita Mazepin|200000|10000|10000|2800
Kimi Raikkonen|20000|10000|10000|300
