Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|130|-400|-910|-1115
Lewis Hamilton|150|-400|-1000|-1250
Valtteri Bottas|1000|-112|-770|-910
Sergio Perez|1400|140|-670|-770
Pierre Gasly|3300|300|-200|-400
Charles Leclerc|5000|500|-125|-286
Lando Norris|5000|500|-143|-286
Daniel Ricciardo|5000|500|-143|-286
Yuki Tsunoda|8000|700|125|-225
Carlos Sainz Jr.|10000|1400|200|-186
Fernando Alonso|20000|2500|600|-112
George Russell|20000|2500|2000|400
Lance Stroll|20000|2500|500|-125
Sebastian Vettel|20000|2500|700|100
Estaban Ocon|30000|5000|1200|130
Kimi Raikkonen|100000|15000|1400|140
Antonio Giovinazzi|100000|15000|1400|140
Mick Schumacher|250000|50000|20000|1800
Nicholas Latifi|300000|75000|10000|1000
Nikita Mazepin|300000|75000|25000|2500
