Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six
Max Verstappen|-175|-400|-600
Lewis Hamilton|200|-250|-550
Sergio Perez|1400|-165|-450
Charles Leclerc|1800|185|-300
Valtteri Bottas|2200|215|-280
Lando Norris|5000|450|-140
Carlos Sainz Jr.|6500|450|-175
Daniel Ricciardo|8000|1000|-110
George Russell|10000|4000|2000
Pierre Gasly|13000|1000|105
Sebastian Vettel|25000|2500|650
Fernando Alonso|25000|2200|330
Esteban Ocon|25000|3500|750
Lance Stroll|30000|4000|1200
Yuki Tsunoda|30000|4000|1200
Antonio Giovinazzi|50000|15000|4000
Kimi Raikkonen|50000|20000|6500
Mick Schumacher|50000|20000|6500
Nicholas Latifi|50000|20000|6500
Nikita Mazepin|50000|30000|10000
