Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Ten
Max Verstappen|115|-330|-750
Lewis Hamilton|145|-300|-750
Charles Leclerc|1000|145|-440
Valtteri Bottas|1300|-150|-600
Sergio Perez|1600|175|-550
Carlos Sainz Jr.|1600|300|-380
Lando Norris|11000|1000|-270
Daniel Ricciardo|11000|1200|-230
Pierre Gasly|11000|1800|-270
Fernando Alonso|20000|2800|-200
Esteban Ocon|20000|2800|-200
Lance Stroll|20000|7000|105
Sebastian Vettel|20000|7000|105
Yuki Tsunoda|20000|7000|-115
Antonio Giovinazzi|20000|10000|270
Kimi Raikkonen|20000|10000|330
George Russell|20000|10000|330
Nicholas Latifi|20000|10000|1100
Mick Schumacher|20000|10000|2200
Nikita Mazepin|20000|10000|2800
