Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six
Max Verstappen|125|-400|-700
Lewis Hamilton|150|-400|-800
Valtteri Bottas|900|100|-400
Sergio Perez|1000|105|-400
Lando Norris|3300|260|-250
Charles Leclerc|4000|350|-225
Pierre Gasly|6000|650|-154
Daniel Ricciardo|6600|700|-133
Carlos Sainz Jr.|6600|900|-125
Yuki Tsunoda|20000|3300|350
Lance Stroll|20000|5000|600
Fernando Alonso|25000|6000|700
Sebastian Vettel|25000|6000|1000
Esteban Ocon|40000|10000|1200
Antonio Giovinazzi|100000|n/a|3300
Kimi Raikkonen|100000|25000|3000
George Russell|100000|25000|6600
Nicholas Latifi|200000|35000|8000
Mick Schumacher|200000|50000|20000
Nikita Mazepin|250000|75000|30000
