Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-145|-400|-600|-800
Max Verstappen|145|-360|-600|-800
Valtteri Bottas|1600|-165|-450|-650
Sergio Perez|2000|145|-450|-650
Charles Leclerc|5000|425|-300|-650
Lando Norris|6500|550|-165|-550
Carlos Sainz|6500|500|-200|-650
Pierre Gasly|6500|650|-150|-280
Daniel Ricciardo|10000|1100|165|-280
Fernando Alonso|25000|1800|425|-165
Esteban Ocon|25000|4000|850|-110
Sebastian Vettel|25000|2000|650|-105
Yuki Tsunoda|30000|6500|2000|175
Lance Stroll|30000|5000|1200|170
Kimi Raikkonen|50000|20000|8000|250
Nikita Mazepin|50000|40000|15000|2200
George Russell|50000|2000|1200|195
Antonio Giovinazzi|50000|20000|8000|275
Nicholas Latifi|50000|25000|10000|900
Mick Schumacher|50000|30000|13000|1600
