Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-225|-600|-800|-1000
Max Verstappen|250|-500|-700|-900
Valtteri Bottas|1400|-190|-450|-700
Sergio Perez|2000|185|-450|-700
Charles Leclerc|6500|550|-225|-600
Pierre Gasly|6500|700|-140|-280
Lando Norris|6500|550|-225|-600
Carlos Sainz Jr.|8000|650|-125|-450
Daniel Ricciardo|10000|1200|125|-250
George Russell|10000|5000|2000|250
Fernando Alonso|15000|1800|250|-250
Esteban Ocon|15000|2200|1100|-150
Yuki Tsunoda|25000|4000|2200|225
Sebastian Vettel|25000|3500|1000|-105
Lance Stroll|30000|6500|2000|135
Nikita Mazepin|50000|25000|20000|2200
Antonio Giovinazzi|50000|10000|8000|350
Nicholas Latifi|50000|15000|13000|1000
Kimi Raikkonen|20000|10000|8000|350
Mick Schumacher|50000|20000|15000|1800
