Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|115|-500|n/a|-1200
Max Verstappen|140|-400|-650|-1000
Valtteri Bottas|900|-154|-450|-700
Sergio Perez|1200|155|-400|-650
Lando Norris|5000|400|-188|-400
Charles Leclerc|5000|400|-188|-400
Carlos Sainz Jr.|7500|800|-118|-333
Daniel Ricciardo|8000|600|-111|-275
Pierre Gasly|12500|1100|140|-250
Fernando Alonso|12500|2500|250|-200
Esteban Ocon|15000|2500|260|-200
Lance Stroll|25000|4000|700|-105
Sebastian Vettel|30000|6000|1000|120
Yuki Tsunoda|30000|6600|750|1150
Antonio Giovinazzi|100000|n/a|5000|300
Kimi Raikkonen|100000|30000|5000|300
George Russell|100000|30000|5000|300
Nicholas Latifi|200000|50000|10000|900
Mick Schumacher|250000|50000|15000|2500
Nikita Mazepin|300000|75000|25000|4000
