Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-125|-360|-450|-800
Lewis Hamilton|145|-280|-450|-800
Valtteri Bottas|1600|-150|-360|-500
Sergio Perez|2000|165|-280|-450
Lando Norris|3500|290|-250|-450
Charles Leclerc|3500|290|-225|-450
Daniel Ricciardo|6500|750|105|-330
Carlos Sainz Jr.|6500|700|-140|-400
George Russell|10000|2500|1000|135
Pierre Gasly|15000|1600|165|-250
Sebastian Vettel|25000|1800|330|-110
Fernando Alonso|25000|1800|225|-250
Esteban Ocon|25000|750|550|-150
Lance Stroll|30000|3500|650|125
Yuki Tsunoda|50000|2000|2000|225
Antonio Giovinazzi|50000|13000|2000|250
Kimi Raikkonen|50000|15000|3500|300
Nicholas Latifi|80000|15000|6500|750
Mick Schumacher|80000|15000|8000|1400
Nikita Mazepin|80000|25000|13000|1600
