Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|115|-380|-550|-700
Charles Leclerc|145|-320|-550|-700
Carlos Sainz|850|-135|-380|-600
Sergio Perez|1600|115|-340|-550
Lewis Hamilton|1800|300|-340|-550
George Russell|2800|410|-210|-450
Valtteri Bottas|11000|1600|220|-230
Pierre Gasly|11000|1800|300|-185
Kevin Magnussen|11000|1800|170|-230
Fernando Alonso|11000|1600|195|-210
Esteban Ocon|11000|1600|195|-185
Lando Norris|14000|2000|1000|125
Mick Schumacher|14000|2800|195|-105
Nicholas Latifi|20000|10000|10000|2200
Sebastian Vettel|20000|10000|7000|500
Guanyu Zhou|20000|7500|1300|145
Lance Stroll|20000|10000|7000|500
Alex Albon|20000|10000|10000|1100
Yuki Tsunoda|20000|2800|1600|120
Daniel Ricciardo|20000|2800|1600|270
