Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-115|-360|-650|-700
Charles Leclerc|350|-190|-360|-500
Lewis Hamilton|400|-125|-550|-600
George Russell|900|145|-500|-600
Carlos Sainz Jr.|1100|110|-330|-450
Sergio Perez|2200|135|-360|-500
Lando Norris|20000|1600|120|-330
Fernando Alonso|20000|1800|125|-330
Esteban Ocon|30000|4500|225|-225
Daniel Ricciardo|30000|5000|400|100
Valtteri Bottas|50000|6500|650|-120
Sebastian Vettel|50000|6500|900|120
Pierre Gasly|50000|10000|1000|165
Lance Stroll|50000|10000|1000|200
Kevin Magnussen|50000|6500|750|125
Yuki Tsunoda|90000|20000|2500|300
Alex Albon|90000|20000|4000|410
Nicholas Latifi|90000|30000|15000|330
Mick Schumacher|900000|20000|1800|225
Guanyu Zhou|90000|15000|2500|275
