Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-110|-360|-550|-750
Sergio Perez|290|-280|-500|-700
Charles Leclerc|300|-250|-450|-550
Carlos Sainz|1600|175|-280|-500
George Russell|3000|275|-280|-500
Lewis Hamilton|3500|350|-225|-450
Lando Norris|10000|900|130|-280
Pierre Gasly|13000|1400|155|-225
Valtteri Bottas|15000|1800|200|-175
Fernando Alonso|15000|1400|165|-200
Esteban Ocon|25000|1800|400|-150
Daniel Ricciardo|25000|2000|450|-125
Yuki Tsunoda|50000|1800|1200|200
Sebastian Vettel|50000|3500|550|-140
Kevin Magnussen|50000|6500|1100|175
Lance Stroll|60000|15000|2800|450
Mick Schumacher|70000|15000|3000|500
Guanyu Zhou|70000|15000|3000|380
Alexander Albon|80000|30000|6500|550
Nicholas Latifi|80000|50000|15000|2200
