Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|110|-300|-450|-750
Charles Leclerc|170|-280|-450|-750
Lewis Hamilton|750|-105|-400|-550
Sergio Perez|1200|-105|-400|-550
George Russell|1500|175|-400|-550
Carlos Sainz|1700|175|-360|-450
Esteban Ocon|15000|1600|150|-200
Fernando Alonso|15000|1600|150|-225
Lando Norris|15000|1600|185|-250
Daniel Ricciardo|30000|4000|450|105
Valtteri Bottas|30000|4000|550|-125
Mick Schumacher|30000|4000|550|110
Kevin Magnussen|30000|4000|500|110
Sebastian Vettel|50000|15000|1400|190
Yuki Tsunoda|50000|15000|1400|225
Alex Albon|50000|30000|3500|400
Guanyu Zhou|50000|15000|2200|300
Lance Stroll|50000|15000|2200|235
Pierre Gasly|50000|10000|650|350
Nicholas Latifi|90000|50000|15000|1800
