Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|125|-330|-600|-700
Charles Leclerc|150|-250|-550|-550
Carlos Sainz|650|-140|-450|-550
Lewis Hamilton|1200|110|-400|-500
Sergio Perez|1300|145|-400|-500
George Russell|2500|190|-400|-500
Fernando Alonso|20000|22000|110|-280
Lando Norris|20000|2200|110|-280
Daniel Ricciardo|30000|4000|500|-125
Esteban Ocon|30000|3500|300|-175
Kevin Magnussen|50000|4500|700|-120
Mick Schumacher|50000|15000|1600|225
Valtteri Bottas|50000|5500|700|105
Pierre Gasly|50000|4500|550|120
Yuki Tsunoda|90000|15000|1600|240
Alex Albon|90000|20000|3500|380
Guanyu Zhou|90000|25000|4000|330
Lance Stroll|90000|20000|2500|200
Sebastian Vettel|90000|15000|1600|170
Nicholas Latifi|90000|30000|15000|1800
