Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-190|-400|-600|-700
Charles Leclerc|380|-200|-600|-700
Sergio Perez|1000|100|-550|-600
Lewis Hamilton|1100|105|-550|-700
Carlos Sainz Jr.|1200|110|-450|-500
George Russell|1600|185|-500|-550
Lando Norris|15000|1400|100|-400
Fernando Alonso|15000|2500|135|-280
Pierre Gasly|50000|6500|1100|110
Lance Stroll|50000|6500|850|110
Daniel Ricciardo|50000|3500|450|120
Esteban Ocon|50000|3500|350|-250
Sebastian Vettel|50000|6500|850|100
Mick Schumacher|90000|20000|2500|300
Nick Latifi|90000|30000|6500|2000
Zhou Guanyu|90000|20000|2500|300
Kevin Magnussen|90000|10000|1400|200
Alex Albon|90000|20000|2800|400
Yuki Tsunoda|90000|15000|1400|225
Valtteri Bottas|90000|13000|1400|200
