Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-175|-450|-600|-700
Sergio Perez|380|-125|-550|-650
Charles Leclerc|550|-200|-550|-650
Lewis Hamilton|1200|130|-550|-650
Carlos Sainz Jr.|1500|130|-550|-650
George Russell|2800|180|-550|-650
Lando Norris|25000|1600|100|-400
Fernando Alonso|25000|1800|100|-360
Esteban Ocon|50000|3500|300|-225
Lance Stroll|50000|6500|900|150
Pierre Gasly|50000|6500|1400|150
Sebastian Vettel|50000|5000|700|-120
Valtteri Bottas|50000|13000|1400|160
Daniel Ricciardo|50000|5000|750|180
Kevin Magnussen|90000|15000|2200|200
Zhou Guanyu|90000|25000|3500|250
Mick Schumacher|90000|25000|3000|300
Nicholas Latifi|90000|30000|10000|1400
Yuki Tsunoda|90000|20000|2800|300
Alex Albon|90000|20000|2800|300
