Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-105|-310|-440|-600
Charles Leclerc|115|-270|-400|-600
Carlos Sainz|1200|105|-300|-400
Sergio Perez|1200|105|-310|-550
Lando Norris|4200|470|-130|-400
George Russell|5000|470|-160|-310
Lewis Hamilton|5000|350|-160|-330
Daniel Ricciardo|7500|1000|145|-185
Valtteri Bottas|12000|2200|195|-250
Fernando Alonso|14000|1800|195|-200
Esteban Ocon|18000|2800|350|-130
Pierre Gasly|20000|3200|500|-1155
Guanyu Zhou|20000|10000|2800|410
Mick Schumacher|20000|7000|800|250
Alex Albon|20000|10000|10000|650
Lance Stroll|20000|10000|2800|410
Yuki Tsunoda|20000|10000|1300|120
Nicholas Latifi|20000|10000|10000|2800
Sebastian Vettel|20000|5000|850|250
Kevin Magnussen|20000|2800|410|-180
