Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Charles Leclerc|-105|-300|-500|-600
Max Verstappen|120|-300|-450|-600
Carlos Sainz|2000|120|-300|-450
George Russell|2000|200|-300|-450
Lewis Hamilton|2000|210|-300|-450
Sergio Perez|2500|165|-300|-450
Valtteri Bottas|10000|475|175|-360
Lando Norris|20000|1000|145|-200
Fernando Alonso|25000|1600|275|-190
Esteban Ocon|30000|2000|350|-175
Daniel Ricciardo|40000|2200|400|100
Mick Schumacher|50000|2800|1000|245
Yuki Tsunoda|80000|13000|1400|165
Pierre Gasly|80000|4000|750|125
Sebastian Vettel|80000|20000|2200|265
Lance Stroll|80000|20000|2800|330
Kevin Magnussen|80000|1800|450|-140
Guanyu Zhou|80000|13000|1400|200
Alexander Albon|80000|20000|6500|350
Nicholas Latifi|90000|40000|15000|1800
